,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COASTAL-CAROLINA_homegame,COASTAL-CAROLINA_homegame2,COASTAL-CAROLINA_home,COASTAL-CAROLINA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-coastal-carolina,62.5,15,7.9,3,115.6,52.9,18,0.484,62,0.387,24,0.242,15,1.0,15,0,200,117.2,33.3,11,16,75,,10.9,7,0.5479999999999999,34,0.353,12,43.3,29,0.542,9.3,7,28,0.429,12,1.0,1,"November 5, 2019",34.5,10,17.9,5,117.2,66.7,22,0.55,60,0.483,29,0.267,16,0.5,8,1,200,115.6,47.1,16,16,74,,3.1,2,0.3670000000000001,22,0.364,8,56.7,38,0.547,15.2,12,38,0.5529999999999999,21,0.0,0,"The HTC Center, Conway, South Carolina",COASTAL-CAROLINA,Coastal Carolina,64.4,Away,CAMPBELL,Campbell,Coastal Carolina,sun-belt,0,False,True,True,Home,False,8,21,60,38,67,12,12,62,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-coastal-carolina,42.9,9,2.1,1,130.8,59.4,19,0.40700000000000003,59,0.35600000000000004,21,0.424,25,0.72,18,0,200,84.6,34.3,12,12,66,,2.6,2,0.305,18,0.33299999999999996,6,46.3,31,0.466,20.5,18,41,0.366,15,0.0,0,"November 8, 2019",55.0,22,24.4,10,84.6,65.7,23,0.605,76,0.526,40,0.184,14,0.7140000000000001,10,1,200,130.8,40.6,13,24,102,,15.4,12,0.368,28,0.429,12,53.7,36,0.617,9.9,9,48,0.583,28,0.5,1,"The HTC Center, Conway, South Carolina","Hampden-Sydney
			","Hampden-Sydney
			",77.8,Home,COASTAL-CAROLINA,Coastal Carolina,Coastal Carolina,sun-belt,1,True,False,True,Home,True,12,28,76,36,67,6,15,59,1,0,8,21,60,0.55,38,67,0.5671641791044776,12,12,62,0.4838709677419355,0.0
2,2019-11-12-19-coastal-carolina,64.0,16,8.1,3,100.0,66.7,22,0.556,54,0.46299999999999997,25,0.29600000000000004,16,0.563,9,1,200,101.5,25.0,7,23,69,,14.7,10,0.48100000000000004,26,0.385,10,47.5,29,0.56,18.7,14,28,0.536,15,0.667,2,"November 12, 2019",42.9,9,3.6,1,101.5,75.0,21,0.435,54,0.389,21,0.519,28,0.75,21,2,200,100.0,33.3,11,17,68,,7.4,5,0.315,17,0.294,5,52.5,32,0.505,15.3,12,37,0.4320000000000001,16,0.33299999999999996,1,"The HTC Center, Conway, South Carolina",COASTAL-CAROLINA,Coastal Carolina,68.5,Away,NORTHERN-KENTUCKY,Northern Kentucky,Coastal Carolina,sun-belt,2,False,True,True,Home,False,5,16,54,32,61,10,15,54,0,1,20,49,136,0.5808823529411765,74,134,0.5522388059701493,18,27,121,0.4462809917355372,0.5
3,2019-11-18-19-coastal-carolina,64.0,16,6.4,3,114.8,66.7,26,0.484,63,0.397,25,0.28600000000000003,18,0.611,11,1,200,88.9,21.6,8,23,72,,8.6,7,0.413,26,0.423,11,44.7,34,0.503,20.2,18,37,0.37799999999999995,14,0.75,3,"November 18, 2019",38.7,12,10.8,4,88.9,78.4,29,0.507,68,0.456,31,0.5,34,0.706,24,2,200,114.8,33.3,13,18,93,,14.8,12,0.309,21,0.33299999999999996,7,55.3,42,0.5529999999999999,9.8,9,47,0.511,24,0.5,2,"The HTC Center, Conway, South Carolina",MIDDLE-TENNESSEE,Middle Tennessee,80.9,Home,COASTAL-CAROLINA,Coastal Carolina,Coastal Carolina,sun-belt,3,True,False,True,Home,True,7,24,68,42,76,11,14,63,1,0,25,65,190,0.5394736842105263,106,195,0.5435897435897435,28,42,175,0.48,0.3333333333333333
4,2019-11-21-19-coastal-carolina,47.4,9,2.5,1,111.3,68.6,24,0.377,57,0.33299999999999996,19,0.439,25,0.56,14,1,200,80.3,33.3,12,15,57,,4.2,3,0.491,28,0.179,5,50.7,36,0.414,17.1,14,29,0.483,14,0.75,3,"November 21, 2019",41.4,12,20.7,6,80.3,66.7,24,0.539,64,0.45299999999999996,29,0.25,16,0.625,10,2,200,111.3,31.4,11,25,79,,9.9,7,0.375,24,0.45799999999999996,11,49.3,35,0.552,12.3,10,40,0.45,18,0.6,3,"The HTC Center, Conway, South Carolina",UTAH,Utah,70.7,Home,COASTAL-CAROLINA,Coastal Carolina,Coastal Carolina,sun-belt,4,True,False,True,Home,True,11,18,64,35,71,5,14,57,1,0,32,89,258,0.5310077519379846,148,271,0.5461254612546126,39,56,238,0.4810924369747899,0.5
5,2019-11-22-17-coastal-carolina,61.5,16,3.2,1,97.0,66.7,14,0.565,54,0.48100000000000004,26,0.37,20,0.8,16,1,200,114.9,29.6,8,18,77,24.0,13.4,9,0.5,27,0.33299999999999996,9,45.8,22,0.606,14.9,11,27,0.63,17,0.8,4,"November 22, 2019",60.9,14,11.1,3,114.9,70.4,19,0.611,45,0.511,23,0.33299999999999996,15,0.667,10,3,200,97.0,33.3,7,21,65,,6.0,4,0.311,14,0.643,9,54.2,26,0.624,29.9,22,31,0.452,14,0.5,3,"The HTC Center, Conway, South Carolina",COASTAL-CAROLINA,Coastal Carolina,66.8,Away,BAYLOR,Baylor,Coastal Carolina,sun-belt,5,False,True,True,Home,False,9,14,45,26,48,9,17,54,0,1,43,107,322,0.532608695652174,183,342,0.5350877192982456,44,70,295,0.4610169491525424,0.6
6,2019-11-24-13-coastal-carolina,72.4,21,15.8,6,77.8,82.8,24,0.618,55,0.527,29,0.382,21,0.619,13,1,200,112.5,26.7,8,19,81,,9.7,7,0.418,23,0.435,10,54.2,32,0.623,17.9,14,32,0.594,19,0.857,6,"November 24, 2019",57.9,11,3.1,1,112.5,73.3,22,0.38,54,0.35200000000000004,19,0.35200000000000004,19,0.789,15,4,200,77.8,17.2,5,15,56,,9.7,7,0.29600000000000004,16,0.188,3,45.8,27,0.444,19.4,15,38,0.42100000000000004,16,0.429,3,"The HTC Center, Conway, South Carolina",COASTAL-CAROLINA,Coastal Carolina,72.0,Away,MISSISSIPPI-STATE,Mississippi State,Coastal Carolina,sun-belt,6,False,True,True,Home,False,3,16,54,27,59,10,19,55,0,1,52,121,367,0.5422343324250681,209,390,0.5358974358974359,53,87,349,0.4770773638968481,0.5
7,2019-11-30-18-delaware-state,55.2,16,11.8,4,92.8,90.0,36,0.581,62,0.46799999999999997,29,0.484,30,0.667,20,4,200,110.8,33.3,11,23,92,,6.0,5,0.435,27,0.519,14,64.4,47,0.603,19.3,18,35,0.429,15,0.5,4,"November 30, 2019",45.5,10,0.0,0,110.8,66.7,22,0.42100000000000004,63,0.349,22,0.524,33,0.727,24,8,200,92.8,10.0,4,24,77,,8.4,7,0.46,29,0.31,9,35.6,26,0.489,10.4,9,34,0.382,13,0.111,1,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,83.5,Away,COASTAL-CAROLINA,Coastal Carolina,Coastal Carolina,sun-belt,7,False,False,False,Away,True,14,15,62,47,73,9,13,63,1,0,55,137,421,0.5213776722090261,236,449,0.5256124721603563,63,106,404,0.4962871287128713,0.42857142857142855
8,2019-12-04-19-coastal-carolina,46.4,13,4.3,2,132.6,58.1,18,0.521,70,0.4,28,0.14300000000000002,10,0.6,6,0,200,91.9,18.9,7,22,79,,8.1,7,0.557,39,0.436,17,36.8,25,0.528,21.2,20,31,0.355,11,0.0,0,"December 4, 2019",48.8,20,6.5,2,91.9,81.1,30,0.65,70,0.586,41,0.47100000000000003,33,0.6970000000000001,23,4,200,132.6,41.9,13,12,114,,17.4,15,0.32899999999999996,23,0.391,9,63.2,43,0.665,11.5,11,47,0.6809999999999999,32,0.556,5,"The HTC Center, Conway, South Carolina","Greensboro
			","Greensboro
			",85.7,Home,COASTAL-CAROLINA,Coastal Carolina,Coastal Carolina,sun-belt,8,True,False,True,Home,True,9,32,70,43,68,17,11,70,1,0,69,152,483,0.5289855072463768,283,522,0.5421455938697318,72,119,467,0.4860813704496788,0.5
9,2019-12-07-19-winthrop,40.7,11,11.5,3,111.4,65.0,26,0.613,53,0.509,27,0.66,35,0.7709999999999999,27,4,200,116.5,28.6,8,27,92,,17.7,14,0.396,21,0.524,11,50.0,34,0.6609999999999999,21.7,19,32,0.5,16,0.6,6,"December 7, 2019",71.4,20,3.1,1,116.5,71.4,20,0.5660000000000001,61,0.45899999999999996,28,0.508,31,0.613,19,5,200,111.4,35.0,14,22,88,,7.6,6,0.574,35,0.371,13,50.0,34,0.581,16.7,15,26,0.5770000000000001,15,0.444,4,"Winthrop Coliseum, Rock Hill, South Carolina",WINTHROP,Winthrop,78.7,Away,COASTAL-CAROLINA,Coastal Carolina,Coastal Carolina,sun-belt,9,False,False,False,Away,True,11,16,53,34,68,13,15,61,1,0,78,184,553,0.5443037974683544,326,590,0.5525423728813559,89,130,537,0.4906890130353818,0.5555555555555556
