,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COLORADO-STATE_homegame,COLORADO-STATE_homegame2,COLORADO-STATE_home,COLORADO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-colorado-state,37.5,9,11.1,3,105.7,75.0,21,0.474,58,0.414,24,0.259,15,0.5329999999999999,8,1,200,90.0,24.3,9,25,63,,2.9,2,0.36200000000000004,21,0.33299999999999996,7,46.2,30,0.484,17.8,14,37,0.45899999999999996,17,0.0,0,"November 5, 2019",52.2,12,2.7,1,90.0,75.7,28,0.53,50,0.46,23,0.52,26,0.8079999999999999,21,0,200,105.7,25.0,7,18,74,,5.7,4,0.46,23,0.304,7,53.8,35,0.593,18.6,14,27,0.593,16,1.0,1,"Moby Arena, Fort Collins, Colorado",DENVER,Denver,69.7,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,0,True,False,True,Home,True,7,16,50,35,65,7,17,58,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-duke,27.8,5,0.0,0,114.1,76.5,26,0.373,55,0.327,18,0.4,22,0.636,14,1,200,70.5,15.8,6,17,55,,6.4,5,0.382,21,0.23800000000000002,5,44.4,32,0.42,20.8,17,34,0.382,13,0.5,1,"November 8, 2019",37.8,14,17.6,6,70.5,84.2,32,0.565,69,0.536,37,0.261,18,0.611,11,0,200,114.1,23.5,8,19,89,4.0,15.4,12,0.319,22,0.182,4,55.6,40,0.574,10.5,9,47,0.7020000000000001,33,1.0,2,"Cameron Indoor Stadium, Durham, North Carolina",COLORADO-STATE,Colorado State,77.5,Home,DUKE,Duke,Colorado State,mwc,1,False,False,False,Away,False,5,13,55,32,72,4,33,69,0,1,7,16,50,0.53,35,65,0.5384615384615384,7,17,58,0.4741379310344828,1.0
2,2019-11-13-21-colorado-state,52.2,12,7.7,3,114.3,74.3,26,0.43799999999999994,65,0.354,23,0.138,9,0.889,8,2,200,92.9,23.8,10,22,65,,2.9,2,0.415,27,0.40700000000000003,11,46.8,36,0.469,12.7,10,38,0.316,12,0.5,2,"November 13, 2019",62.1,18,10.5,4,92.9,76.2,32,0.557,61,0.475,29,0.311,19,0.632,12,1,200,114.3,25.7,9,15,80,,5.7,4,0.361,22,0.455,10,53.2,41,0.5710000000000001,11.5,9,39,0.48700000000000004,19,0.667,2,"Moby Arena, Fort Collins, Colorado",NEBRASKA-OMAHA,Omaha,69.7,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,2,True,False,True,Home,True,10,19,61,41,77,11,12,65,1,0,12,29,105,0.4476190476190477,67,137,0.489051094890511,11,50,127,0.5236220472440944,0.5
3,2019-11-16-22-loyola-marymount,66.7,14,2.8,1,92.8,71.0,22,0.51,49,0.429,21,0.653,32,0.75,24,1,200,107.2,30.8,8,18,74,,10.1,7,0.49,24,0.33299999999999996,8,52.6,30,0.5760000000000001,17.1,13,25,0.52,13,0.75,3,"November 16, 2019",55.6,15,12.0,3,107.2,69.2,18,0.518,56,0.48200000000000004,27,0.23199999999999998,13,0.462,6,2,200,92.8,29.0,9,26,64,,8.7,6,0.35700000000000004,20,0.2,4,47.4,27,0.515,20.6,16,36,0.639,23,0.33299999999999996,1,"Albert Gersten Pavilion, Los Angeles, California",LOYOLA-MARYMOUNT,Loyola Marymount,69.2,Away,COLORADO-STATE,Colorado State,Colorado State,mwc,3,False,False,False,Away,True,8,13,49,30,57,4,23,56,1,0,22,48,166,0.4879518072289157,108,214,0.5046728971962616,22,62,192,0.4947916666666667,0.6666666666666666
4,2019-11-20-21-colorado-state,51.9,14,7.9,3,113.0,73.1,19,0.62,54,0.5,27,0.35200000000000004,19,0.684,13,1,200,115.9,20.0,5,25,80,,10.1,7,0.37,20,0.65,13,47.1,24,0.635,13.8,10,34,0.41200000000000003,14,0.833,5,"November 20, 2019",75.0,21,17.6,6,115.9,80.0,20,0.535,57,0.491,28,0.42100000000000004,24,0.708,17,2,200,113.0,26.9,7,16,78,,5.8,4,0.33299999999999996,19,0.263,5,52.9,27,0.57,11.8,9,38,0.605,23,0.6,3,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,69.2,Away,ARKANSAS-STATE,Arkansas State,Colorado State,mwc,4,False,True,True,Home,False,5,23,57,27,51,13,14,54,0,1,30,61,215,0.4930232558139535,138,271,0.5092250922509225,26,85,248,0.5,0.75
5,2019-11-25-11-new-mexico-state,54.2,13,0.0,0,101.3,74.2,23,0.561,49,0.49,24,0.469,23,0.652,15,3,225,90.9,8.0,2,16,70,,11.7,9,0.327,16,0.43799999999999994,7,44.6,25,0.584,25.3,20,33,0.515,17,0.5,3,"November 25, 2019",46.4,13,3.0,1,90.9,92.0,23,0.525,61,0.45899999999999996,28,0.262,16,0.875,14,3,225,101.3,25.8,8,19,78,,7.8,6,0.44299999999999995,27,0.29600000000000004,8,55.4,31,0.569,18.1,15,34,0.588,20,0.5,3,"John Gray Gymnasium, Grand Cayman",COLORADO-STATE,Colorado State,68.2,Home,NEW-MEXICO-STATE,New Mexico State,Colorado State,mwc,5,False,False,False,Away,False,7,17,49,25,56,8,20,61,0,1,35,84,272,0.5018382352941176,165,322,0.5124223602484472,39,99,302,0.5215231788079471,0.6
6,2019-11-26-11-loyola-il,43.5,10,5.4,2,95.2,82.6,19,0.583,48,0.479,23,0.271,13,0.385,5,3,200,96.8,3.7,1,11,61,,12.7,8,0.41700000000000004,20,0.5,10,40.0,20,0.563,17.0,11,28,0.46399999999999997,13,0.5710000000000001,4,"November 26, 2019",46.2,12,7.1,2,96.8,96.3,26,0.5489999999999999,51,0.51,26,0.11800000000000001,6,0.667,4,4,200,95.2,17.4,4,12,60,,14.3,9,0.275,14,0.28600000000000003,4,60.0,30,0.557,18.3,12,37,0.595,22,0.429,3,"John Gray Gymnasium, Grand Cayman",LOYOLA-IL,Loyola (IL),63.0,Away,COLORADO-STATE,Colorado State,Colorado State,mwc,6,False,False,False,Away,True,10,13,48,20,50,4,22,51,1,0,42,101,321,0.5109034267912772,190,378,0.5026455026455027,47,119,363,0.522038567493113,0.5
7,2019-11-27-13-washington-state,42.9,12,5.4,2,95.8,78.6,33,0.627,51,0.5489999999999999,28,0.451,23,0.652,15,3,200,109.7,33.3,9,16,79,,5.6,4,0.392,20,0.4,8,60.9,42,0.638,24.7,20,31,0.645,20,0.625,5,"November 27, 2019",40.7,11,3.2,1,109.7,66.7,18,0.46299999999999997,68,0.397,27,0.17600000000000002,12,0.5,6,4,200,95.8,21.4,9,19,69,,8.3,6,0.456,31,0.29,9,39.1,27,0.46799999999999997,8.7,7,37,0.486,18,0.429,3,"John Gray Gymnasium, Grand Cayman",WASHINGTON-STATE,Washington State,72.3,Away,COLORADO-STATE,Colorado State,Colorado State,mwc,7,False,False,False,Away,True,8,20,51,42,69,9,18,68,1,0,52,114,369,0.5203252032520326,210,428,0.4906542056074766,51,141,414,0.5253623188405797,0.5714285714285714
8,2019-12-01-16-colorado-state,63.6,14,6.8,3,126.0,66.7,16,0.456,57,0.386,22,0.175,10,0.9,9,5,200,83.6,22.9,8,16,61,,6.8,5,0.579,33,0.242,8,40.7,24,0.494,22.7,18,24,0.583,14,0.444,4,"December 1, 2019",63.6,21,0.0,0,83.6,77.1,27,0.652,56,0.589,33,0.46399999999999997,26,0.731,19,3,200,126.0,33.3,8,15,92,,15.1,11,0.214,12,0.583,7,59.3,35,0.6729999999999999,16.2,13,44,0.591,26,0.667,6,"Moby Arena, Fort Collins, Colorado",UTAH-VALLEY,Utah Valley,72.6,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,8,True,False,True,Home,True,7,26,56,35,59,8,14,57,1,0,60,134,420,0.5333333333333333,252,497,0.5070422535211268,60,159,482,0.5165975103734439,0.625
9,2019-12-04-21-colorado-state,50.0,15,2.9,1,89.1,81.8,27,0.5660000000000001,61,0.4920000000000001,30,0.18,11,0.909,10,0,200,123.4,33.3,9,15,79,,3.1,2,0.426,26,0.34600000000000003,9,60.0,36,0.596,9.6,7,35,0.6,21,1.0,9,"December 4, 2019",70.0,14,5.7,2,123.4,66.7,18,0.423,52,0.385,20,0.385,20,0.65,13,4,200,89.1,18.2,6,16,57,,6.3,4,0.34600000000000003,18,0.222,4,40.0,24,0.46299999999999997,11.6,8,34,0.47100000000000003,16,0.6,6,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,63.9,Away,SAN-DIEGO-STATE,San Diego State,Colorado State,mwc,9,False,True,True,Home,False,4,16,52,24,60,9,21,61,0,1,67,160,476,0.5472689075630253,287,556,0.5161870503597122,68,173,539,0.5102040816326531,0.6666666666666666
