,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COLUMBIA_homegame,COLUMBIA_homegame2,COLUMBIA_home,COLUMBIA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-lafayette,26.1,6,3.3,1,94.2,78.3,18,0.418,61,0.377,23,0.262,16,0.75,12,1,200,91.3,25.7,9,10,63,,8.7,6,0.311,19,0.263,5,46.6,27,0.45899999999999996,13.9,11,42,0.429,18,0.0,0,"November 5, 2019",50.0,13,16.7,7,91.3,74.3,26,0.6,50,0.52,26,0.1,5,1.0,5,0,200,94.2,21.7,5,16,65,,8.7,6,0.4,20,0.4,8,53.4,31,0.621,27.7,20,30,0.6,18,1.0,1,"Kirby Sports Center, Easton, Pennsylvania",COLUMBIA,Columbia,69.0,Home,LAFAYETTE,Lafayette,Columbia,ivy,0,False,False,False,Away,False,5,18,61,27,58,8,18,50,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-14-wake-forest,40.0,10,9.6,5,84.4,77.8,35,0.444,63,0.397,25,0.14300000000000002,9,0.778,7,2,200,81.8,8.1,3,24,63,,10.4,8,0.413,26,0.231,6,46.3,38,0.46799999999999997,14.1,11,37,0.514,19,0.0,0,"November 10, 2019",36.4,8,2.7,1,81.8,91.9,34,0.371,62,0.355,22,0.46799999999999997,29,0.655,19,1,200,84.4,22.2,10,15,65,,3.9,3,0.161,10,0.2,2,53.7,44,0.429,14.8,13,52,0.385,20,0.5,1,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",COLUMBIA,Columbia,77.0,Home,WAKE-FOREST,Wake Forest,Columbia,ivy,1,False,False,False,Away,False,6,19,63,38,82,2,20,62,0,1,5,18,61,0.4180327868852459,27,58,0.4655172413793103,8,18,50,0.6,0.0
2,2019-11-13-19-columbia,36.4,8,17.6,6,105.6,77.4,24,0.46399999999999997,55,0.4,22,0.309,17,0.706,12,3,200,88.7,20.6,7,16,63,,7.0,5,0.418,23,0.304,7,47.7,31,0.499,17.2,13,32,0.469,15,0.0,0,"November 13, 2019",51.9,14,12.5,4,88.7,79.4,27,0.551,59,0.45799999999999996,27,0.28800000000000003,17,0.588,10,2,200,105.6,22.6,7,13,75,,7.0,5,0.424,25,0.44,11,52.3,34,0.5589999999999999,15.3,12,34,0.47100000000000003,16,0.33299999999999996,1,"Levien Gym, New York, New York",BINGHAMTON,Binghamton,70.6,Home,COLUMBIA,Columbia,Columbia,ivy,2,True,False,True,Home,True,11,16,59,34,65,7,15,55,1,0,11,37,124,0.4314516129032258,65,140,0.4642857142857143,10,38,112,0.4732142857142857,0.0
3,2019-11-16-12-virginia,43.8,7,8.9,4,95.2,66.7,22,0.33899999999999997,56,0.28600000000000003,16,0.107,6,0.667,4,3,200,66.7,27.8,10,13,42,,6.3,4,0.375,21,0.28600000000000003,6,46.4,32,0.35700000000000004,18.1,13,35,0.28600000000000003,10,0.25,1,"November 16, 2019",41.7,10,25.7,9,66.7,72.2,26,0.449,59,0.40700000000000003,24,0.237,14,0.5,7,0,200,95.2,33.3,11,9,60,9.0,12.7,8,0.237,14,0.35700000000000004,5,53.6,37,0.457,12.1,9,45,0.42200000000000004,19,1.0,3,"John Paul Jones Arena, Charlottesville, Virginia",COLUMBIA,Columbia,62.8,Home,VIRGINIA,Virginia,Columbia,ivy,3,False,False,False,Away,False,6,10,56,32,69,5,19,59,0,1,22,53,183,0.4699453551912569,99,205,0.4829268292682927,17,53,167,0.470059880239521,0.3333333333333333
4,2019-11-20-19-st-johns-ny,38.5,10,3.5,2,106.5,68.3,28,0.449,69,0.377,26,0.043,3,0.33299999999999996,1,4,200,81.8,20.0,8,16,63,,5.2,4,0.435,30,0.33299999999999996,10,44.4,36,0.447,18.5,16,39,0.41,16,0.2,1,"November 20, 2019",41.9,13,12.8,5,81.8,80.0,32,0.479,72,0.431,31,0.264,19,0.684,13,1,200,106.5,31.7,13,10,82,,13.0,10,0.20800000000000002,15,0.467,7,55.6,45,0.506,9.1,8,57,0.42100000000000004,24,0.8,4,"Carnesecca Arena, Jamaica, New York",COLUMBIA,Columbia,77.2,Home,ST-JOHNS-NY,St. John's (NY),Columbia,ivy,4,False,False,False,Away,False,10,16,69,36,81,7,24,72,0,1,28,63,239,0.4393305439330544,131,274,0.4781021897810219,22,72,226,0.4646017699115044,0.25
5,2019-11-23-17-columbia,37.5,12,10.8,4,79.7,81.1,30,0.565,62,0.516,32,0.40299999999999997,25,0.68,17,2,200,110.1,23.3,7,8,87,,10.1,8,0.242,15,0.4,6,55.2,37,0.589,13.1,11,47,0.5529999999999999,26,0.6,3,"November 23, 2019",64.0,16,8.5,4,110.1,76.7,23,0.44299999999999995,70,0.35700000000000004,25,0.043,3,0.33299999999999996,1,5,200,79.7,18.9,7,23,63,,6.3,5,0.47100000000000003,33,0.364,12,44.8,30,0.441,18.3,16,37,0.35100000000000003,13,0.16699999999999998,1,"Mohegan Sun Arena, Uncasville, Connecticut",COLUMBIA,Columbia,79.2,Away,RIDER,Rider,Columbia,ivy,5,False,True,True,Home,False,12,13,70,30,67,6,26,62,0,1,38,79,308,0.4415584415584416,167,355,0.4704225352112676,29,96,298,0.4681208053691275,0.2
6,2019-11-24-18-central-connecticut-state,56.3,18,14.3,5,77.6,92.1,35,0.636,59,0.542,32,0.153,9,0.778,7,5,200,122.4,25.0,6,11,82,,4.5,3,0.45799999999999996,27,0.40700000000000003,11,66.1,41,0.648,13.7,10,32,0.6559999999999999,21,0.28600000000000003,2,"November 24, 2019",40.0,8,6.3,2,122.4,75.0,18,0.41200000000000003,57,0.35100000000000003,20,0.193,11,0.455,5,7,200,77.6,7.9,3,12,52,,7.5,5,0.386,22,0.318,7,33.9,21,0.418,10.2,7,35,0.371,13,0.0,0,"Mohegan Sun Arena, Uncasville, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,66.8,Away,COLUMBIA,Columbia,Columbia,ivy,6,False,False,False,Away,True,11,21,59,41,62,7,13,57,1,0,50,92,378,0.4417989417989418,197,422,0.4668246445497629,35,122,360,0.4847222222222222,0.16666666666666666
7,2019-11-30-16-columbia,27.6,8,6.1,2,98.6,83.3,25,0.508,62,0.46799999999999997,29,0.032,2,0.5,1,5,200,92.8,18.5,5,19,64,,5.8,4,0.306,19,0.263,5,52.6,30,0.508,16.0,12,43,0.5579999999999999,24,0.375,3,"November 30, 2019",46.2,12,14.0,6,92.8,81.5,22,0.555,55,0.473,26,0.218,12,0.583,7,5,200,98.6,16.7,5,9,68,,7.2,5,0.4,22,0.409,9,47.4,27,0.56,16.6,12,33,0.515,17,0.375,3,"Levien Gym, New York, New York",LEHIGH,Lehigh,68.8,Home,COLUMBIA,Columbia,Columbia,ivy,7,True,False,True,Home,True,9,17,55,27,57,5,24,62,1,0,61,113,437,0.4679633867276888,238,484,0.4917355371900826,42,135,417,0.4748201438848921,0.2857142857142857
8,2019-12-02-19-delaware,51.7,15,0.0,0,116.7,88.5,23,0.523,64,0.45299999999999996,29,0.188,12,0.75,9,6,200,105.6,12.1,4,14,76,,9.7,7,0.406,26,0.34600000000000003,9,45.8,27,0.545,10.4,8,38,0.526,20,0.33299999999999996,3,"December 2, 2019",41.4,12,5.3,2,105.6,87.9,29,0.62,54,0.537,29,0.35200000000000004,19,0.895,17,0,200,116.7,11.5,3,9,84,,2.8,2,0.37,20,0.45,9,54.2,32,0.6659999999999999,13.8,10,34,0.588,20,1.0,9,"Bob Carpenter Center, Newark, Delaware",COLUMBIA,Columbia,71.9,Home,DELAWARE,Delaware,Columbia,ivy,8,False,False,False,Away,False,9,20,64,27,59,9,20,54,0,1,70,130,492,0.4776422764227642,265,541,0.4898336414048059,47,159,479,0.4791231732776618,0.375
9,2019-12-06-19-bryant,70.8,17,8.3,3,90.5,76.2,32,0.44299999999999995,61,0.39299999999999996,24,0.27899999999999997,17,0.647,11,7,200,87.8,17.1,6,18,65,,2.7,2,0.344,21,0.28600000000000003,6,49.4,38,0.47100000000000003,13.8,11,40,0.45,18,0.3,3,"December 6, 2019",44.4,12,15.0,6,87.8,82.9,29,0.45,70,0.386,27,0.2,14,0.28600000000000003,4,4,200,90.5,23.8,10,20,67,,6.8,5,0.486,34,0.265,9,50.6,39,0.4370000000000001,8.4,7,36,0.5,18,0.6,6,"Chace Athletic Center , Smithfield, Rhode Island",COLUMBIA,Columbia,73.9,Home,BRYANT,Bryant,Columbia,ivy,9,False,False,False,Away,False,6,18,61,38,77,9,18,70,0,1,79,150,556,0.4829136690647482,292,600,0.4866666666666667,56,179,533,0.4934333958724202,0.3333333333333333
