,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DREXEL_homegame,DREXEL_homegame2,DREXEL_home,DREXEL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-temple,70.8,17,12.0,6,94.6,77.1,27,0.391,69,0.348,24,0.159,11,0.727,8,1,200,83.8,32.6,15,14,62,,12.2,9,0.435,30,0.2,6,51.9,42,0.418,15.9,14,39,0.462,18,0.0,0,"November 5, 2019",50.0,14,12.8,5,83.8,67.4,31,0.469,65,0.431,28,0.2,13,0.6920000000000001,9,0,200,94.6,22.9,8,14,70,,14.9,11,0.231,15,0.33299999999999996,5,48.1,39,0.4920000000000001,13.5,11,50,0.46,23,1.0,1,"Liacouras Center, Philadelphia, Pennsylvania",DREXEL,Drexel,73.7,Home,TEMPLE,Temple,Drexel,colonial,0,False,False,False,Away,False,6,18,69,42,81,5,23,65,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-drexel,46.4,13,0.0,0,101.4,73.1,19,0.4920000000000001,62,0.452,28,0.065,4,0.75,3,1,200,90.1,10.3,3,17,64,,7.0,5,0.242,15,0.33299999999999996,5,40.0,22,0.501,14.7,11,47,0.489,23,0.0,0,"November 8, 2019",70.4,19,2.1,1,90.1,89.7,26,0.633,49,0.551,27,0.38799999999999996,19,0.526,10,1,200,101.4,26.9,7,13,72,,9.9,7,0.3670000000000001,18,0.444,8,60.0,33,0.62,24.9,19,31,0.613,19,0.5,1,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",NIAGARA,Niagara,71.0,Home,DREXEL,Drexel,Drexel,colonial,1,True,False,True,Home,True,8,19,49,33,55,5,23,62,1,0,6,18,69,0.39130434782608703,42,81,0.5185185185185185,5,23,65,0.4692307692307692,0.0
2,2019-11-10-14-drexel,43.3,13,6.3,2,107.5,65.2,15,0.531,65,0.462,30,0.308,20,0.7,14,1,225,103.8,8.8,3,26,83,,15.0,12,0.385,25,0.36,9,31.6,18,0.557,9.8,8,40,0.525,21,0.5,1,"November 10, 2019",55.6,15,12.5,5,103.8,91.2,31,0.596,52,0.519,27,0.615,32,0.75,24,1,225,107.5,34.8,8,17,86,,5.0,4,0.385,20,0.4,8,68.4,39,0.64,25.0,22,32,0.594,19,0.667,2,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",ABILENE-CHRISTIAN,Abilene Christian,71.4,Home,DREXEL,Drexel,Drexel,colonial,2,True,False,True,Home,True,8,19,52,39,57,9,21,65,1,0,14,37,118,0.4915254237288136,75,136,0.5514705882352942,10,46,127,0.4803149606299213,0.5
3,2019-11-13-20-rutgers,47.6,10,14.7,5,89.9,76.7,23,0.392,65,0.32299999999999995,21,0.12300000000000001,8,0.75,6,2,200,82.6,25.0,10,21,57,,10.1,7,0.415,27,0.33299999999999996,9,47.1,33,0.414,13.8,11,38,0.316,12,0.5,2,"November 13, 2019",42.1,8,21.1,8,82.6,75.0,30,0.41200000000000003,51,0.373,19,0.49,25,0.8,20,0,200,89.9,23.3,7,13,62,,10.1,7,0.33299999999999996,17,0.235,4,52.9,37,0.493,17.3,13,34,0.441,15,1.0,3,"Rutgers Athletic Center, New Brunswick, New Jersey",DREXEL,Drexel,69.3,Home,RUTGERS,Rutgers,Drexel,colonial,3,False,False,False,Away,False,9,12,65,33,70,4,15,51,0,1,22,56,170,0.5235294117647059,114,193,0.5906735751295337,19,67,192,0.4973958333333333,0.6666666666666666
4,2019-11-16-18-stephen-f-austin,55.0,11,2.3,1,101.2,66.7,22,0.563,40,0.5,20,0.75,30,0.733,22,3,200,82.7,15.4,4,20,67,,7.4,6,0.35,14,0.35700000000000004,5,44.1,26,0.618,36.1,30,26,0.5770000000000001,15,0.4,2,"November 16, 2019",51.7,15,19.2,5,82.7,84.6,22,0.516,61,0.475,29,0.41,25,0.76,19,0,200,101.2,33.3,11,25,82,,21.0,17,0.295,18,0.278,5,55.9,33,0.563,21.7,20,43,0.5579999999999999,24,1.0,4,"William Johnson Coliseum, Nacogdoches, Texas",DREXEL,Drexel,81.1,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Drexel,colonial,4,False,False,False,Away,False,5,15,40,26,59,5,24,61,0,1,31,68,235,0.4872340425531914,147,263,0.5589353612167299,23,82,243,0.4794238683127572,0.5
5,2019-11-20-19-drexel,30.0,9,5.3,2,119.4,72.4,21,0.462,66,0.455,30,0.258,17,0.765,13,3,200,102.8,34.4,11,18,74,,9.7,7,0.16699999999999998,11,0.091,1,52.5,32,0.499,13.0,11,55,0.527,29,0.5710000000000001,4,"November 20, 2019",90.3,28,7.3,4,102.8,65.6,21,0.5870000000000001,63,0.4920000000000001,31,0.23800000000000002,15,0.8,12,3,200,119.4,27.6,8,15,86,,11.1,8,0.397,25,0.48,12,47.5,29,0.613,10.3,8,38,0.5,19,0.5,3,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",BRYANT,Bryant,72.1,Home,DREXEL,Drexel,Drexel,colonial,5,True,False,True,Home,True,12,19,63,29,61,1,29,66,1,0,36,83,275,0.4981818181818182,173,322,0.5372670807453416,28,106,304,0.4868421052631579,0.4
6,2019-11-25-11-drexel,47.6,10,4.7,2,116.7,55.0,22,0.386,57,0.368,21,0.158,9,0.778,7,0,200,70.8,25.8,8,18,51,,8.3,6,0.281,16,0.125,2,42.3,30,0.41600000000000004,22.8,18,41,0.46299999999999997,19,0.0,0,"November 25, 2019",51.4,18,19.5,8,70.8,74.2,23,0.542,71,0.493,35,0.21100000000000002,15,0.467,7,3,200,116.7,45.0,18,14,84,,11.1,8,0.39399999999999996,28,0.25,7,57.7,41,0.5379999999999999,14.3,13,43,0.6509999999999999,28,0.5710000000000001,4,"Daskalakis Athletic Center, Philadelphia, Pennsylvania","Rosemont
			","Rosemont
			",72.2,Home,DREXEL,Drexel,Drexel,colonial,6,True,False,True,Home,True,7,28,71,41,71,2,19,57,1,0,48,102,338,0.514792899408284,202,383,0.5274151436031331,29,135,370,0.4824324324324325,0.5
7,2019-11-30-13-maryland-baltimore-county,71.4,15,10.9,5,128.8,71.4,20,0.551,49,0.429,21,0.22399999999999998,11,0.545,6,4,200,90.9,27.6,8,14,60,,7.6,5,0.5920000000000001,29,0.414,12,49.1,28,0.5529999999999999,25.1,18,20,0.45,9,0.5,4,"November 30, 2019",48.6,17,5.0,1,90.9,72.4,21,0.613,62,0.565,35,0.226,14,0.643,9,3,200,128.8,28.6,8,13,85,,16.7,11,0.258,16,0.375,6,50.9,29,0.619,10.5,8,46,0.63,29,0.625,5,"UMBC Event Center, Baltimore, Maryland",DREXEL,Drexel,66.4,Home,MARYLAND-BALTIMORE-COUNTY,UMBC,Drexel,colonial,7,False,False,False,Away,False,12,9,49,28,57,6,29,62,0,1,55,130,409,0.5195599022004891,243,454,0.5352422907488987,31,154,427,0.4695550351288056,0.5714285714285714
8,2019-12-04-19-drexel,46.2,12,0.0,0,110.8,79.2,19,0.469,64,0.406,26,0.32799999999999996,21,0.762,16,6,200,102.7,25.0,9,18,76,,10.8,8,0.45299999999999996,29,0.276,8,46.7,28,0.514,12.0,10,35,0.514,18,0.14300000000000002,1,"December 4, 2019",42.4,14,20.0,7,102.7,75.0,27,0.645,55,0.6,33,0.29100000000000004,16,0.688,11,4,200,110.8,20.8,5,20,82,,6.8,5,0.23600000000000002,13,0.385,5,53.3,32,0.655,19.5,15,42,0.667,28,0.556,5,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",PRINCETON,Princeton,73.8,Home,DREXEL,Drexel,Drexel,colonial,8,True,False,True,Home,True,5,28,55,32,60,8,18,64,1,0,67,139,458,0.5229257641921398,271,511,0.5303326810176126,37,183,489,0.4877300613496933,0.5
9,2019-12-07-14-drexel,50.0,14,10.0,5,86.3,65.8,25,0.534,58,0.483,28,0.259,15,0.6,9,3,200,97.3,33.3,10,21,71,,9.6,7,0.36200000000000004,21,0.28600000000000003,6,51.5,35,0.545,19.9,16,37,0.595,22,0.625,5,"December 7, 2019",52.4,11,8.1,3,97.3,66.7,20,0.369,61,0.344,21,0.39299999999999996,24,0.75,18,5,200,86.3,34.2,13,19,63,,9.6,7,0.18,11,0.273,3,48.5,33,0.435,17.3,15,50,0.36,18,0.5,5,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",DREXEL,Drexel,72.8,Away,LA-SALLE,La Salle,Drexel,colonial,9,False,True,True,Home,False,3,18,61,33,68,6,22,58,0,1,72,167,513,0.5360623781676414,303,571,0.5306479859894921,45,201,553,0.4855334538878842,0.5555555555555556
