,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,EAST-TENNESSEE-STATE_homegame,EAST-TENNESSEE-STATE_homegame2,EAST-TENNESSEE-STATE_home,EAST-TENNESSEE-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-19-east-tennessee-state,23.5,4,0.0,0,114.5,63.3,19,0.385,48,0.354,17,0.33299999999999996,16,0.813,13,0,200,72.5,14.3,4,23,50,,8.7,6,0.20800000000000002,10,0.3,3,39.7,23,0.45,22.5,16,38,0.368,14,0.0,0,"November 6, 2019",50.0,14,18.4,7,72.5,85.7,24,0.552,58,0.483,28,0.379,22,0.682,15,0,200,114.5,36.7,11,17,79,,14.5,10,0.345,20,0.4,8,60.3,35,0.5770000000000001,15.1,12,38,0.526,20,1.0,1,"Freedom Hall Civic Center, Johnson City, Tennessee","Newberry
			","Newberry
			",68.5,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,0,True,False,True,Home,True,8,20,58,35,58,3,14,48,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-20-tennessee-martin,57.1,20,17.5,7,98.7,65.0,26,0.7140000000000001,56,0.625,35,0.35700000000000004,20,0.6,12,0,200,121.1,47.6,10,25,92,,10.5,8,0.35700000000000004,20,0.5,10,59.0,36,0.7020000000000001,22.7,19,36,0.6940000000000001,25,1.0,2,"November 9, 2019",48.1,13,5.6,2,121.1,52.4,11,0.46299999999999997,67,0.40299999999999997,27,0.26899999999999996,18,0.722,13,1,200,98.7,35.0,14,19,75,,5.3,4,0.40299999999999997,27,0.29600000000000004,8,41.0,25,0.496,16.7,15,40,0.475,19,0.5,1,"Skyhawk Arena, Martin, Tennessee",TENNESSEE-MARTIN,UT-Martin,75.5,Away,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,1,False,False,False,Away,True,10,25,56,36,61,8,19,67,1,0,8,20,58,0.5517241379310345,35,58,0.603448275862069,3,14,48,0.3854166666666667,1.0
2,2019-11-14-19-east-tennessee-state,48.0,12,6.9,2,98.4,66.7,20,0.509,54,0.46299999999999997,25,0.16699999999999998,9,0.33299999999999996,3,2,200,93.5,33.3,10,19,58,,9.7,6,0.315,17,0.294,5,50.0,30,0.498,19.5,14,37,0.541,20,0.5,2,"November 14, 2019",61.9,13,16.2,6,93.5,66.7,20,0.49,50,0.42,21,0.46,23,0.522,12,0,200,98.4,33.3,10,13,61,,11.3,7,0.42,21,0.33299999999999996,7,50.0,30,0.501,15.5,11,29,0.483,14,1.0,3,"Freedom Hall Civic Center, Johnson City, Tennessee",WINTHROP,Winthrop,62.1,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,2,True,False,True,Home,True,7,14,50,30,60,5,20,54,1,0,18,45,114,0.631578947368421,71,119,0.5966386554621849,11,33,115,0.4304347826086957,1.0
3,2019-11-19-20-kansas,52.2,12,10.0,4,104.2,80.8,21,0.45799999999999996,60,0.38299999999999995,23,0.25,15,0.5329999999999999,8,1,200,87.5,31.4,11,19,63,,15.3,11,0.5,30,0.3,9,52.5,32,0.469,19.4,16,30,0.467,14,0.75,3,"November 19, 2019",63.3,19,26.7,8,87.5,68.6,24,0.565,54,0.556,30,0.33299999999999996,18,0.778,14,1,200,104.2,19.2,5,16,75,4.0,19.4,14,0.259,14,0.071,1,47.5,29,0.6,19.5,15,40,0.725,29,0.75,3,"Allen Fieldhouse, Lawrence, Kansas",EAST-TENNESSEE-STATE,ETSU,72.3,Home,KANSAS,Kansas,East Tennessee State,southern,3,False,False,False,Away,False,9,14,60,32,61,1,29,54,0,1,25,59,164,0.5884146341463414,101,179,0.5642458100558659,16,53,169,0.4556213017751479,1.0
4,2019-11-23-14-east-tennessee-state,50.0,11,8.6,3,125.6,53.1,17,0.426,61,0.361,22,0.32799999999999996,20,0.7,14,6,200,84.6,20.5,8,26,66,,7.7,6,0.426,26,0.308,8,35.2,25,0.46799999999999997,19.6,17,35,0.4,14,0.0,0,"November 23, 2019",67.7,21,20.0,7,84.6,79.5,31,0.583,60,0.517,31,0.6,36,0.778,28,1,200,125.6,46.9,15,17,98,,16.7,13,0.41700000000000004,25,0.32,8,64.8,46,0.636,15.6,14,35,0.657,23,0.8,4,"Freedom Hall Civic Center, Johnson City, Tennessee",DELAWARE-STATE,Delaware State,77.8,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,4,True,False,True,Home,True,8,23,60,46,71,8,14,61,1,0,34,73,224,0.5535714285714286,133,240,0.5541666666666667,17,82,223,0.4820627802690583,0.75
5,2019-11-24-14-east-tennessee-state,17.4,4,13.0,3,100.0,83.3,25,0.431,58,0.397,23,0.276,16,0.5,8,3,200,82.9,21.6,8,21,58,,11.4,8,0.276,16,0.25,4,49.3,33,0.442,18.7,15,42,0.452,19,0.5,3,"November 24, 2019",61.9,13,14.3,6,82.9,78.4,29,0.5429999999999999,47,0.447,21,0.532,25,0.76,19,1,200,100.0,16.7,5,16,70,,8.6,6,0.511,24,0.375,9,50.7,34,0.594,19.4,14,23,0.522,12,0.833,5,"Freedom Hall Civic Center, Johnson City, Tennessee",SOUTHERN-UTAH,Southern Utah,70.2,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,5,True,False,True,Home,True,9,12,47,34,67,4,19,58,1,0,42,96,284,0.5598591549295775,179,311,0.5755627009646302,25,96,284,0.4700704225352113,0.8
6,2019-11-26-19-east-tennessee-state,54.5,12,6.7,2,111.4,70.3,26,0.491,54,0.40700000000000003,22,0.5,27,0.593,16,4,200,98.6,18.9,7,23,69,,10.0,7,0.48100000000000004,26,0.34600000000000003,9,44.6,33,0.516,12.0,9,28,0.46399999999999997,13,0.5,4,"November 26, 2019",57.7,15,14.3,4,98.6,81.1,30,0.544,57,0.456,26,0.456,26,0.615,16,1,200,111.4,29.7,11,20,78,,4.3,3,0.474,27,0.37,10,55.4,41,0.562,14.9,12,30,0.5329999999999999,16,0.857,6,"Freedom Hall Civic Center, Johnson City, Tennessee",APPALACHIAN-STATE,Appalachian State,69.6,Home,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,6,True,False,True,Home,True,10,16,57,41,74,9,13,54,1,0,51,108,331,0.5574018126888217,213,378,0.5634920634920635,29,115,342,0.4634502923976608,0.8333333333333334
7,2019-11-30-15-arkansas-little-rock,39.1,9,4.0,1,101.6,64.0,16,0.5589999999999999,51,0.451,23,0.235,12,0.833,10,1,200,108.1,23.1,6,17,67,,9.7,6,0.431,22,0.5,11,43.1,22,0.591,16.3,11,29,0.414,12,0.875,7,"November 30, 2019",57.1,12,3.4,1,108.1,76.9,20,0.556,45,0.467,21,0.4,18,0.722,13,4,200,101.6,36.0,9,17,63,,9.7,6,0.444,20,0.4,8,56.9,29,0.588,24.3,17,25,0.52,13,0.556,5,"Jack Stephens Center, Little Rock, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,61.6,Away,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,7,False,False,False,Away,True,11,12,51,22,51,8,13,45,1,0,61,124,388,0.5554123711340206,254,452,0.5619469026548672,38,128,396,0.4671717171717172,0.8571428571428571
8,2019-12-04-19-citadel,36.1,13,12.5,5,110.5,85.3,29,0.623,65,0.5539999999999999,36,0.32299999999999995,21,0.7140000000000001,15,1,200,126.3,51.6,16,20,96,,7.9,6,0.354,23,0.391,9,69.2,45,0.64,17.7,16,42,0.643,27,0.889,8,"December 4, 2019",45.2,14,2.4,1,126.3,48.4,15,0.556,63,0.4920000000000001,31,0.33299999999999996,21,0.667,14,5,200,110.5,14.7,5,17,84,,10.5,8,0.365,23,0.348,8,30.8,20,0.5760000000000001,11.1,9,40,0.575,23,0.375,3,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,76.0,Away,EAST-TENNESSEE-STATE,ETSU,East Tennessee State,southern,8,False,False,False,Away,True,9,27,65,45,65,8,23,63,1,0,72,136,439,0.5558086560364465,276,503,0.5487077534791253,46,141,441,0.4761904761904762,0.875
9,2019-12-07-20-north-dakota-state,37.5,9,3.7,1,116.4,69.2,18,0.529,51,0.47100000000000003,24,0.33299999999999996,17,0.8240000000000001,14,2,200,101.5,26.9,7,25,68,,11.9,8,0.353,18,0.33299999999999996,6,48.1,25,0.5760000000000001,20.4,15,33,0.545,18,0.8,8,"December 7, 2019",50.0,11,0.0,0,101.5,73.1,19,0.542,48,0.45799999999999996,22,0.625,30,0.867,26,4,200,116.4,30.8,8,19,78,,13.4,9,0.43799999999999994,21,0.381,8,51.9,27,0.627,17.5,13,27,0.519,14,0.6,6,"Scheels Center, Fargo, North Dakota",EAST-TENNESSEE-STATE,ETSU,67.2,Home,NORTH-DAKOTA-STATE,North Dakota State,East Tennessee State,southern,9,False,False,False,Away,False,6,18,51,25,52,8,14,48,0,1,81,163,504,0.5644841269841271,321,568,0.5651408450704225,54,164,504,0.4861111111111111,0.8888888888888888
