,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,EASTERN-WASHINGTON_homegame,EASTERN-WASHINGTON_homegame2,EASTERN-WASHINGTON_home,EASTERN-WASHINGTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-eastern-washington,71.4,5,0.0,0,144.6,59.4,19,0.163,49,0.14300000000000002,7,0.22399999999999998,11,0.818,9,0,200,33.8,30.8,12,12,25,,2.7,2,0.28600000000000003,14,0.14300000000000002,2,43.7,31,0.231,36.5,31,35,0.14300000000000002,5,0.0,0,"November 5, 2019",62.8,27,22.9,8,33.8,69.2,27,0.6409999999999999,78,0.551,43,0.115,9,0.778,7,0,200,144.6,40.6,13,13,107,,31.1,23,0.385,30,0.467,14,56.3,40,0.65,6.8,6,48,0.604,29,1.0,1,"Reese Court, Cheney, Washington","Portland Bible
			","Portland Bible
			",74.3,Home,EASTERN-WASHINGTON,Eastern Washington,Eastern Washington,big-sky,0,True,False,True,Home,True,14,29,78,40,71,2,5,49,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-22-seattle,21.7,5,9.8,5,82.5,80.0,36,0.441,59,0.39,23,0.542,32,0.688,22,0,200,92.5,22.2,8,23,74,,2.5,2,0.525,31,0.19399999999999998,6,54.3,44,0.499,17.0,15,28,0.607,17,1.0,2,"November 9, 2019",20.8,5,0.0,0,92.5,77.8,28,0.375,68,0.353,24,0.324,22,0.682,15,2,200,82.5,20.0,9,24,66,,12.5,10,0.25,17,0.17600000000000002,3,45.7,37,0.42100000000000004,11.4,10,51,0.41200000000000003,21,0.33299999999999996,1,"Connolly Center, Seattle, Washington",SEATTLE,Seattle,80.3,Away,EASTERN-WASHINGTON,Eastern Washington,Eastern Washington,big-sky,1,False,False,False,Away,True,6,17,59,44,81,3,21,68,1,0,14,29,78,0.6410256410256411,40,71,0.5633802816901409,2,5,49,0.16326530612244894,1.0
2,2019-11-13-20-saint-louis,63.2,12,3.0,1,105.1,77.4,24,0.373,63,0.302,19,0.28600000000000003,18,0.722,13,1,200,76.9,26.1,12,22,60,,10.3,8,0.413,26,0.34600000000000003,9,46.8,36,0.419,20.2,18,37,0.27,10,0.667,2,"November 13, 2019",74.2,23,16.2,6,76.9,73.9,34,0.648,54,0.574,31,0.519,28,0.429,12,0,200,105.1,22.6,7,25,82,,14.1,11,0.389,21,0.381,8,53.2,41,0.609,21.3,18,33,0.6970000000000001,23,1.0,3,"Chaifetz Arena, St. Louis, Missouri",EASTERN-WASHINGTON,Eastern Washington,77.9,Home,SAINT-LOUIS,Saint Louis,Eastern Washington,big-sky,2,False,False,False,Away,False,9,10,63,36,77,8,23,54,0,1,20,46,137,0.5547445255474452,84,152,0.5526315789473685,5,26,117,0.2863247863247863,1.0
3,2019-11-20-19-boston-college,53.8,14,2.6,1,92.3,77.1,27,0.47100000000000003,69,0.377,26,0.087,6,0.5,3,2,200,87.2,17.9,7,19,68,,10.3,8,0.551,38,0.342,13,45.9,34,0.473,17.3,15,31,0.419,13,0.5,2,"November 20, 2019",60.9,14,12.9,4,87.2,82.1,32,0.465,57,0.40399999999999997,23,0.456,26,0.731,19,1,200,92.3,22.9,8,11,72,,12.8,10,0.33299999999999996,19,0.368,7,54.1,40,0.519,17.0,14,38,0.42100000000000004,16,0.8,4,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",EASTERN-WASHINGTON,Eastern Washington,77.6,Home,BOSTON-COLLEGE,Boston College,Eastern Washington,big-sky,3,False,False,False,Away,False,13,13,69,34,74,7,16,57,0,1,29,56,200,0.4975,120,229,0.5240174672489083,13,49,171,0.40058479532163743,0.6666666666666666
4,2019-11-23-14-high-point,77.8,21,9.1,4,98.7,50.0,21,0.595,58,0.466,27,0.5,29,0.7240000000000001,21,2,200,120.0,33.3,11,26,90,,13.3,10,0.552,32,0.469,15,42.7,32,0.627,17.5,15,26,0.462,12,0.6,3,"November 23, 2019",60.0,12,23.1,6,120.0,66.7,22,0.35200000000000004,61,0.32799999999999996,20,0.607,37,0.838,31,6,200,98.7,50.0,21,24,74,,8.0,6,0.27899999999999997,17,0.17600000000000002,3,57.3,43,0.47100000000000003,17.2,16,44,0.386,17,0.0,0,"Millis Center, High Point, North Carolina",HIGH-POINT,High Point,74.7,Away,EASTERN-WASHINGTON,Eastern Washington,Eastern Washington,big-sky,4,False,False,False,Away,True,15,12,58,32,75,3,17,61,1,0,42,69,269,0.4907063197026023,154,303,0.5082508250825083,20,65,228,0.4166666666666667,0.5
5,2019-11-26-21-eastern-washington,70.6,24,11.1,4,108.8,87.9,29,0.602,64,0.531,34,0.125,8,0.625,5,3,200,102.5,12.5,4,20,82,,8.8,7,0.375,24,0.375,9,50.8,33,0.605,20.1,17,40,0.625,25,0.5710000000000001,4,"November 26, 2019",56.3,18,5.0,2,102.5,87.5,28,0.5870000000000001,63,0.508,32,0.27,17,0.765,13,2,200,108.8,12.1,4,14,87,,10.0,8,0.429,27,0.37,10,49.2,32,0.612,15.6,13,36,0.611,22,0.667,4,"Reese Court, Cheney, Washington",BELMONT,Belmont,80.4,Home,EASTERN-WASHINGTON,Eastern Washington,Eastern Washington,big-sky,5,True,False,True,Home,True,10,22,63,32,65,9,25,64,1,0,57,81,327,0.5091743119266054,186,378,0.492063492063492,23,82,289,0.4031141868512111,0.6
6,2019-12-04-22-washington,58.6,17,2.7,1,109.8,67.9,19,0.507,67,0.433,29,0.32799999999999996,22,0.545,12,3,200,97.6,32.4,12,27,80,,6.1,5,0.478,32,0.313,10,47.7,31,0.516,18.1,17,35,0.5429999999999999,19,0.5710000000000001,4,"December 4, 2019",51.9,14,14.3,5,97.6,67.6,25,0.526,58,0.466,27,0.621,36,0.8059999999999999,29,1,200,109.8,32.1,9,22,90,22.0,14.6,12,0.36200000000000004,21,0.33299999999999996,7,52.3,34,0.599,16.9,15,37,0.541,20,0.875,7,"Alaska Airlines Arena, Seattle, Washington",EASTERN-WASHINGTON,Eastern Washington,81.8,Home,WASHINGTON,Washington,Eastern Washington,big-sky,6,False,False,False,Away,False,10,19,67,31,65,7,20,58,0,1,67,103,390,0.5217948717948718,218,443,0.492099322799097,32,107,353,0.4390934844192633,0.6666666666666666
7,2019-12-08-18-eastern-washington,50.0,15,5.2,3,119.5,79.4,27,0.515,66,0.455,30,0.273,18,0.778,14,7,200,100.0,21.6,8,15,82,,3.7,3,0.39399999999999996,26,0.308,8,49.3,35,0.55,15.9,14,40,0.55,22,0.364,4,"December 8, 2019",42.9,18,12.5,5,100.0,78.4,29,0.575,80,0.525,42,0.1,8,0.75,6,3,200,119.5,20.6,7,19,98,,13.4,11,0.275,22,0.364,8,50.7,36,0.585,6.7,6,58,0.586,34,0.625,5,"Reese Court, Cheney, Washington",NORTH-DAKOTA,North Dakota,81.7,Home,EASTERN-WASHINGTON,Eastern Washington,Eastern Washington,big-sky,7,True,False,True,Home,True,8,34,80,36,71,8,22,66,1,0,77,122,457,0.5196936542669585,249,508,0.4901574803149607,39,127,411,0.451338199513382,0.5714285714285714
8,2019-12-13-21-eastern-washington,60.6,20,4.5,3,149.0,52.8,19,0.483,90,0.3670000000000001,33,0.022000000000000002,2,1.0,2,0,200,90.8,12.5,7,17,89,,4.1,4,0.644,58,0.36200000000000004,21,28.3,26,0.489,13.3,14,32,0.375,12,0.0,0,"December 13, 2019",66.1,39,12.5,4,90.8,87.5,49,0.6829999999999999,93,0.634,59,0.247,23,0.826,19,3,200,149.0,47.2,17,10,146,,8.2,8,0.28,26,0.34600000000000003,9,71.7,66,0.7020000000000001,10.4,12,67,0.746,50,0.667,6,"Reese Court, Cheney, Washington","Multnomah
			","Multnomah
			",98.4,Home,EASTERN-WASHINGTON,Eastern Washington,Eastern Washington,big-sky,8,True,False,True,Home,True,9,50,93,66,92,21,12,90,1,0,85,156,537,0.5279329608938548,285,579,0.4922279792746114,47,149,477,0.460167714884696,0.625
9,2019-12-17-21-eastern-washington,61.9,13,8.3,3,116.9,74.2,23,0.35700000000000004,63,0.33299999999999996,21,0.254,16,0.688,11,8,200,67.5,14.0,6,17,56,,6.0,5,0.254,16,0.188,3,39.2,29,0.397,19.5,17,47,0.38299999999999995,18,0.429,6,"December 17, 2019",71.8,28,10.6,5,67.5,86.0,37,0.632,72,0.542,39,0.139,10,0.6,6,3,200,116.9,25.8,8,17,97,,9.6,8,0.5,36,0.361,13,60.8,45,0.632,16.4,15,36,0.722,26,0.7,7,"Reese Court, Cheney, Washington",NEBRASKA-OMAHA,Omaha,82.7,Home,EASTERN-WASHINGTON,Eastern Washington,Eastern Washington,big-sky,9,True,False,True,Home,True,13,26,72,45,74,3,18,63,1,0,94,206,630,0.5507936507936508,351,671,0.5230998509687034,68,161,567,0.4638447971781305,0.6666666666666666
