,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FRESNO-STATE_homegame,FRESNO-STATE_homegame2,FRESNO-STATE_home,FRESNO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-oregon,73.7,14,14.9,7,100.0,58.3,21,0.4270000000000001,55,0.345,19,0.255,14,0.7140000000000001,10,1,200,80.3,20.0,7,19,57,,7.0,5,0.655,36,0.25,9,39.4,28,0.462,21.8,17,19,0.526,10,0.0,0,"November 5, 2019",44.0,11,10.5,2,80.3,80.0,28,0.425,60,0.41700000000000004,25,0.45,27,0.741,20,0,200,100.0,41.7,15,12,71,15.0,11.3,8,0.217,13,0.077,1,60.6,43,0.48700000000000004,15.3,13,47,0.511,24,1.0,1,"Matthew Knight Arena, Eugene, Oregon",FRESNO-STATE,Fresno State,71.2,Home,OREGON,Oregon,Fresno State,mwc,0,False,False,False,Away,False,9,10,55,28,71,1,24,60,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-17-fresno-state,53.6,15,7.1,2,114.9,66.7,16,0.5479999999999999,63,0.444,28,0.14300000000000002,9,0.556,5,1,200,110.4,22.2,8,18,74,,4.5,3,0.54,34,0.382,13,40.0,24,0.55,10.7,8,29,0.517,15,0.5,1,"November 10, 2019",44.0,11,10.3,3,110.4,77.8,28,0.5870000000000001,52,0.48100000000000004,25,0.385,20,0.8,16,1,200,114.9,33.3,8,18,77,,7.5,5,0.462,24,0.45799999999999996,11,60.0,36,0.626,18.7,14,28,0.5,14,0.5,1,"Save Mart Center, Fresno, California",WINTHROP,Winthrop,67.4,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,1,True,False,True,Home,True,11,14,52,36,60,13,15,63,1,0,9,10,55,0.4272727272727273,28,71,0.39436619718309857,1,24,60,0.425,0.0
2,2019-11-12-22-san-diego,47.8,11,7.9,3,91.1,83.3,30,0.406,64,0.359,23,0.32799999999999996,21,0.667,14,2,225,83.5,29.3,12,21,66,,6.3,5,0.469,30,0.2,6,54.5,42,0.446,18.8,17,34,0.5,17,0.33299999999999996,1,"November 12, 2019",70.8,17,8.8,3,83.5,70.7,29,0.444,62,0.387,24,0.355,22,0.773,17,2,225,91.1,16.7,6,20,72,,10.1,8,0.387,24,0.292,7,45.5,35,0.4970000000000001,14.3,12,38,0.447,17,0.33299999999999996,1,"Jenny Craig Pavillion, San Diego, California",FRESNO-STATE,Fresno State,70.0,Home,SAN-DIEGO,San Diego,Fresno State,mwc,2,False,False,False,Away,False,6,17,64,42,77,7,17,62,0,1,20,24,107,0.5046728971962616,64,131,0.4885496183206106,14,39,123,0.4878048780487805,0.5
3,2019-11-17-17-fresno-state,57.1,8,3.0,1,121.1,65.9,27,0.306,49,0.28600000000000003,14,0.551,27,0.63,17,0,200,61.8,11.1,4,29,47,,7.9,6,0.327,16,0.125,2,40.3,31,0.38,22.8,18,33,0.364,12,0.0,0,"November 17, 2019",64.5,20,15.2,5,61.8,88.9,32,0.597,62,0.5,31,0.565,35,0.514,18,2,200,121.1,34.1,14,23,92,,13.2,10,0.46799999999999997,29,0.414,12,59.7,46,0.585,12.4,11,33,0.5760000000000001,19,0.5,2,"Save Mart Center, Fresno, California","Cal State San Bernardino
			","Cal State San Bernardino
			",75.7,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,3,True,False,True,Home,True,12,19,62,46,77,2,12,49,1,0,26,41,171,0.4678362573099415,106,208,0.5096153846153846,21,56,185,0.472972972972973,0.3333333333333333
4,2019-11-20-23-fresno-state,42.3,11,13.8,4,103.6,68.0,17,0.569,51,0.51,26,0.235,12,0.833,10,1,200,121.4,30.8,8,12,68,,16.1,9,0.353,18,0.33299999999999996,6,49.0,25,0.6,8.2,5,33,0.606,20,0.8,4,"November 20, 2019",31.8,7,12.1,4,121.4,69.2,18,0.51,52,0.423,22,0.17300000000000001,9,0.556,5,3,200,103.6,32.0,8,10,58,,5.4,3,0.442,23,0.391,9,51.0,26,0.515,16.4,11,29,0.44799999999999995,13,0.4,2,"Golden 1 Center, Sacramento, California",FRESNO-STATE,Fresno State,56.5,Away,SAINT-MARYS-CA,Saint Mary's,Fresno State,mwc,4,False,True,True,Home,False,9,13,52,26,51,6,20,51,0,1,38,60,233,0.5021459227467812,152,285,0.5333333333333333,23,68,234,0.438034188034188,0.5
5,2019-11-30-18-cal-state-northridge,55.6,15,7.1,2,117.7,81.3,26,0.58,56,0.48200000000000004,27,0.214,12,0.583,7,4,200,116.1,24.1,7,19,72,,3.2,2,0.625,35,0.314,11,54.1,33,0.583,10.3,7,21,0.762,16,0.33299999999999996,2,"November 30, 2019",65.2,15,9.5,2,116.1,75.9,22,0.518,56,0.41100000000000003,23,0.304,17,0.882,15,7,200,117.7,18.8,6,14,73,,3.2,2,0.5,28,0.429,12,45.9,28,0.57,7.3,5,28,0.39299999999999996,11,0.125,1,"The Matadome, Northridge, California",FRESNO-STATE,Fresno State,62.4,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Fresno State,mwc,5,False,False,False,Away,False,11,16,56,33,61,12,11,56,0,1,47,73,285,0.5035087719298246,178,336,0.5297619047619048,29,88,285,0.4614035087719298,0.4
6,2019-12-04-22-fresno-state,45.8,11,10.5,2,108.1,78.0,32,0.467,61,0.39299999999999996,24,0.574,35,0.6859999999999999,24,6,250,109.5,37.8,14,25,81,,4.1,3,0.426,26,0.34600000000000003,9,59.0,46,0.522,13.6,12,35,0.429,15,0.4,4,"December 4, 2019",69.6,16,20.0,7,109.5,62.2,23,0.4920000000000001,61,0.377,23,0.45899999999999996,28,0.7140000000000001,20,5,250,108.1,22.0,9,24,80,,6.8,5,0.6890000000000001,42,0.33299999999999996,14,41.0,32,0.5379999999999999,9.8,8,19,0.474,9,0.28600000000000003,2,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,59.6,Away,NEVADA-LAS-VEGAS,UNLV,Fresno State,mwc,6,False,True,True,Home,False,14,9,61,32,78,9,15,61,0,1,58,89,341,0.5161290322580645,211,397,0.5314861460957179,41,99,341,0.4706744868035191,0.3333333333333333
7,2019-12-07-18-utah-state,40.0,10,12.2,5,100.0,74.4,29,0.419,68,0.368,25,0.221,15,0.867,13,6,225,90.9,17.5,7,26,70,,9.1,7,0.5,34,0.20600000000000002,7,45.6,36,0.466,11.8,10,34,0.529,18,0.25,2,"December 7, 2019",61.9,13,8.8,3,90.9,82.5,33,0.38299999999999995,60,0.35,21,0.5670000000000001,34,0.912,31,1,225,100.0,25.6,10,15,77,25.0,10.4,8,0.317,19,0.21100000000000002,4,54.4,43,0.506,11.8,10,41,0.415,17,0.9,9,"Dee Glen Smith Spectrum, Logan, Utah",FRESNO-STATE,Fresno State,68.6,Home,UTAH-STATE,Utah State,Fresno State,mwc,7,False,False,False,Away,False,7,18,68,36,79,4,17,60,0,1,72,98,402,0.5124378109452736,243,475,0.511578947368421,50,114,402,0.4701492537313433,0.2857142857142857
8,2019-12-11-22-california,27.3,6,8.3,3,113.1,80.8,21,0.455,56,0.39299999999999996,22,0.321,18,0.667,12,7,200,103.3,41.9,13,18,63,,1.6,1,0.33899999999999997,19,0.368,7,59.6,34,0.488,14.7,11,37,0.405,15,0.222,2,"December 11, 2019",37.5,9,13.5,5,103.3,58.1,18,0.54,50,0.48,24,0.36,18,0.833,15,4,200,113.1,19.2,5,17,69,,3.3,2,0.28,14,0.429,6,40.4,23,0.589,9.4,6,36,0.5,18,0.6,6,"Haas Pavilion, Berkeley, California",FRESNO-STATE,Fresno State,61.1,Home,CALIFORNIA,California,Fresno State,mwc,8,False,False,False,Away,False,7,15,56,34,57,6,18,50,0,1,79,116,470,0.498936170212766,279,554,0.5036101083032491,54,131,462,0.4588744588744589,0.25
9,2019-12-14-22-cal-poly,56.5,13,9.1,3,57.8,83.8,31,0.5,53,0.434,23,0.226,12,0.75,9,7,200,96.9,45.2,14,16,62,,15.6,10,0.45299999999999996,24,0.292,7,66.2,45,0.528,24.6,19,29,0.552,16,0.3,3,"December 14, 2019",25.0,3,3.4,1,96.9,54.8,17,0.255,49,0.245,12,0.306,15,0.8,12,8,200,57.8,16.2,6,12,37,,14.1,9,0.327,16,0.063,1,33.8,23,0.33,20.1,14,33,0.33299999999999996,11,0.2,2,"Robert A. Mott Gymnasium, San Luis Obispo, California",CAL-POLY,Cal Poly,63.9,Away,FRESNO-STATE,Fresno State,Fresno State,mwc,9,False,False,False,Away,True,7,16,53,45,68,1,11,49,1,0,86,131,526,0.4942965779467681,313,611,0.5122749590834698,60,149,512,0.466796875,0.2222222222222222
