,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGE-WASHINGTON_homegame,GEORGE-WASHINGTON_homegame2,GEORGE-WASHINGTON_home,GEORGE-WASHINGTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-towson,57.9,11,2.0,1,109.1,75.0,24,0.479,48,0.396,19,0.354,17,0.706,12,1,200,87.9,20.7,6,11,58,,3.0,2,0.542,26,0.308,8,49.2,30,0.517,21.3,15,22,0.5,11,0.0,0,"November 5, 2019",48.3,14,4.5,1,87.9,79.3,23,0.524,62,0.46799999999999997,29,0.145,9,0.778,7,0,200,109.1,25.0,8,17,72,,10.6,7,0.19399999999999998,12,0.583,7,50.8,31,0.5429999999999999,12.0,9,50,0.44,22,1.0,1,"SECU Arena, Towson, Maryland",GEORGE-WASHINGTON,George Washington,66.2,Home,TOWSON,Towson,George Washington,atlantic-10,0,False,False,False,Away,False,8,11,48,30,61,7,22,62,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-16-george-washington,27.3,6,3.4,1,104.1,77.8,28,0.414,58,0.379,22,0.414,24,0.583,14,2,200,84.9,15.2,5,20,62,,9.6,7,0.22399999999999998,13,0.308,4,47.8,33,0.447,11.6,9,45,0.4,18,0.0,0,"November 9, 2019",65.4,17,13.3,6,84.9,84.8,28,0.5,61,0.426,26,0.361,22,0.682,15,1,200,104.1,22.2,8,17,76,,6.8,5,0.525,32,0.281,9,52.2,36,0.532,11.3,9,29,0.586,17,0.5,1,"Charles E. Smith Center, Washington, District of Columbia",HOWARD,Howard,72.9,Home,GEORGE-WASHINGTON,George Washington,George Washington,atlantic-10,1,True,False,True,Home,True,9,17,61,36,69,4,18,58,1,0,8,11,48,0.4791666666666667,30,61,0.4918032786885246,7,22,62,0.5241935483870968,0.0
2,2019-11-12-19-george-washington,32.1,9,14.7,5,97.0,55.9,19,0.47600000000000003,63,0.444,28,0.19,12,0.583,7,2,200,100.0,17.6,6,14,67,,19.4,13,0.23800000000000002,15,0.267,4,36.8,25,0.488,9.3,7,48,0.5,24,0.33299999999999996,1,"November 12, 2019",40.0,10,16.7,8,100.0,82.4,28,0.491,58,0.431,25,0.19,11,0.727,8,2,200,97.0,44.1,15,12,65,,7.5,5,0.414,24,0.292,7,63.2,43,0.514,21.3,17,34,0.529,18,0.33299999999999996,1,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,67.5,Away,AMERICAN,American,George Washington,atlantic-10,2,False,True,True,Home,False,7,18,58,43,68,4,24,63,0,1,17,28,109,0.4908256880733945,66,130,0.5076923076923077,11,40,120,0.4708333333333333,0.5
3,2019-11-16-13-george-washington,44.0,11,21.1,4,91.4,90.0,27,0.4,65,0.385,25,0.32299999999999995,21,0.762,16,2,200,97.1,45.9,17,25,68,,8.6,6,0.215,14,0.14300000000000002,2,65.7,44,0.45299999999999996,12.9,11,51,0.451,23,0.5,2,"November 16, 2019",58.8,10,9.8,5,97.1,54.1,20,0.41,50,0.34,17,0.62,31,0.742,23,3,200,91.4,10.0,3,19,64,,7.1,5,0.62,31,0.226,7,34.3,23,0.494,13.6,10,19,0.526,10,0.25,1,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,70.4,Away,MORGAN-STATE,Morgan State,George Washington,atlantic-10,3,False,True,True,Home,False,7,10,50,23,67,2,23,65,0,1,24,46,167,0.4910179640718562,109,198,0.5505050505050505,15,64,183,0.4726775956284153,0.3333333333333333
4,2019-11-22-17-george-washington,36.0,9,9.4,3,91.9,90.5,19,0.45799999999999996,59,0.424,25,0.45799999999999996,27,0.741,20,3,200,100.0,37.1,13,22,74,,16.2,12,0.22,13,0.308,4,57.1,32,0.515,16.5,14,46,0.457,21,0.5,3,"November 22, 2019",59.1,13,15.2,7,100.0,62.9,22,0.531,49,0.449,22,0.38799999999999996,19,0.8420000000000001,16,4,200,91.9,9.5,2,21,68,,9.5,7,0.34700000000000003,17,0.47100000000000003,8,42.9,24,0.586,24.9,19,32,0.43799999999999994,14,0.2,1,"Baha Mar Convention Center, Nassau",GEORGE-WASHINGTON,George Washington,73.9,Away,MISSOURI-KANSAS-CITY,UMKC,George Washington,atlantic-10,4,False,True,True,Home,False,8,14,49,24,56,4,21,59,0,1,31,56,217,0.4723502304147466,132,265,0.4981132075471698,17,87,248,0.4536290322580645,0.25
5,2019-11-23-14-evansville,32.0,8,9.8,4,100.0,86.2,25,0.612,49,0.51,25,0.51,25,0.72,18,4,200,111.4,12.0,3,24,78,,2.9,2,0.408,20,0.5,10,51.9,28,0.6409999999999999,13.0,9,29,0.517,15,0.33299999999999996,2,"November 23, 2019",31.8,7,3.4,1,111.4,88.0,22,0.418,55,0.4,22,0.545,30,0.8,24,3,200,100.0,13.8,4,22,70,,4.3,3,0.255,14,0.14300000000000002,2,48.1,26,0.505,10.5,8,41,0.488,20,0.5,3,"Baha Mar Convention Center, Nassau",EVANSVILLE,Evansville,70.1,Away,GEORGE-WASHINGTON,George Washington,George Washington,atlantic-10,5,False,False,False,Away,True,10,15,49,28,54,2,20,55,1,0,39,70,266,0.4830827067669173,156,321,0.485981308411215,21,108,307,0.4543973941368078,0.2
6,2019-11-24-14-george-washington,20.0,5,3.2,1,95.7,75.0,21,0.449,59,0.424,25,0.271,16,0.625,10,3,200,91.3,25.8,8,20,63,,2.9,2,0.322,19,0.158,3,49.2,29,0.473,17.5,14,40,0.55,22,0.625,5,"November 24, 2019",66.7,14,2.5,1,91.3,74.2,23,0.49,50,0.42,21,0.42,21,0.81,17,4,200,95.7,25.0,7,16,66,,2.9,2,0.38,19,0.368,7,50.8,30,0.55,18.0,13,31,0.452,14,0.429,3,"Baha Mar Convention Center, Nassau",MILWAUKEE,Milwaukee,69.3,Home,GEORGE-WASHINGTON,George Washington,George Washington,atlantic-10,6,True,False,True,Home,True,7,14,50,30,59,3,22,59,1,0,49,85,315,0.5031746031746032,184,375,0.4906666666666666,23,128,362,0.4488950276243094,0.3333333333333333
7,2019-12-01-14-south-carolina,43.5,10,7.0,3,107.2,67.9,19,0.391,69,0.33299999999999996,23,0.217,15,0.733,11,5,200,94.2,23.3,10,15,65,,10.1,7,0.522,36,0.222,8,40.8,29,0.4270000000000001,5.0,4,33,0.455,15,0.375,3,"December 1, 2019",53.3,16,18.2,6,94.2,76.7,33,0.5529999999999999,57,0.526,30,0.316,18,0.611,11,3,200,107.2,32.1,9,14,74,,1.4,1,0.24600000000000002,14,0.214,3,59.2,42,0.564,15.6,12,43,0.628,27,0.625,5,"The Colonial Life Arena, Columbia, South Carolina",GEORGE-WASHINGTON,George Washington,69.3,Home,SOUTH-CAROLINA,South Carolina,George Washington,atlantic-10,7,False,False,False,Away,False,8,15,69,29,71,3,27,57,0,1,56,99,365,0.5013698630136987,214,434,0.4930875576036866,26,150,421,0.4489311163895487,0.42857142857142855
8,2019-12-04-19-george-washington,57.7,15,8.3,3,94.1,70.6,24,0.491,57,0.456,26,0.21100000000000002,12,0.583,7,6,200,92.6,32.3,10,16,63,,10.3,7,0.263,15,0.267,4,52.3,34,0.502,18.4,14,42,0.524,22,0.33299999999999996,3,"December 4, 2019",30.4,7,7.1,3,92.6,67.7,21,0.449,59,0.39,23,0.22,13,0.846,11,5,200,94.1,29.4,10,13,64,,13.2,9,0.39,23,0.304,7,47.7,31,0.491,18.8,15,36,0.444,16,0.444,4,"Charles E. Smith Center, Washington, District of Columbia",BOSTON-UNIVERSITY,Boston University,68.4,Home,GEORGE-WASHINGTON,George Washington,George Washington,atlantic-10,8,True,False,True,Home,True,7,16,59,31,65,4,22,57,1,0,64,114,434,0.4838709677419355,243,505,0.4811881188118812,29,177,478,0.4612970711297072,0.375
9,2019-12-07-16-george-washington,33.3,8,14.3,5,103.1,66.7,18,0.424,59,0.40700000000000003,24,0.11900000000000001,7,0.857,6,1,200,87.5,21.9,7,14,56,,9.4,6,0.22,13,0.154,2,42.4,25,0.449,11.4,8,46,0.478,22,0.9,9,"December 7, 2019",56.0,14,10.9,5,87.5,78.1,25,0.5,56,0.446,25,0.214,12,0.833,10,5,200,103.1,33.3,9,14,66,,7.8,5,0.375,21,0.28600000000000003,6,57.6,34,0.535,16.4,12,35,0.5429999999999999,19,0.5,5,"Charles E. Smith Center, Washington, District of Columbia",DELAWARE,Delaware,64.0,Home,GEORGE-WASHINGTON,George Washington,George Washington,atlantic-10,9,True,False,True,Home,True,6,19,56,34,59,2,22,59,1,0,71,130,493,0.4797160243407708,274,570,0.4807017543859649,33,199,535,0.4644859813084112,0.4444444444444444
10,2019-12-21-12-george-washington,31.4,11,11.8,4,107.1,79.4,27,0.5710000000000001,63,0.556,35,0.28600000000000003,18,0.889,16,4,200,125.7,30.8,8,16,88,,7.1,5,0.19,12,0.16699999999999998,2,58.3,35,0.615,7.8,6,51,0.647,33,0.636,7,"December 21, 2019",51.9,14,5.9,3,125.7,69.2,18,0.551,59,0.45799999999999996,27,0.305,18,0.556,10,6,200,107.1,20.6,7,17,75,,5.7,4,0.424,25,0.44,11,41.7,25,0.555,11.9,9,34,0.47100000000000003,16,0.455,5,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,69.6,Away,HARVARD,Harvard,George Washington,atlantic-10,10,False,True,True,Home,False,11,16,59,25,60,2,33,63,0,1,77,149,549,0.4817850637522769,308,629,0.4896661367249602,35,221,594,0.4604377104377104,0.5
11,2019-12-28-16-george-washington,43.5,10,2.5,1,106.8,74.2,23,0.429,63,0.365,23,0.254,16,0.688,11,8,200,89.0,27.9,12,12,65,,13.7,10,0.429,27,0.29600000000000004,8,47.3,35,0.46,17.6,15,36,0.41700000000000004,15,0.385,5,"December 28, 2019",53.3,16,22.2,8,89.0,72.1,31,0.565,62,0.484,30,0.161,10,0.8,8,6,200,106.8,25.8,8,11,78,,9.6,7,0.355,22,0.455,10,52.7,39,0.584,16.4,13,40,0.5,20,0.5,6,"Charles E. Smith Center, Washington, District of Columbia",LONGWOOD,Longwood,72.7,Home,GEORGE-WASHINGTON,George Washington,George Washington,atlantic-10,11,True,False,True,Home,True,10,20,62,39,74,8,15,63,1,0,88,165,608,0.4884868421052632,333,689,0.4833091436865022,37,254,657,0.4710806697108067,0.4545454545454545
