,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GRAMBLING_homegame,GRAMBLING_homegame2,GRAMBLING_home,GRAMBLING_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-grambling,60.9,14,4.0,2,124.4,54.1,20,0.475,60,0.38299999999999995,23,0.3670000000000001,22,0.591,13,0,200,85.4,13.2,5,15,70,,12.2,10,0.5,30,0.3670000000000001,11,33.3,25,0.4970000000000001,18.7,16,30,0.4,12,0.0,0,"November 6, 2019",47.4,18,23.3,7,85.4,86.8,33,0.588,74,0.514,38,0.243,18,0.833,15,0,200,124.4,45.9,17,15,102,,13.4,11,0.324,24,0.45799999999999996,11,66.7,50,0.618,16.3,16,50,0.54,27,1.0,1,"Assembly Center, Grambling, Louisiana","East Texas Baptist
			","East Texas Baptist
			",81.5,Home,GRAMBLING,Grambling,Grambling,swac,0,True,False,True,Home,True,11,27,74,50,75,11,12,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-20-grambling,42.9,9,0.0,0,153.1,48.6,17,0.358,67,0.313,21,0.06,4,1.0,4,0,200,54.2,13.2,5,15,52,,4.2,4,0.38799999999999996,26,0.231,6,30.1,22,0.377,31.1,31,41,0.366,15,0.0,0,"November 8, 2019",36.7,22,9.8,4,54.2,86.8,33,0.665,97,0.619,60,0.258,25,0.72,18,0,200,153.1,51.4,18,5,147,,26.0,25,0.247,24,0.375,9,69.9,51,0.675,5.3,6,73,0.6990000000000001,51,1.0,2,"Assembly Center, Grambling, Louisiana","Ecclesia
			","Ecclesia
			",95.9,Home,GRAMBLING,Grambling,Grambling,swac,1,True,False,True,Home,True,9,51,97,51,73,6,15,67,1,0,11,27,74,0.5878378378378378,50,75,0.6666666666666666,11,12,60,0.475,1.0
2,2019-11-13-20-southeastern-louisiana,53.8,14,5.4,2,90.9,73.5,25,0.5,55,0.473,26,0.655,36,0.722,26,0,200,105.2,30.3,10,23,81,,10.4,8,0.182,10,0.3,3,52.2,35,0.562,17.5,15,45,0.511,23,1.0,3,"November 13, 2019",46.2,12,8.9,4,105.2,69.7,23,0.4920000000000001,59,0.441,26,0.33899999999999997,20,0.6,12,2,200,90.9,26.5,9,26,70,,6.5,5,0.373,22,0.273,6,47.8,32,0.511,20.0,17,37,0.541,20,0.33299999999999996,1,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,76.8,Away,GRAMBLING,Grambling,Grambling,swac,2,False,False,False,Away,True,3,23,55,35,67,6,20,59,1,0,20,78,171,0.631578947368421,101,148,0.6824324324324325,17,27,127,0.4133858267716535,1.0
3,2019-11-20-22-san-jose-state,41.4,12,3.3,1,102.5,58.8,20,0.45399999999999996,65,0.446,29,0.462,30,0.5670000000000001,17,1,200,93.8,27.3,9,28,76,,11.1,9,0.154,10,0.1,1,43.3,29,0.479,14.3,13,55,0.509,28,0.75,3,"November 20, 2019",61.5,16,12.7,7,93.8,72.7,24,0.527,56,0.46399999999999997,26,0.625,35,0.6859999999999999,24,2,200,102.5,41.2,14,24,83,,8.6,7,0.46399999999999997,26,0.26899999999999996,7,56.7,38,0.5710000000000001,21.9,20,30,0.633,19,0.6,3,"San Jose State Event Center, San Jose, California",GRAMBLING,Grambling,80.9,Home,SAN-JOSE-STATE,San Jose State,Grambling,swac,3,False,False,False,Away,False,1,28,65,29,67,7,19,56,0,1,23,101,226,0.5995575221238938,136,215,0.6325581395348837,23,47,186,0.4381720430107527,1.0
4,2019-11-23-14-oregon-state,72.7,16,13.9,5,115.9,69.0,20,0.4320000000000001,59,0.373,22,0.203,12,0.583,7,2,200,84.1,21.1,8,23,58,,7.2,5,0.28800000000000003,17,0.41200000000000003,7,41.8,28,0.44799999999999995,15.7,12,42,0.35700000000000004,15,0.6,3,"November 23, 2019",65.4,17,19.0,8,84.1,78.9,30,0.5,56,0.46399999999999997,26,0.536,30,0.8,24,1,200,115.9,31.0,9,14,80,,10.1,7,0.35700000000000004,20,0.2,4,58.2,39,0.569,11.5,9,36,0.611,22,0.833,5,"Gill Coliseum, Corvallis, Oregon",GRAMBLING,Grambling,69.5,Home,OREGON-STATE,Oregon State,Grambling,swac,4,False,False,False,Away,False,7,15,59,28,67,4,22,56,0,1,24,129,291,0.5670103092783505,165,282,0.5851063829787234,30,66,242,0.4586776859504133,0.75
5,2019-11-26-15-portland-state,67.7,21,8.7,4,113.5,57.6,19,0.5579999999999999,60,0.517,31,0.15,9,0.778,7,3,200,100.0,30.8,8,20,74,,8.1,6,0.183,11,0.455,5,45.8,27,0.5760000000000001,22.9,19,49,0.531,26,0.5,3,"November 26, 2019",43.3,13,8.2,4,100.0,69.2,18,0.493,67,0.44799999999999995,30,0.284,19,0.9470000000000001,18,3,200,113.5,42.4,14,15,84,,14.9,11,0.313,21,0.28600000000000003,6,54.2,32,0.552,12.7,11,46,0.522,24,0.5,3,"The Thunderdome, Santa Barbara, California",GRAMBLING,Grambling,74.2,Home,PORTLAND-STATE,Portland State,Grambling,swac,5,False,False,False,Away,False,5,26,60,27,59,6,24,67,0,1,31,144,350,0.5442857142857143,193,349,0.5530085959885387,34,88,298,0.4664429530201342,0.6
6,2019-11-29-22-california-santa-barbara,76.5,13,6.5,2,98.5,65.8,25,0.5,43,0.395,17,0.488,21,0.7140000000000001,15,4,200,85.3,7.7,2,20,58,,10.3,7,0.488,21,0.429,9,42.2,27,0.547,25.6,18,22,0.364,8,0.429,3,"November 29, 2019",43.5,10,9.1,2,85.3,92.3,24,0.44,58,0.397,23,0.397,23,0.696,16,3,200,98.5,34.2,13,21,67,,11.8,8,0.466,27,0.185,5,57.8,37,0.486,13.9,11,31,0.581,18,0.5710000000000001,4,"The Thunderdome, Santa Barbara, California",GRAMBLING,Grambling,68.0,Home,CALIFORNIA-SANTA-BARBARA,UCSB,Grambling,swac,6,False,False,False,Away,False,9,8,43,27,64,5,18,58,0,1,36,170,410,0.5463414634146342,220,408,0.5392156862745098,40,112,365,0.4712328767123288,0.5
7,2019-12-04-20-grambling,55.0,11,5.0,2,95.2,68.4,26,0.434,53,0.377,20,0.585,31,0.742,23,0,200,83.1,6.7,2,22,69,,12.0,10,0.377,20,0.3,6,41.2,28,0.509,24.0,21,33,0.424,14,0.0,0,"December 4, 2019",59.3,16,33.3,11,83.1,93.3,28,0.509,58,0.466,27,0.5,29,0.69,20,4,200,95.2,31.6,12,23,79,,15.7,13,0.31,18,0.278,5,58.8,40,0.55,22.0,20,40,0.55,22,0.5,4,"Assembly Center, Grambling, Louisiana","Paul Quinn
			","Paul Quinn
			",83.3,Home,GRAMBLING,Grambling,Grambling,swac,7,True,False,True,Home,True,5,22,58,40,68,6,14,53,1,0,45,178,453,0.5419426048565121,247,472,0.5233050847457628,45,130,423,0.46690307328605196,0.42857142857142855
8,2019-12-07-22-loyola-marymount,54.5,12,13.6,3,113.7,88.9,16,0.435,54,0.40700000000000003,22,0.5,27,0.741,20,5,200,91.8,18.2,6,22,67,,9.6,7,0.315,17,0.17600000000000002,3,43.1,22,0.501,17.5,14,37,0.514,19,0.444,4,"December 7, 2019",83.3,25,10.8,4,91.8,81.8,27,0.777,47,0.638,30,0.426,20,0.5,10,5,200,113.7,11.1,2,23,83,,11.0,8,0.532,25,0.52,13,56.9,29,0.735,23.4,17,22,0.773,17,0.444,4,"Albert Gersten Pavilion, Los Angeles, California",GRAMBLING,Grambling,73.2,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Grambling,swac,8,False,False,False,Away,False,3,19,54,22,51,13,17,47,0,1,50,200,511,0.538160469667319,287,540,0.5314814814814814,51,144,476,0.4632352941176471,0.5
9,2019-12-10-20-louisiana-monroe,24.1,7,3.1,1,92.4,76.9,20,0.469,65,0.446,29,0.092,6,0.833,5,5,200,100.0,34.4,11,15,66,,12.1,8,0.2,13,0.231,3,53.4,31,0.486,11.7,9,52,0.5,26,0.5,5,"December 10, 2019",55.0,11,3.8,2,100.0,65.6,21,0.511,47,0.426,20,0.38299999999999995,18,0.722,13,3,200,92.4,23.1,6,12,61,,6.1,4,0.319,15,0.5329999999999999,8,46.6,27,0.5489999999999999,22.6,16,32,0.375,12,0.5710000000000001,4,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,65.7,Away,GRAMBLING,Grambling,Grambling,swac,9,False,False,False,Away,True,3,26,65,31,58,8,12,47,1,0,53,219,565,0.5283185840707965,309,591,0.5228426395939086,64,161,523,0.49139579349904405,0.4444444444444444
