,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HOWARD_homegame,HOWARD_homegame2,HOWARD_home,HOWARD_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-17-howard,48.1,13,0.0,0,101.5,68.3,28,0.47600000000000003,62,0.435,27,0.27399999999999997,17,0.706,12,0,200,106.0,34.4,11,20,71,,3.0,2,0.258,16,0.313,5,53.4,39,0.507,10.3,8,46,0.478,22,0.0,0,"November 5, 2019",73.9,17,6.5,3,106.0,65.6,21,0.415,65,0.354,23,0.32299999999999995,21,0.667,14,1,200,101.5,31.7,13,16,68,,1.5,1,0.431,28,0.28600000000000003,8,46.6,34,0.45299999999999996,6.3,5,37,0.405,15,0.0,0,"Burr Gymnasium, Washington, District of Columbia",HOWARD,Howard,67.0,Away,"Washington Adventist
			","Washington Adventist
			",Howard,meac,0,False,True,True,Home,False,8,15,65,34,73,5,22,62,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-16-george-washington,27.3,6,3.4,1,104.1,77.8,28,0.414,58,0.379,22,0.414,24,0.583,14,2,200,84.9,15.2,5,20,62,,9.6,7,0.22399999999999998,13,0.308,4,47.8,33,0.447,11.6,9,45,0.4,18,0.0,0,"November 9, 2019",65.4,17,13.3,6,84.9,84.8,28,0.5,61,0.426,26,0.361,22,0.682,15,1,200,104.1,22.2,8,17,76,,6.8,5,0.525,32,0.281,9,52.2,36,0.532,11.3,9,29,0.586,17,0.5,1,"Charles E. Smith Center, Washington, District of Columbia",HOWARD,Howard,72.9,Home,GEORGE-WASHINGTON,George Washington,Howard,meac,1,False,False,False,Away,False,4,18,58,33,69,9,17,61,0,1,8,15,65,0.4153846153846154,34,73,0.4657534246575342,5,22,62,0.4758064516129033,0.0
2,2019-11-12-19-notre-dame,84.2,16,5.0,2,109.7,70.0,21,0.377,61,0.311,19,0.115,7,0.5710000000000001,4,3,200,69.4,20.5,8,13,50,,8.3,6,0.426,26,0.308,8,42.0,29,0.389,17.9,14,35,0.314,11,0.0,0,"November 12, 2019",68.8,22,14.3,5,69.4,79.5,31,0.556,63,0.508,32,0.20600000000000002,13,0.6920000000000001,9,1,200,109.7,30.0,9,11,79,,12.5,9,0.365,23,0.261,6,58.0,40,0.5710000000000001,16.9,14,40,0.65,26,0.667,2,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",HOWARD,Howard,72.3,Home,NOTRE-DAME,Notre Dame,Howard,meac,2,False,False,False,Away,False,8,11,61,29,69,6,26,63,0,1,12,33,123,0.4146341463414634,67,142,0.471830985915493,14,39,123,0.4878048780487805,0.0
3,2019-11-15-14-robert-morris,57.7,15,2.6,1,126.9,68.0,17,0.509,57,0.456,26,0.24600000000000002,14,0.5,7,4,199,97.0,29.0,9,17,65,,4.5,3,0.368,21,0.28600000000000003,6,46.4,26,0.511,16.0,12,36,0.556,20,0.0,0,"November 15, 2019",59.4,19,2.8,1,97.0,71.0,22,0.664,55,0.5820000000000001,32,0.364,20,0.6,12,3,199,126.9,32.0,8,16,85,,6.0,4,0.309,17,0.529,9,53.6,30,0.659,13.6,10,38,0.605,23,0.25,1,"John F. Savage Hall, Toledo, Ohio",HOWARD,Howard,66.9,Home,ROBERT-MORRIS,Robert Morris,Howard,meac,3,False,False,False,Away,False,6,20,57,26,56,9,23,55,0,1,20,44,184,0.4021739130434783,96,211,0.4549763033175355,20,65,186,0.510752688172043,0.0
4,2019-11-17-14-toledo,40.0,10,5.1,2,149.3,51.7,15,0.445,64,0.391,25,0.23399999999999999,15,0.733,11,5,200,90.7,31.6,12,33,68,,6.7,5,0.313,20,0.35,7,40.3,27,0.478,18.5,16,44,0.409,18,0.0,0,"November 17, 2019",50.0,17,11.4,5,90.7,68.4,26,0.675,57,0.596,34,0.772,44,0.795,35,1,200,149.3,48.3,14,15,112,,8.0,6,0.316,18,0.5,9,59.7,40,0.7190000000000001,11.6,10,39,0.6409999999999999,25,0.75,3,"John F. Savage Hall, Toledo, Ohio",HOWARD,Howard,74.5,Home,TOLEDO,Toledo,Howard,meac,4,False,False,False,Away,False,7,18,64,27,67,9,25,57,0,1,26,64,241,0.42738589211618255,122,267,0.4569288389513109,29,88,241,0.5456431535269709,0.0
5,2019-11-21-20-marshall,44.4,8,2.2,1,113.8,65.5,19,0.391,55,0.327,18,0.6,33,0.606,20,6,200,78.8,19.4,7,12,63,,11.3,9,0.418,23,0.304,7,40.0,26,0.446,18.7,16,32,0.344,11,0.0,0,"November 21, 2019",74.4,29,28.1,9,78.8,80.6,29,0.634,67,0.5820000000000001,39,0.179,12,0.5,6,3,200,113.8,34.5,10,24,91,,13.8,11,0.32799999999999996,22,0.318,7,60.0,39,0.626,19.0,17,45,0.711,32,0.4,2,"Henderson Center, Huntington, West Virginia",HOWARD,Howard,79.7,Home,MARSHALL,Marshall,Howard,meac,5,False,False,False,Away,False,7,11,55,26,65,7,32,67,0,1,33,82,305,0.4311475409836066,149,334,0.44610778443113774,38,113,298,0.5704697986577181,0.0
6,2019-11-23-15-ball-state,53.8,14,8.3,2,153.8,69.6,16,0.5,58,0.44799999999999995,26,0.276,16,0.688,11,7,200,106.2,29.0,9,8,69,,1.5,1,0.276,16,0.375,6,46.3,25,0.526,11.0,8,42,0.47600000000000003,20,0.0,0,"November 23, 2019",83.3,30,7.1,3,106.2,71.0,22,0.762,61,0.59,36,0.131,8,0.875,7,2,200,153.8,30.4,7,12,100,,6.2,4,0.607,37,0.568,21,53.7,29,0.772,9.8,7,24,0.625,15,0.667,4,"Worthen Arena, Muncie, Indiana",HOWARD,Howard,64.7,Home,BALL-STATE,Ball State,Howard,meac,6,False,False,False,Away,False,6,20,58,25,54,21,15,61,0,1,40,93,360,0.425,175,399,0.43859649122807015,45,145,365,0.5821917808219178,0.0
7,2019-11-26-19-american,63.0,17,9.6,5,114.7,78.8,26,0.534,58,0.466,27,0.207,12,0.583,7,8,200,92.0,12.9,4,19,69,,5.3,4,0.36200000000000004,21,0.381,8,46.9,30,0.542,19.2,15,37,0.514,19,0.0,0,"November 26, 2019",42.9,15,13.5,5,92.0,87.1,27,0.569,65,0.5379999999999999,35,0.292,19,0.632,12,3,200,114.7,21.2,7,11,86,,10.7,8,0.2,13,0.308,4,53.1,34,0.581,10.9,9,52,0.596,31,0.4,2,"Bender Arena, Washington, District of Columbia",HOWARD,Howard,75.4,Home,AMERICAN,American,Howard,meac,7,False,False,False,Away,False,8,19,58,30,64,4,31,65,0,1,46,113,418,0.4354066985645933,200,453,0.44150110375275936,66,160,426,0.607981220657277,0.0
8,2019-11-30-16-howard,65.4,17,0.0,0,80.0,90.3,28,0.462,66,0.39399999999999996,26,0.212,14,0.857,12,5,200,104.3,35.9,14,16,73,,5.7,4,0.439,29,0.31,9,60.0,42,0.502,14.3,12,37,0.45899999999999996,17,0.375,3,"November 30, 2019",50.0,10,5.4,2,104.3,64.1,25,0.48,51,0.392,20,0.255,13,0.5379999999999999,7,9,200,80.0,9.7,3,13,56,,5.7,4,0.392,20,0.45,9,40.0,28,0.49,22.0,16,31,0.355,11,0.0,0,"Burr Gymnasium, Washington, District of Columbia",HOWARD,Howard,70.4,Away,MOUNT-ST-MARYS,Mount St. Mary's,Howard,meac,8,False,True,True,Home,False,9,11,51,28,70,9,17,66,0,1,54,132,476,0.4474789915966387,230,517,0.4448742746615087,70,191,491,0.6028513238289206,0.0
9,2019-12-05-19-hampton,44.4,12,7.5,3,105.8,75.0,27,0.517,58,0.466,27,0.7070000000000001,41,0.8290000000000001,34,9,225,109.3,14.7,5,18,94,,8.1,7,0.32799999999999996,19,0.316,6,45.7,32,0.607,13.6,12,39,0.5379999999999999,21,0.1,1,"December 5, 2019",76.5,26,10.3,4,109.3,85.3,29,0.5579999999999999,69,0.493,34,0.304,21,0.667,14,6,225,105.8,25.0,9,27,91,,5.8,5,0.42,29,0.31,9,54.3,38,0.5760000000000001,17.8,17,40,0.625,25,0.33299999999999996,3,"Hampton Convocation Center, Hampton, Virginia",HAMPTON,Hampton,76.2,Away,HOWARD,Howard,Howard,meac,9,False,False,False,Away,True,6,21,58,32,70,9,25,69,1,0,63,143,527,0.4506641366223909,258,587,0.4395229982964225,79,208,557,0.5861759425493717,0.0
