,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,IDAHO_homegame,IDAHO_homegame2,IDAHO_home,IDAHO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-22-idaho,45.5,15,8.9,4,127.5,63.2,24,0.639,61,0.541,33,0.098,6,0.667,4,0,200,118.8,26.9,7,18,82,,5.8,4,0.44299999999999995,27,0.444,12,48.4,31,0.642,15.9,12,34,0.618,21,0.0,0,"November 5, 2019",52.9,18,11.8,4,118.8,73.1,19,0.5429999999999999,69,0.493,34,0.23199999999999998,16,0.813,13,0,200,127.5,36.8,14,11,88,,10.1,7,0.348,24,0.292,7,51.6,33,0.574,8.4,7,45,0.6,27,1.0,1,"Memorial Gym, Moscow, Idaho","Evergreen State
			","Evergreen State
			",69.2,Home,IDAHO,Idaho,Idaho,big-sky,0,True,False,True,Home,True,7,27,69,33,64,12,21,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-17-california-riverside,33.3,6,7.1,2,93.5,67.9,19,0.39799999999999996,49,0.3670000000000001,18,0.469,23,0.522,12,1,200,82.3,19.4,7,18,51,,8.1,5,0.327,16,0.188,3,40.6,26,0.426,11.9,8,33,0.455,15,0.5,1,"November 9, 2019",52.6,10,6.1,2,82.3,80.6,29,0.44,50,0.38,19,0.34,17,0.8240000000000001,14,0,200,93.5,32.1,9,21,58,,4.8,3,0.44,22,0.273,6,59.4,38,0.499,18.4,13,28,0.46399999999999997,13,1.0,2,"UC Riverside Student Recreation Center, Riverside, California",IDAHO,Idaho,61.5,Home,CALIFORNIA-RIVERSIDE,UC-Riverside,Idaho,big-sky,1,False,False,False,Away,False,3,15,49,26,64,6,13,50,0,1,7,27,69,0.5434782608695652,33,64,0.515625,12,21,61,0.639344262295082,1.0
2,2019-11-14-18-idaho,60.0,15,5.4,2,97.0,64.5,20,0.547,53,0.47200000000000003,25,0.17,9,0.778,7,1,200,98.5,20.7,6,17,65,,9.1,6,0.396,21,0.381,8,43.3,26,0.5670000000000001,20.8,15,32,0.531,17,0.667,2,"November 14, 2019",54.5,12,6.3,2,98.5,79.3,23,0.44299999999999995,53,0.415,22,0.396,21,0.81,17,2,200,97.0,35.5,11,14,64,,10.6,7,0.302,16,0.188,3,56.7,34,0.508,18.4,14,37,0.514,19,0.33299999999999996,1,"Convocation Center, Jonesboro, Arkansas",IDAHO,Idaho,66.1,Away,CALIFORNIA-DAVIS,UC-Davis,Idaho,big-sky,2,False,True,True,Home,False,3,19,53,34,60,8,17,53,0,1,10,42,118,0.4830508474576271,59,128,0.4609375,18,34,111,0.5495495495495496,0.5
3,2019-11-15-18-virginia-military-institute,50.0,13,6.1,2,97.1,82.4,28,0.527,56,0.46399999999999997,26,0.179,10,0.9,9,2,200,98.6,30.0,9,13,68,,2.9,2,0.375,21,0.33299999999999996,7,57.8,37,0.56,20.9,16,35,0.5429999999999999,19,0.5,2,"November 15, 2019",76.9,20,8.6,3,98.6,70.0,21,0.47600000000000003,63,0.413,26,0.127,8,0.875,7,5,200,97.1,17.6,6,12,67,,11.6,8,0.47600000000000003,30,0.267,8,42.2,27,0.501,11.9,9,33,0.545,18,0.0,0,"Convocation Center, Jonesboro, Arkansas",VIRGINIA-MILITARY-INSTITUTE,VMI,68.8,Away,IDAHO,Idaho,Idaho,big-sky,3,False,False,False,Away,True,7,19,56,37,64,8,18,63,1,0,13,61,171,0.4707602339181287,93,188,0.4946808510638298,26,51,164,0.5487804878048781,0.3333333333333333
4,2019-11-17-14-arkansas-state,77.8,21,6.4,3,128.1,64.7,22,0.537,54,0.5,27,0.315,17,0.588,10,3,200,106.3,18.2,6,21,68,,7.8,5,0.29600000000000004,16,0.25,4,41.8,28,0.5479999999999999,8.9,6,38,0.605,23,0.4,2,"November 17, 2019",71.0,22,13.2,5,106.3,81.8,27,0.5589999999999999,59,0.525,31,0.39,23,0.696,16,1,200,128.1,35.3,12,17,82,,6.3,4,0.203,12,0.33299999999999996,4,58.2,39,0.586,9.2,7,47,0.574,27,0.8,4,"Convocation Center, Jonesboro, Arkansas",IDAHO,Idaho,63.5,Home,ARKANSAS-STATE,Arkansas State,Idaho,big-sky,4,False,False,False,Away,False,4,23,54,28,67,4,27,59,0,1,20,80,227,0.4845814977973568,130,252,0.5158730158730159,34,69,227,0.5286343612334802,0.5
5,2019-11-23-22-idaho,25.0,5,3.9,2,128.2,74.2,23,0.331,68,0.294,20,0.132,9,0.556,5,0,200,64.1,19.6,9,18,50,,3.8,3,0.294,20,0.25,5,41.6,32,0.34600000000000003,16.3,14,48,0.313,15,0.0,0,"November 23, 2019",50.0,19,8.3,4,64.1,80.4,37,0.616,69,0.551,38,0.275,19,0.789,15,3,200,128.2,25.8,8,13,100,,11.5,9,0.261,18,0.5,9,58.4,45,0.6409999999999999,9.4,8,51,0.569,29,0.5,3,"Cowan Spectrum, Moscow, Idaho","Walla Walla
			","Walla Walla
			",77.7,Home,IDAHO,Idaho,Idaho,big-sky,5,True,False,True,Home,True,9,29,69,45,77,5,15,68,1,0,24,103,281,0.494661921708185,158,319,0.4952978056426332,38,96,286,0.534965034965035,0.4
6,2019-11-26-22-idaho,66.7,16,5.1,2,79.1,84.4,27,0.525,59,0.40700000000000003,24,0.203,12,0.667,8,3,200,104.5,27.3,9,15,70,,10.4,7,0.644,38,0.368,14,55.4,36,0.541,13.5,10,21,0.47600000000000003,10,0.625,5,"November 26, 2019",42.1,8,14.3,3,104.5,72.7,24,0.396,53,0.358,19,0.264,14,0.7859999999999999,11,4,200,79.1,15.6,5,13,53,,9.0,6,0.264,14,0.28600000000000003,4,44.6,29,0.444,18.0,13,39,0.385,15,0.429,3,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,66.7,Away,NORTH-DAKOTA-STATE,North Dakota State,Idaho,big-sky,6,False,True,True,Home,False,4,15,53,29,65,14,10,59,0,1,33,132,350,0.5185714285714286,203,396,0.5126262626262627,43,111,354,0.4957627118644068,0.5
7,2019-11-30-22-seattle,57.1,12,12.5,4,101.4,77.8,28,0.426,54,0.389,21,0.259,14,0.643,9,5,200,75.3,19.4,6,17,55,,8.2,6,0.24100000000000002,13,0.308,4,50.7,34,0.45299999999999996,23.0,18,41,0.415,17,0.375,3,"November 30, 2019",39.3,11,7.3,3,75.3,80.6,25,0.515,65,0.431,28,0.185,12,0.583,7,5,200,101.4,22.2,8,14,74,,13.7,10,0.508,33,0.33299999999999996,11,49.3,33,0.523,13.5,11,32,0.531,17,0.444,4,"Connolly Center, Seattle, Washington",IDAHO,Idaho,73.2,Home,SEATTLE,Seattle,Idaho,big-sky,7,False,False,False,Away,False,4,17,54,34,67,11,17,65,0,1,37,147,403,0.5024813895781638,232,461,0.5032537960954447,57,121,413,0.5,0.42857142857142855
8,2019-12-04-22-idaho,42.9,12,2.3,1,79.3,86.8,33,0.4920000000000001,63,0.444,28,0.33299999999999996,21,0.762,16,4,200,95.1,21.2,7,19,78,,14.6,12,0.397,25,0.24,6,56.3,40,0.534,17.2,15,38,0.579,22,0.5,4,"December 4, 2019",42.3,11,2.6,1,95.1,78.8,26,0.452,63,0.413,26,0.23800000000000002,15,0.5329999999999999,8,6,200,79.3,13.2,5,20,65,,7.3,6,0.302,19,0.263,5,43.7,31,0.46299999999999997,20.5,18,44,0.47700000000000004,21,0.33299999999999996,3,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,82.1,Away,WASHINGTON-STATE,Washington State,Idaho,big-sky,8,False,True,True,Home,False,5,21,63,31,71,6,22,63,0,1,41,164,457,0.4934354485776805,266,528,0.5037878787878788,68,138,478,0.502092050209205,0.375
9,2019-12-14-19-idaho,37.0,10,12.2,5,93.8,85.2,23,0.377,77,0.35100000000000003,27,0.26,20,0.6,12,8,225,86.4,36.7,18,22,70,,13.6,11,0.23399999999999999,18,0.222,4,53.9,41,0.405,12.3,12,59,0.39,23,0.33299999999999996,4,"December 14, 2019",48.3,14,5.1,3,86.4,63.3,31,0.5710000000000001,56,0.518,29,0.375,21,0.5710000000000001,12,6,225,93.8,14.8,4,18,76,,4.9,4,0.268,15,0.4,6,46.1,35,0.5760000000000001,23.5,20,41,0.561,23,0.4,4,"Memorial Gym, Moscow, Idaho",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,72.2,Home,IDAHO,Idaho,Idaho,big-sky,9,True,False,True,Home,True,6,23,56,35,76,4,23,77,1,0,46,185,520,0.4884615384615385,297,599,0.4958263772954925,74,160,541,0.5009242144177449,0.3333333333333333
10,2019-12-21-13-south-dakota-state,50.0,11,0.0,0,111.8,75.0,27,0.455,55,0.4,22,0.29100000000000004,16,0.43799999999999994,7,7,200,75.0,8.6,3,22,57,,10.5,8,0.345,19,0.316,6,42.3,30,0.455,22.5,18,36,0.444,16,0.364,4,"December 21, 2019",64.5,20,8.3,3,75.0,91.4,32,0.57,64,0.484,31,0.359,23,0.522,12,6,200,111.8,25.0,9,18,85,,13.2,10,0.375,24,0.45799999999999996,11,57.7,41,0.5670000000000001,10.8,9,40,0.5,20,0.6,9,"Frost Arena, Brookings, South Dakota",IDAHO,Idaho,76.3,Home,SOUTH-DAKOTA-STATE,South Dakota State,Idaho,big-sky,10,False,False,False,Away,False,6,16,55,30,71,11,20,64,0,1,52,208,576,0.4965277777777778,332,675,0.4918518518518519,78,183,618,0.4854368932038835,0.4
11,2019-12-28-21-idaho-state,50.0,12,6.3,2,95.4,67.7,21,0.5,53,0.45299999999999996,24,0.245,13,0.5379999999999999,7,8,200,92.3,32.1,9,23,60,,12.3,8,0.245,13,0.385,5,50.8,30,0.507,20.3,15,40,0.475,19,0.33299999999999996,4,"December 28, 2019",59.1,13,2.5,1,92.3,67.9,19,0.45399999999999996,54,0.40700000000000003,22,0.33299999999999996,18,0.722,13,6,200,95.4,32.3,10,13,62,,7.7,5,0.40700000000000003,22,0.22699999999999998,5,49.2,29,0.496,17.4,13,32,0.531,17,0.4,4,"Reed Gym, Pocatello, Idaho",IDAHO,Idaho,65.4,Home,IDAHO-STATE,Idaho State,Idaho,big-sky,11,False,False,False,Away,False,5,19,53,30,59,5,17,54,0,1,58,224,631,0.4928684627575277,362,746,0.485254691689008,89,203,682,0.4934017595307918,0.3636363636363637
12,2019-12-30-21-weber-state,39.3,11,6.8,3,95.8,82.6,38,0.508,59,0.475,28,0.22,13,0.615,8,9,200,94.4,23.1,6,19,68,,0.0,0,0.203,12,0.33299999999999996,4,61.1,44,0.522,18.8,15,47,0.511,24,0.308,4,"December 30, 2019",68.0,17,10.6,5,94.4,76.9,20,0.447,66,0.379,25,0.242,16,0.625,10,8,200,95.8,17.4,8,13,69,,11.1,8,0.33299999999999996,22,0.409,9,38.9,28,0.469,5.2,4,44,0.364,16,0.385,5,"Dee Events Center, Ogden, Utah",IDAHO,Idaho,71.9,Home,WEBER-STATE,Weber State,Idaho,big-sky,12,False,False,False,Away,False,4,24,59,44,72,9,16,66,0,1,63,243,684,0.4934210526315789,392,805,0.4869565217391305,94,220,736,0.4904891304347826,0.3333333333333333
13,2020-01-02-21-idaho,39.1,9,6.4,3,97.3,87.1,27,0.44,58,0.397,23,0.24100000000000002,14,0.7140000000000001,10,8,200,82.4,29.4,10,19,61,,4.1,3,0.431,25,0.2,5,56.9,37,0.47200000000000003,24.7,21,33,0.545,18,0.467,7,"January 2, 2020",48.1,13,3.0,1,82.4,70.6,24,0.491,57,0.474,27,0.33299999999999996,19,0.8420000000000001,16,9,200,97.3,12.9,4,16,72,,9.5,7,0.175,10,0.2,2,43.1,28,0.545,14.4,11,47,0.532,25,0.35700000000000004,5,"Cowan Spectrum, Moscow, Idaho",PORTLAND-STATE,Portland State,74.3,Home,IDAHO,Idaho,Idaho,big-sky,13,True,False,True,Home,True,2,25,57,28,65,5,18,58,1,0,67,267,743,0.4946164199192463,436,877,0.4971493728620297,103,236,802,0.4869077306733167,0.3076923076923077
14,2020-01-09-21-idaho,30.4,7,2.4,1,100.0,87.1,27,0.46299999999999997,54,0.426,23,0.48100000000000004,26,0.8079999999999999,21,7,200,104.4,21.2,7,17,71,,7.4,5,0.426,23,0.174,4,53.1,34,0.535,12.1,9,31,0.613,19,0.562,9,"January 9, 2020",44.0,11,12.9,4,104.4,78.8,26,0.48200000000000004,55,0.455,25,0.364,20,0.75,15,10,200,100.0,12.9,4,19,68,,8.8,6,0.23600000000000002,13,0.231,3,46.9,30,0.527,11.1,8,42,0.524,22,0.33299999999999996,5,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,68.4,Away,MONTANA-STATE,Montana State,Idaho,big-sky,14,False,True,True,Home,False,3,22,55,30,64,4,19,54,0,1,69,292,800,0.494375,464,942,0.4925690021231423,108,254,860,0.4837209302325581,0.35714285714285715
15,2020-01-16-22-idaho,73.1,19,14.6,7,107.1,63.2,24,0.604,53,0.491,26,0.396,21,0.667,14,6,200,111.4,17.9,5,19,78,,11.4,8,0.528,28,0.429,12,43.9,29,0.619,17.3,13,25,0.56,14,0.625,10,"January 16, 2020",53.6,15,4.0,1,111.4,82.1,23,0.4920000000000001,61,0.45899999999999996,28,0.361,22,0.682,15,11,200,107.1,36.8,14,21,75,,11.4,8,0.213,13,0.308,4,56.1,37,0.525,13.5,11,48,0.5,24,0.312,5,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,69.7,Away,EASTERN-WASHINGTON,Eastern Washington,Idaho,big-sky,15,False,True,True,Home,False,4,24,61,37,66,12,14,53,0,1,72,314,855,0.4935672514619883,494,1006,0.4910536779324056,112,273,914,0.4824945295404814,0.3333333333333333
16,2020-01-18-21-montana,50.0,11,10.5,4,91.8,81.3,26,0.49,51,0.431,22,0.41200000000000003,21,0.619,13,12,200,86.3,13.8,4,17,63,,5.5,4,0.196,10,0.6,6,49.2,30,0.517,22.0,17,41,0.39,16,0.294,5,"January 18, 2020",52.0,13,9.8,4,86.3,86.2,25,0.491,58,0.431,25,0.259,15,0.667,10,8,200,91.8,18.8,6,18,67,,13.7,10,0.345,20,0.35,7,50.8,31,0.514,16.8,13,38,0.474,18,0.556,10,"Adams Center/Dahlberg Arena, Missoula, Montana",IDAHO,Idaho,73.1,Home,MONTANA,Montana,Idaho,big-sky,16,False,False,False,Away,False,6,16,51,30,61,7,18,58,0,1,76,338,916,0.4934497816593886,531,1072,0.4953358208955224,124,287,967,0.4891416752843847,0.3125
17,2020-01-25-17-idaho,55.6,15,7.3,3,82.8,81.5,22,0.568,59,0.45799999999999996,27,0.11900000000000001,7,1.0,7,6,200,115.6,10.0,3,13,74,,6.3,4,0.5760000000000001,34,0.382,13,43.9,25,0.594,6.1,4,25,0.56,14,0.667,12,"January 25, 2020",38.1,8,8.0,2,115.6,90.0,27,0.433,52,0.40399999999999997,21,0.154,8,1.0,8,13,200,82.8,18.5,5,13,53,,3.1,2,0.212,11,0.273,3,56.1,32,0.475,19.0,13,41,0.439,18,0.278,5,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,63.6,Away,NORTHERN-COLORADO,Northern Colorado,Idaho,big-sky,17,False,True,True,Home,False,3,18,52,32,57,13,14,59,0,1,82,354,967,0.4932781799379524,561,1133,0.4951456310679612,131,305,1025,0.4892682926829268,0.29411764705882354
18,2020-01-27-21-idaho,46.7,14,14.3,7,62.5,77.3,34,0.596,57,0.526,30,0.193,11,0.455,5,7,200,101.4,25.0,7,18,73,,13.9,10,0.33299999999999996,19,0.42100000000000004,8,56.9,41,0.5870000000000001,20.6,16,38,0.579,22,0.632,12,"January 27, 2020",37.5,6,5.3,2,101.4,75.0,21,0.27899999999999997,61,0.262,16,0.27899999999999997,17,0.647,11,14,200,62.5,22.7,10,12,45,,9.7,7,0.19699999999999998,12,0.16699999999999998,2,43.1,31,0.326,16.0,13,49,0.28600000000000003,14,0.263,5,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,71.7,Away,SOUTHERN-UTAH,Southern Utah,Idaho,big-sky,18,False,True,True,Home,False,2,14,61,31,72,8,22,57,0,1,85,372,1019,0.4901864573110893,593,1190,0.4983193277310925,144,319,1084,0.4935424354243542,0.2777777777777778
19,2020-02-01-16-northern-arizona,63.0,17,0.0,0,108.5,68.8,22,0.4920000000000001,62,0.435,27,0.258,16,0.688,11,15,200,101.4,24.2,8,25,72,,11.3,8,0.242,15,0.467,7,46.2,30,0.517,14.8,12,47,0.426,20,0.25,5,"February 1, 2020",43.5,10,4.3,2,101.4,75.8,25,0.51,50,0.46,23,0.76,38,0.684,26,7,200,108.5,31.3,10,17,77,,7.0,5,0.4,20,0.25,5,53.8,35,0.5660000000000001,14.2,11,30,0.6,18,0.632,12,"Walkup Skydome, Flagstaff, Arizona",IDAHO,Idaho,71.3,Home,NORTHERN-ARIZONA,Northern Arizona,Idaho,big-sky,19,False,False,False,Away,False,7,20,62,30,65,5,18,50,0,1,87,386,1080,0.4782407407407408,624,1262,0.4944532488114105,152,341,1141,0.4986853637160386,0.2631578947368421
20,2020-02-03-22-sacramento-state,45.8,11,2.4,1,75.7,72.5,29,0.565,46,0.522,24,0.522,24,0.625,15,15,200,95.7,33.3,8,10,67,,7.1,5,0.13,6,0.667,4,57.8,37,0.584,25.1,19,40,0.5,20,0.28600000000000003,6,"February 3, 2020",59.1,13,12.5,5,95.7,66.7,16,0.368,68,0.324,22,0.059000000000000004,4,0.75,3,9,200,75.7,27.5,11,21,53,,14.3,10,0.382,26,0.231,6,42.2,27,0.379,15.7,13,42,0.381,16,0.55,11,"The Nest, Sacramento, California",SACRAMENTO-STATE,Sacramento State,70.2,Away,IDAHO,Idaho,Idaho,big-sky,20,False,False,False,Away,True,4,20,46,37,64,6,16,68,1,0,94,406,1142,0.47898423817863395,654,1327,0.4928409947249434,157,359,1191,0.4991603694374475,0.25
