,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,IOWA-STATE_homegame,IOWA-STATE_homegame2,IOWA-STATE_home,IOWA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-iowa-state,43.3,13,0.0,0,125.0,62.5,25,0.486,73,0.41100000000000003,30,0.11,8,0.375,3,1,200,84.1,23.3,10,9,74,,3.4,3,0.397,29,0.379,11,42.2,35,0.48200000000000004,21.5,21,44,0.4320000000000001,19,0.0,0,"November 5, 2019",71.1,32,15.9,7,84.1,76.7,33,0.5920000000000001,87,0.517,45,0.126,11,0.636,7,0,200,125.0,37.5,15,8,110,,17.0,15,0.402,35,0.371,13,57.8,48,0.596,9.8,10,52,0.615,32,1.0,1,"James H. Hilton Coliseum , Ames, Iowa",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,87.5,Home,IOWA-STATE,Iowa State,Iowa State,big-12,0,True,False,True,Home,True,13,32,87,48,83,11,19,73,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-16-oregon-state,60.0,18,13.2,5,112.7,66.7,20,0.493,68,0.441,30,0.162,11,0.636,7,1,200,104.2,31.6,12,17,74,,5.6,4,0.309,21,0.33299999999999996,7,47.1,32,0.505,12.1,10,47,0.489,23,0.5,1,"November 9, 2019",69.0,20,12.8,6,104.2,68.4,26,0.593,59,0.4920000000000001,29,0.28800000000000003,17,0.588,10,0,200,112.7,33.3,10,10,80,,7.0,5,0.35600000000000004,21,0.5710000000000001,12,52.9,36,0.596,17.4,14,38,0.447,17,1.0,2,"Gill Coliseum, Corvallis, Oregon",IOWA-STATE,Iowa State,71.2,Home,OREGON-STATE,Oregon State,Iowa State,big-12,1,False,False,False,Away,False,7,23,68,32,68,12,17,59,0,1,13,32,87,0.5919540229885057,48,83,0.5783132530120482,11,19,73,0.4863013698630137,1.0
2,2019-11-12-20-iowa-state,16.7,3,5.7,2,98.6,75.0,27,0.358,60,0.3,18,0.267,16,0.563,9,2,200,73.2,38.1,16,19,52,,7.0,5,0.4,24,0.292,7,55.1,43,0.385,22.1,19,36,0.306,11,0.0,0,"November 12, 2019",53.8,14,22.2,8,73.2,61.9,26,0.45799999999999996,60,0.433,26,0.3670000000000001,22,0.682,15,1,200,98.6,25.0,9,16,70,,14.1,10,0.41700000000000004,25,0.12,3,44.9,35,0.4970000000000001,11.4,9,35,0.657,23,0.667,2,"James H. Hilton Coliseum , Ames, Iowa",NORTHERN-ILLINOIS,Northern Illinois,70.5,Home,IOWA-STATE,Iowa State,Iowa State,big-12,2,True,False,True,Home,True,3,23,60,35,78,7,11,60,1,0,20,55,155,0.5483870967741935,80,151,0.5298013245033113,23,36,132,0.5340909090909091,0.5
3,2019-11-19-20-iowa-state,54.5,12,3.3,1,102.8,79.3,23,0.33299999999999996,66,0.33299999999999996,22,0.03,2,0.5,1,3,200,63.4,22.5,9,20,45,,5.6,4,0.242,16,0.0,0,46.4,32,0.336,17.3,14,50,0.44,22,0.25,1,"November 19, 2019",69.6,16,8.0,4,63.4,77.5,31,0.49,52,0.442,23,0.5770000000000001,30,0.733,22,1,200,102.8,20.7,6,10,73,,8.5,6,0.423,22,0.22699999999999998,5,53.6,37,0.551,12.1,9,30,0.6,18,0.75,3,"James H. Hilton Coliseum , Ames, Iowa",SOUTHERN-MISSISSIPPI,Southern Miss,70.6,Home,IOWA-STATE,Iowa State,Iowa State,big-12,3,True,False,True,Home,True,5,18,52,37,69,0,22,66,1,0,23,78,215,0.5232558139534884,115,229,0.5021834061135371,30,47,192,0.4791666666666667,0.6666666666666666
4,2019-11-27-12-iowa-state,60.0,18,6.3,3,96.2,82.1,32,0.6729999999999999,52,0.5770000000000001,30,0.34600000000000003,18,0.722,13,0,200,105.1,13.6,3,19,83,,6.3,5,0.40399999999999997,21,0.47600000000000003,10,57.4,35,0.685,26.9,22,31,0.645,20,1.0,5,"November 27, 2019",46.7,14,12.9,4,105.1,86.4,19,0.47100000000000003,69,0.435,30,0.24600000000000002,17,0.647,11,2,200,96.2,17.9,7,16,76,,19.0,15,0.304,21,0.23800000000000002,5,42.6,26,0.493,10.5,9,48,0.521,25,0.6,3,"Imperial Arena at Atlantis Resort, Paradise Island",IOWA-STATE,Iowa State,79.3,Away,MICHIGAN,Michigan,Iowa State,big-12,4,False,True,True,Home,False,5,25,69,26,61,10,20,52,0,1,28,96,267,0.5168539325842697,152,298,0.5100671140939598,30,69,258,0.4418604651162791,0.75
5,2019-11-28-18-iowa-state,41.9,13,7.5,3,126.8,76.5,26,0.5,74,0.419,31,0.243,18,0.833,15,4,200,108.5,43.9,18,20,89,,9.8,8,0.35100000000000003,26,0.462,12,58.7,44,0.539,17.2,17,48,0.396,19,0.33299999999999996,2,"November 28, 2019",44.4,16,16.7,8,108.5,56.1,23,0.63,69,0.522,36,0.348,24,0.708,17,2,200,126.8,23.5,8,16,104,,6.1,5,0.42,29,0.517,15,41.3,31,0.647,12.1,11,40,0.525,21,0.667,4,"Imperial Arena at Atlantis Resort, Paradise Island",ALABAMA,Alabama,82.5,Home,IOWA-STATE,Iowa State,Iowa State,big-12,5,True,False,True,Home,True,15,21,69,31,75,12,19,74,1,0,33,121,336,0.5074404761904762,178,359,0.4958217270194986,40,89,310,0.4806451612903226,0.6
6,2019-11-29-19-iowa-state,41.2,14,5.4,2,101.3,78.8,26,0.603,63,0.54,34,0.19,12,0.667,8,2,200,112.0,44.4,12,13,84,13.0,10.7,8,0.317,20,0.4,8,63.3,38,0.611,19.9,17,43,0.605,26,0.75,6,"November 29, 2019",31.0,9,4.7,2,112.0,55.6,15,0.523,64,0.45299999999999996,29,0.188,12,0.75,9,3,200,101.3,21.2,7,12,76,,10.7,8,0.42200000000000004,27,0.33299999999999996,9,36.7,22,0.545,15.8,13,37,0.541,20,0.5710000000000001,4,"Imperial Arena at Atlantis Resort, Paradise Island",IOWA-STATE,Iowa State,74.7,Away,SETON-HALL,Seton Hall,Iowa State,big-12,6,False,True,True,Home,False,9,20,64,22,60,8,26,63,0,1,48,142,405,0.528395061728395,209,434,0.4815668202764977,52,108,384,0.484375,0.6666666666666666
7,2019-12-04-20-iowa-state,36.0,9,0.0,0,109.7,71.4,20,0.491,55,0.455,25,0.182,10,0.7,7,5,200,84.7,9.7,3,27,61,,11.1,8,0.327,18,0.222,4,39.0,23,0.51,21.2,16,37,0.568,21,0.5,5,"December 4, 2019",57.7,15,13.5,5,84.7,90.3,28,0.5479999999999999,52,0.5,26,0.5,26,0.846,22,3,200,109.7,28.6,8,15,79,,13.9,10,0.40399999999999997,21,0.23800000000000002,5,61.0,36,0.614,19.1,15,31,0.677,21,0.625,5,"James H. Hilton Coliseum , Ames, Iowa",MISSOURI-KANSAS-CITY,UMKC,72.1,Home,IOWA-STATE,Iowa State,Iowa State,big-12,7,True,False,True,Home,True,5,21,52,36,59,4,21,55,1,0,57,162,469,0.5277185501066098,231,494,0.4676113360323887,60,134,447,0.5011185682326622,0.5714285714285714
8,2019-12-08-21-iowa-state,48.0,12,4.9,2,91.6,70.3,26,0.426,68,0.368,25,0.17600000000000002,12,0.667,8,3,200,79.5,23.7,9,27,66,16.0,12.0,10,0.441,30,0.267,8,46.7,35,0.44799999999999995,21.4,20,38,0.447,17,0.667,6,"December 8, 2019",56.5,13,21.1,8,79.5,76.3,29,0.41700000000000004,60,0.38299999999999995,23,0.55,33,0.7879999999999999,26,3,200,91.6,29.7,11,17,76,,10.8,9,0.317,19,0.21100000000000002,4,53.3,40,0.502,17.7,16,41,0.46299999999999997,19,0.667,6,"James H. Hilton Coliseum , Ames, Iowa",SETON-HALL,Seton Hall,82.7,Home,IOWA-STATE,Iowa State,Iowa State,big-12,8,True,False,True,Home,True,4,19,60,40,75,8,17,68,1,0,62,183,521,0.5297504798464492,267,553,0.4828209764918626,64,155,502,0.5,0.625
9,2019-12-12-20-iowa-state,46.4,13,2.3,1,97.1,65.0,26,0.508,65,0.431,28,0.308,20,0.9,18,3,200,120.0,42.4,14,11,84,,11.4,8,0.431,28,0.35700000000000004,10,54.8,40,0.564,13.0,11,37,0.486,18,0.727,8,"December 12, 2019",51.7,15,13.5,5,120.0,57.6,19,0.46399999999999997,69,0.42,29,0.10099999999999999,7,0.5710000000000001,4,4,200,97.1,35.0,14,17,68,,7.1,5,0.377,26,0.231,6,45.2,33,0.47,13.2,11,43,0.535,23,0.6,6,"James H. Hilton Coliseum , Ames, Iowa",IOWA-STATE,Iowa State,70.4,Away,IOWA,Iowa,Iowa State,big-12,9,False,True,True,Home,False,6,23,69,33,73,10,18,65,0,1,66,202,581,0.5180722891566265,307,628,0.4888535031847134,72,172,570,0.4912280701754386,0.6666666666666666
