,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LAFAYETTE_homegame,LAFAYETTE_homegame2,LAFAYETTE_home,LAFAYETTE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-lafayette,26.1,6,3.3,1,94.2,78.3,18,0.418,61,0.377,23,0.262,16,0.75,12,1,200,91.3,25.7,9,10,63,,8.7,6,0.311,19,0.263,5,46.6,27,0.45899999999999996,13.9,11,42,0.429,18,0.0,0,"November 5, 2019",50.0,13,16.7,7,91.3,74.3,26,0.6,50,0.52,26,0.1,5,1.0,5,0,200,94.2,21.7,5,16,65,,8.7,6,0.4,20,0.4,8,53.4,31,0.621,27.7,20,30,0.6,18,1.0,1,"Kirby Sports Center, Easton, Pennsylvania",COLUMBIA,Columbia,69.0,Home,LAFAYETTE,Lafayette,Lafayette,patriot,0,True,False,True,Home,True,8,18,50,31,58,5,18,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-14-st-francis-ny,55.6,15,2.2,1,96.1,83.9,26,0.508,61,0.44299999999999995,27,0.213,13,0.769,10,1,200,94.7,17.6,6,16,72,,6.6,5,0.45899999999999996,28,0.28600000000000003,8,49.2,32,0.536,18.4,15,33,0.5760000000000001,19,0.5,1,"November 9, 2019",26.9,7,15.2,5,94.7,82.4,28,0.5,57,0.456,26,0.33299999999999996,19,0.8420000000000001,16,1,200,96.1,16.1,5,16,73,,7.9,6,0.21100000000000002,12,0.41700000000000004,5,50.8,33,0.5529999999999999,17.6,14,45,0.467,21,0.5,1,"Pope Physical Education Center, Brooklyn Heights, New York",LAFAYETTE,Lafayette,75.6,Home,ST-FRANCIS-NY,St. Francis (NY),Lafayette,patriot,1,False,False,False,Away,False,8,19,61,32,65,5,21,57,0,1,8,18,50,0.6,31,58,0.5344827586206896,5,18,61,0.4180327868852459,1.0
2,2019-11-13-19-princeton,57.7,15,20.0,7,98.5,71.9,23,0.63,50,0.52,26,0.26,13,0.6920000000000001,9,1,200,109.1,17.4,4,11,72,,10.6,7,0.38,19,0.579,11,49.1,27,0.6409999999999999,15.2,10,31,0.484,15,0.667,2,"November 13, 2019",32.0,8,9.7,3,109.1,82.6,19,0.45299999999999996,64,0.391,25,0.188,12,0.583,7,3,200,98.5,28.1,9,13,65,,12.1,8,0.45299999999999996,29,0.276,8,50.9,28,0.466,11.5,9,35,0.486,17,0.0,0,"Jadwin Gymnasium, Princeton, New Jersey",PRINCETON,Princeton,65.9,Away,LAFAYETTE,Lafayette,Lafayette,patriot,2,False,False,False,Away,True,11,15,50,27,55,8,17,64,1,0,16,37,111,0.5495495495495496,63,123,0.5121951219512195,10,39,118,0.4576271186440678,0.5
3,2019-11-16-17-lafayette,20.6,7,9.7,3,105.8,69.6,16,0.5920000000000001,60,0.5670000000000001,34,0.2,12,0.833,10,0,200,117.4,21.7,5,11,81,,11.6,8,0.233,14,0.214,3,45.7,21,0.616,10.9,8,46,0.674,31,1.0,5,"November 16, 2019",62.1,18,8.7,4,117.4,78.3,18,0.616,56,0.518,29,0.08900000000000001,5,0.8,4,2,200,105.8,30.4,7,14,73,,4.3,3,0.446,25,0.44,11,54.3,25,0.625,22.6,17,31,0.581,18,0.5,2,"Kirby Sports Center, Easton, Pennsylvania",LAFAYETTE,Lafayette,68.5,Away,DELAWARE,Delaware,Lafayette,patriot,3,False,True,True,Home,False,11,18,56,25,46,3,31,60,0,1,27,52,161,0.5745341614906833,90,178,0.5056179775280899,18,56,182,0.456043956043956,0.6666666666666666
4,2019-11-19-19-lafayette,60.7,17,2.7,1,128.4,85.2,23,0.5489999999999999,61,0.45899999999999996,28,0.16399999999999998,10,0.8,8,2,200,111.9,34.4,11,14,75,,4.5,3,0.541,33,0.33299999999999996,11,57.6,34,0.57,15.5,12,28,0.607,17,0.5,2,"November 19, 2019",53.1,17,7.1,2,111.9,65.6,21,0.636,59,0.542,32,0.254,15,0.733,11,2,200,128.4,14.8,4,8,86,,11.9,8,0.373,22,0.5,11,42.4,25,0.65,7.1,5,37,0.568,21,0.6,3,"Kirby Sports Center, Easton, Pennsylvania",PENNSYLVANIA,Penn,66.9,Home,LAFAYETTE,Lafayette,Lafayette,patriot,4,True,False,True,Home,True,11,21,59,25,59,11,17,61,1,0,38,70,217,0.5852534562211982,115,224,0.5133928571428571,21,87,242,0.4896694214876033,0.5
5,2019-11-24-13-lafayette,40.7,11,8.8,3,119.4,60.0,15,0.615,52,0.519,27,0.365,19,0.579,11,4,200,111.9,20.8,5,17,75,,7.5,5,0.385,20,0.5,10,40.8,20,0.615,13.0,9,32,0.531,17,0.2,1,"November 24, 2019",58.6,17,6.3,2,111.9,79.2,19,0.579,57,0.509,29,0.316,18,0.778,14,2,200,119.4,40.0,10,19,80,,6.0,4,0.40399999999999997,23,0.348,8,59.2,29,0.61,17.7,14,34,0.618,21,0.667,4,"Kirby Sports Center, Easton, Pennsylvania",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,67.3,Home,LAFAYETTE,Lafayette,Lafayette,patriot,5,True,False,True,Home,True,8,21,57,29,49,10,17,52,1,0,49,91,276,0.5960144927536232,140,283,0.4946996466431096,32,104,303,0.5016501650165016,0.6
6,2019-12-03-19-saint-josephs,58.8,20,12.1,4,98.6,79.3,23,0.6609999999999999,62,0.5479999999999999,34,0.226,14,0.857,12,2,200,130.6,13.8,4,15,94,,6.9,5,0.452,28,0.5,14,46.6,27,0.685,6.8,5,34,0.588,20,0.7140000000000001,5,"December 3, 2019",52.0,13,0.0,0,130.6,86.2,25,0.483,60,0.41700000000000004,25,0.3,18,0.722,13,7,200,98.6,20.7,6,16,71,,2.8,2,0.45,27,0.29600000000000004,8,53.4,31,0.518,13.9,11,33,0.515,17,0.222,2,"Hagan Arena, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,71.6,Away,LAFAYETTE,Lafayette,Lafayette,patriot,6,False,False,False,Away,True,14,20,62,27,58,8,17,60,1,0,57,112,333,0.5930930930930931,169,332,0.5090361445783133,42,121,355,0.5183098591549296,0.6666666666666666
7,2019-12-07-13-cornell,66.7,14,11.9,5,95.2,73.0,27,0.521,47,0.447,21,0.426,20,0.65,13,2,200,100.0,23.1,6,12,62,,1.6,1,0.447,21,0.33299999999999996,7,52.4,33,0.5489999999999999,17.7,12,26,0.5379999999999999,14,0.75,6,"December 7, 2019",50.0,12,7.7,2,100.0,76.9,20,0.405,63,0.381,24,0.19,12,0.667,8,7,200,95.2,27.0,10,13,59,,14.5,9,0.33299999999999996,21,0.14300000000000002,3,47.6,30,0.429,4.2,3,42,0.5,21,0.125,1,"Newman Arena, Ithaca, New York",CORNELL,Cornell,62.1,Away,LAFAYETTE,Lafayette,Lafayette,patriot,7,False,False,False,Away,True,7,14,47,33,63,3,21,63,1,0,71,132,395,0.6037974683544304,196,390,0.5025641025641026,50,138,415,0.5132530120481927,0.7142857142857143
8,2019-12-19-19-lafayette,30.0,6,4.2,1,131.5,70.8,17,0.326,69,0.29,20,0.24600000000000002,17,0.647,11,0,200,76.7,23.4,11,13,56,,9.6,7,0.348,24,0.20800000000000002,5,39.4,28,0.363,9.5,8,45,0.33299999999999996,15,0.0,0,"December 19, 2019",69.7,23,20.0,9,76.7,76.6,36,0.7190000000000001,57,0.579,33,0.281,16,0.875,14,2,200,131.5,29.2,7,16,96,,2.7,2,0.579,33,0.485,16,60.6,43,0.743,19.0,15,24,0.708,17,0.778,7,"Kirby Sports Center, Easton, Pennsylvania","Widener
			","Widener
			",73.3,Home,LAFAYETTE,Lafayette,Lafayette,patriot,8,True,False,True,Home,True,16,17,57,43,71,5,15,69,1,0,78,146,442,0.5950226244343891,229,453,0.5055187637969095,53,159,478,0.4989539748953975,0.75
9,2019-12-22-13-rutgers,64.7,11,3.7,2,88.7,63.6,21,0.38,54,0.315,17,0.09300000000000001,5,0.6,3,3,200,62.0,16.7,6,12,44,,14.1,10,0.46299999999999997,25,0.28,7,39.1,27,0.39,25.3,19,29,0.345,10,0.7,7,"December 22, 2019",33.3,10,10.3,3,62.0,83.3,30,0.484,63,0.47600000000000003,30,0.095,6,0.33299999999999996,2,3,200,88.7,36.4,12,12,63,,19.7,14,0.14300000000000002,9,0.111,1,60.9,42,0.478,21.5,18,54,0.537,29,0.75,9,"Rutgers Athletic Center, New Brunswick, New Jersey",LAFAYETTE,Lafayette,70.6,Home,RUTGERS,Rutgers,Lafayette,patriot,9,False,False,False,Away,False,7,10,54,27,69,1,29,63,0,1,94,163,499,0.6092184368737475,272,524,0.5190839694656488,58,174,547,0.4771480804387568,0.7777777777777778
