,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LIBERTY_homegame,LIBERTY_homegame2,LIBERTY_home,LIBERTY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-08-19-liberty,20.0,4,9.5,2,104.8,85.2,23,0.415,53,0.377,20,0.434,23,0.696,16,1,200,95.2,21.2,7,21,60,,6.3,4,0.321,17,0.235,4,50.0,30,0.469,11.2,8,36,0.444,16,0.0,0,"November 8, 2019",65.0,13,13.9,5,95.2,78.8,26,0.547,43,0.465,20,0.674,29,0.655,19,0,200,104.8,14.8,4,20,66,,6.3,4,0.512,22,0.318,7,50.0,30,0.581,13.9,9,21,0.619,13,1.0,1,"Vines Center, Lynchburg, Virginia",RADFORD,Radford,63.4,Home,LIBERTY,Liberty,Liberty,atlantic-sun,0,True,False,True,Home,True,7,13,43,30,60,4,16,53,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-14-liberty,23.8,5,3.8,1,110.0,68.0,17,0.469,49,0.429,21,0.265,13,0.6920000000000001,9,2,200,91.7,24.1,7,13,55,,11.7,7,0.265,13,0.308,4,44.4,24,0.498,19.2,13,36,0.47200000000000003,17,0.0,0,"November 10, 2019",57.7,15,5.6,2,91.7,75.9,22,0.6,50,0.52,26,0.2,10,0.6,6,0,200,110.0,32.0,8,10,66,,13.3,8,0.48,24,0.33299999999999996,8,55.6,30,0.603,18.1,12,26,0.6920000000000001,18,1.0,2,"Vines Center, Lynchburg, Virginia",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,60.0,Home,LIBERTY,Liberty,Liberty,atlantic-sun,1,True,False,True,Home,True,8,18,50,30,54,4,17,49,1,0,7,13,43,0.5465116279069767,30,60,0.5,4,16,53,0.4150943396226415,1.0
2,2019-11-12-19-liberty,28.6,4,0.0,0,103.2,63.9,23,0.317,52,0.26899999999999996,14,0.135,7,0.857,6,2,200,61.9,11.8,4,10,39,,14.3,9,0.327,17,0.294,5,38.6,27,0.35200000000000004,19.1,13,35,0.257,9,0.33299999999999996,1,"November 12, 2019",51.9,14,8.6,3,61.9,88.2,30,0.516,61,0.44299999999999995,27,0.098,6,0.33299999999999996,2,0,200,103.2,36.1,13,10,65,,11.1,7,0.361,22,0.409,9,61.4,43,0.509,14.7,11,39,0.462,18,1.0,3,"Vines Center, Lynchburg, Virginia",SOUTH-CAROLINA-STATE,South Carolina State,63.1,Home,LIBERTY,Liberty,Liberty,atlantic-sun,2,True,False,True,Home,True,9,18,61,43,70,5,9,52,1,0,15,31,93,0.5752688172043011,60,114,0.5263157894736842,8,33,102,0.4411764705882353,1.0
3,2019-11-16-16-east-carolina,61.5,16,8.1,3,89.1,74.2,23,0.573,55,0.473,26,0.345,19,0.737,14,0,200,120.3,34.4,11,19,77,,6.3,4,0.418,23,0.478,11,54.0,34,0.601,13.6,10,32,0.469,15,1.0,4,"November 16, 2019",50.0,10,12.5,4,120.3,65.6,21,0.433,52,0.385,20,0.423,22,0.545,12,3,200,89.1,25.8,8,20,57,,10.9,7,0.28800000000000003,15,0.33299999999999996,5,46.0,29,0.456,14.0,10,37,0.405,15,0.25,1,"Williams Arena at Minges Coliseum, Greenville, North Carolina",EAST-CAROLINA,East Carolina,63.7,Away,LIBERTY,Liberty,Liberty,atlantic-sun,3,False,False,False,Away,True,11,15,55,34,63,5,15,52,1,0,24,49,154,0.551948051948052,103,184,0.5597826086956522,13,42,154,0.3993506493506493,1.0
4,2019-11-19-19-liberty,42.9,6,3.7,1,96.5,90.6,29,0.364,44,0.318,14,0.5,22,0.727,16,2,200,84.2,30.0,9,14,48,,3.5,2,0.545,24,0.16699999999999998,4,61.3,38,0.441,17.0,11,20,0.5,10,0.5,2,"November 19, 2019",47.1,8,20.0,4,84.2,70.0,21,0.418,49,0.34700000000000003,17,0.34700000000000003,17,0.8240000000000001,14,0,200,96.5,9.4,3,14,55,,12.3,7,0.449,22,0.318,7,38.7,24,0.48200000000000004,6.6,4,27,0.37,10,1.0,5,"Vines Center, Lynchburg, Virginia",NAVY,Navy,57.3,Home,LIBERTY,Liberty,Liberty,atlantic-sun,4,True,False,True,Home,True,7,10,49,24,62,4,10,44,1,0,35,64,209,0.5574162679425837,137,247,0.5546558704453441,18,57,206,0.4077669902912621,1.0
5,2019-11-22-11-morgan-state,45.8,11,0.0,0,66.7,73.5,25,0.636,44,0.545,24,1.068,47,0.7020000000000001,33,0,200,123.6,23.1,6,20,89,,5.6,4,0.386,17,0.47100000000000003,8,51.7,31,0.6709999999999999,15.6,12,27,0.593,16,1.0,6,"November 22, 2019",50.0,7,7.4,2,123.6,76.9,20,0.316,49,0.28600000000000003,14,0.551,27,0.63,17,3,200,66.7,26.5,9,34,48,,9.7,7,0.38799999999999996,19,0.158,3,48.3,29,0.38799999999999996,22.8,18,30,0.3670000000000001,11,0.5,3,"Baha Mar Convention Center, Nassau",MORGAN-STATE,Morgan State,71.6,Away,LIBERTY,Liberty,Liberty,atlantic-sun,5,False,False,False,Away,True,8,16,44,31,60,3,11,49,1,0,42,74,258,0.5310077519379846,161,309,0.5210355987055016,22,67,250,0.4,1.0
6,2019-11-23-17-rice,46.2,12,12.0,3,85.5,77.4,24,0.536,55,0.473,26,0.327,18,0.667,12,0,200,102.9,17.6,6,10,71,,8.7,6,0.418,23,0.304,7,46.2,30,0.5589999999999999,12.5,9,32,0.594,19,1.0,7,"November 23, 2019",45.0,9,3.1,1,102.9,82.4,28,0.43,57,0.35100000000000003,20,0.24600000000000002,14,0.7140000000000001,10,3,200,85.5,22.6,7,17,59,,2.9,2,0.561,32,0.281,9,53.8,35,0.46299999999999997,18.1,14,25,0.44,11,0.625,5,"Baha Mar Convention Center, Nassau",RICE,Rice,68.6,Away,LIBERTY,Liberty,Liberty,atlantic-sun,6,False,False,False,Away,True,7,19,55,30,65,9,11,57,1,0,50,90,302,0.5463576158940397,192,369,0.5203252032520326,25,78,299,0.3862876254180602,1.0
7,2019-11-24-20-missouri-kansas-city,55.0,11,3.1,1,81.7,91.7,22,0.479,47,0.426,20,0.40399999999999997,19,0.895,17,0,200,103.3,23.1,6,12,62,,10.0,6,0.298,14,0.35700000000000004,5,56.0,28,0.5529999999999999,14.0,9,33,0.455,15,1.0,8,"November 24, 2019",35.0,7,3.0,1,103.3,76.9,20,0.469,48,0.41700000000000004,20,0.125,6,0.667,4,4,200,81.7,8.3,2,16,49,,6.7,4,0.33299999999999996,16,0.313,5,44.0,22,0.48200000000000004,20.4,13,32,0.469,15,0.5,4,"Baha Mar Convention Center, Nassau",MISSOURI-KANSAS-CITY,UMKC,60.4,Away,LIBERTY,Liberty,Liberty,atlantic-sun,7,False,False,False,Away,True,5,15,47,28,50,5,15,48,1,0,57,109,357,0.5448179271708683,222,434,0.511520737327189,34,89,356,0.39325842696629215,1.0
8,2019-11-29-14-liberty,56.3,9,9.7,3,125.7,72.4,21,0.325,57,0.281,16,0.158,9,0.556,5,0,200,60.0,13.2,5,16,42,,7.1,5,0.439,25,0.2,5,38.8,26,0.34299999999999997,19.7,15,32,0.344,11,0.0,0,"November 29, 2019",64.5,20,18.8,6,60.0,86.8,33,0.6609999999999999,59,0.525,31,0.254,15,0.667,10,0,200,125.7,27.6,8,11,88,,10.0,7,0.475,28,0.5710000000000001,16,61.2,41,0.665,14.4,11,31,0.484,15,1.0,9,"Vines Center, Lynchburg, Virginia","Kentucky Christian
			","Kentucky Christian
			",70.2,Home,LIBERTY,Liberty,Liberty,atlantic-sun,8,True,False,True,Home,True,16,15,59,41,67,5,11,57,1,0,62,124,404,0.5371287128712872,250,484,0.5165289256198347,39,104,404,0.4022277227722773,1.0
9,2019-12-02-22-liberty,50.0,6,0.0,0,147.5,47.6,10,0.25,54,0.222,12,0.037000000000000005,2,0.5,1,0,200,47.5,13.2,5,11,28,,8.5,5,0.37,20,0.15,3,25.4,15,0.255,15.4,10,34,0.265,9,0.0,0,"December 2, 2019",72.7,24,26.5,9,47.5,86.8,33,0.723,56,0.589,33,0.14300000000000002,8,0.75,6,0,200,147.5,52.4,11,6,87,,3.4,2,0.48200000000000004,27,0.556,15,74.6,44,0.727,14.4,10,29,0.621,18,1.0,10,"Vines Center, Lynchburg, Virginia","Trinity Baptist
			","Trinity Baptist
			",59.4,Home,LIBERTY,Liberty,Liberty,atlantic-sun,9,True,False,True,Home,True,15,18,56,44,59,3,9,54,1,0,78,139,463,0.5529157667386609,291,551,0.5281306715063521,44,115,461,0.3926247288503254,1.0
