,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LOYOLA-MARYMOUNT_homegame,LOYOLA-MARYMOUNT_homegame2,LOYOLA-MARYMOUNT_home,LOYOLA-MARYMOUNT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-22-loyola-marymount,40.0,8,11.1,5,138.2,70.0,21,0.381,59,0.33899999999999997,20,0.322,19,0.895,17,0,200,81.6,27.0,10,23,62,,6.6,5,0.39,23,0.217,5,46.3,31,0.456,22.9,20,36,0.41700000000000004,15,0.0,0,"November 5, 2019",52.5,21,16.7,6,81.6,73.0,27,0.73,63,0.635,40,0.33299999999999996,21,0.619,13,0,200,138.2,30.0,9,18,105,,13.2,10,0.28600000000000003,18,0.667,12,53.7,36,0.7190000000000001,12.2,10,45,0.622,28,1.0,1,"Albert Gersten Pavilion, Los Angeles, California","Westcliff
			","Westcliff
			",76.0,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Loyola Marymount,wcc,0,True,False,True,Home,True,12,28,63,36,67,5,15,59,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-22-nevada,47.8,11,0.0,0,101.4,79.3,23,0.473,55,0.418,23,0.345,19,0.789,15,1,200,94.4,9.7,3,22,67,,7.0,5,0.382,21,0.28600000000000003,6,43.3,26,0.523,13.6,10,34,0.5,17,0.5,1,"November 9, 2019",54.2,13,14.7,5,94.4,90.3,28,0.491,56,0.429,24,0.39299999999999996,22,0.773,17,1,200,101.4,20.7,6,21,72,,9.9,7,0.536,30,0.233,7,56.7,34,0.542,14.3,11,26,0.654,17,0.5,1,"Lawlor Events Center, Reno, Nevada",LOYOLA-MARYMOUNT,Loyola Marymount,71.2,Home,NEVADA,Nevada,Loyola Marymount,wcc,1,False,False,False,Away,False,6,17,55,26,60,7,17,56,0,1,12,28,63,0.7301587301587301,36,67,0.5373134328358209,5,15,59,0.3813559322033898,1.0
2,2019-11-16-22-loyola-marymount,66.7,14,2.8,1,92.8,71.0,22,0.51,49,0.429,21,0.653,32,0.75,24,1,200,107.2,30.8,8,18,74,,10.1,7,0.49,24,0.33299999999999996,8,52.6,30,0.5760000000000001,17.1,13,25,0.52,13,0.75,3,"November 16, 2019",55.6,15,12.0,3,107.2,69.2,18,0.518,56,0.48200000000000004,27,0.23199999999999998,13,0.462,6,2,200,92.8,29.0,9,26,64,,8.7,6,0.35700000000000004,20,0.2,4,47.4,27,0.515,20.6,16,36,0.639,23,0.33299999999999996,1,"Albert Gersten Pavilion, Los Angeles, California",LOYOLA-MARYMOUNT,Loyola Marymount,69.2,Away,COLORADO-STATE,Colorado State,Loyola Marymount,wcc,2,False,True,True,Home,False,4,23,56,27,57,8,13,49,0,1,18,45,118,0.6101694915254238,62,127,0.4881889763779528,12,32,115,0.43478260869565216,0.5
3,2019-11-21-16-loyola-marymount,73.7,14,0.0,0,127.9,70.6,12,0.478,46,0.413,19,0.5870000000000001,27,0.741,20,3,201,104.9,23.1,6,14,64,,1.6,1,0.478,22,0.273,6,41.9,18,0.544,16.0,11,24,0.542,13,0.4,2,"November 21, 2019",56.7,17,4.2,1,104.9,76.9,20,0.7190000000000001,48,0.625,30,0.313,15,0.6,9,2,201,127.9,29.4,5,22,78,,3.3,2,0.375,18,0.5,9,58.1,25,0.7070000000000001,12.8,8,30,0.7,21,0.5,2,"Gateway Christian Academy, Bimini",AIR-FORCE,Air Force,60.7,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Loyola Marymount,wcc,3,True,False,True,Home,True,9,21,48,25,43,6,13,46,1,0,22,68,174,0.5804597701149425,89,184,0.48369565217391297,20,45,164,0.4573170731707317,0.3333333333333333
4,2019-11-22-16-loyola-marymount,72.7,16,9.1,3,103.4,69.2,18,0.69,42,0.524,22,0.5,21,0.667,14,4,200,124.1,30.4,7,23,72,,12.1,7,0.595,25,0.56,14,51.0,25,0.693,14.9,9,17,0.47100000000000003,8,0.2,1,"November 22, 2019",42.9,9,0.0,0,124.1,69.6,16,0.479,47,0.447,21,0.5529999999999999,26,0.5770000000000001,15,3,200,103.4,30.8,8,24,60,,6.9,4,0.298,14,0.214,3,49.0,24,0.505,14.6,10,33,0.545,18,0.4,2,"Gateway Christian Academy, Bimini",LOYOLA-MARYMOUNT,Loyola Marymount,57.7,Away,INDIANA-STATE,Indiana State,Loyola Marymount,wcc,4,False,True,True,Home,False,3,18,47,24,49,14,8,42,0,1,31,89,222,0.6103603603603603,114,227,0.5022026431718062,26,58,210,0.4619047619047619,0.5
5,2019-11-24-18-loyola-marymount,50.0,13,27.3,9,83.3,73.3,22,0.561,57,0.456,26,0.14,8,0.875,7,0,200,118.3,31.0,9,13,71,,15.0,9,0.509,29,0.414,12,52.5,31,0.584,12.9,9,28,0.5,14,1.0,6,"November 24, 2019",40.0,8,10.7,3,118.3,69.0,20,0.469,48,0.41700000000000004,20,0.20800000000000002,10,0.5,5,4,200,83.3,26.7,8,16,50,,6.7,4,0.313,15,0.33299999999999996,5,47.5,28,0.474,22.3,15,33,0.455,15,0.33299999999999996,2,"Gateway Christian Academy, Bimini",LOYOLA-MARYMOUNT,Loyola Marymount,60.3,Away,DUQUESNE,Duquesne,Loyola Marymount,wcc,5,False,True,True,Home,False,5,15,48,28,59,12,14,57,0,1,34,107,269,0.5873605947955389,138,276,0.5,40,66,252,0.5,0.4
6,2019-12-01-16-loyola-marymount,43.8,7,2.8,1,103.4,65.2,15,0.40399999999999997,47,0.34,16,0.38299999999999995,18,0.722,13,4,200,86.4,46.2,12,17,51,,1.7,1,0.5529999999999999,26,0.231,6,55.1,27,0.45899999999999996,24.7,18,21,0.47600000000000003,10,0.5,4,"December 1, 2019",40.0,10,9.5,2,86.4,53.8,14,0.54,50,0.5,25,0.18,9,0.778,7,4,200,103.4,34.8,8,17,61,,6.8,4,0.28,14,0.28600000000000003,4,44.9,22,0.562,16.9,11,36,0.583,21,0.429,3,"Albert Gersten Pavilion, Los Angeles, California",SOUTHERN-UTAH,Southern Utah,59.4,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Loyola Marymount,wcc,6,True,False,True,Home,True,4,21,50,22,49,6,10,47,1,0,39,122,317,0.5694006309148265,166,335,0.4955223880597015,52,80,309,0.511326860841424,0.3333333333333333
7,2019-12-04-22-colorado,25.9,7,12.5,4,104.1,63.6,21,0.5479999999999999,52,0.519,27,0.327,17,0.41200000000000003,7,5,200,87.7,23.3,7,29,64,,17.8,13,0.17300000000000001,9,0.33299999999999996,3,44.4,28,0.5329999999999999,23.2,18,43,0.5579999999999999,24,0.375,3,"December 4, 2019",40.9,9,20.9,9,87.7,76.7,23,0.48100000000000004,53,0.415,22,0.623,33,0.758,25,0,200,104.1,36.4,12,16,76,20.0,6.8,5,0.396,21,0.33299999999999996,7,55.6,35,0.5529999999999999,21.0,18,32,0.469,15,1.0,7,"Coors Events/Conference Center, Boulder, Colorado",LOYOLA-MARYMOUNT,Loyola Marymount,72.9,Home,COLORADO,Colorado,Loyola Marymount,wcc,7,False,False,False,Away,False,3,24,52,28,63,7,15,53,0,1,43,143,367,0.5653950953678474,188,384,0.4895833333333333,58,90,356,0.4971910112359551,0.42857142857142855
8,2019-12-07-22-loyola-marymount,54.5,12,13.6,3,113.7,88.9,16,0.435,54,0.40700000000000003,22,0.5,27,0.741,20,5,200,91.8,18.2,6,22,67,,9.6,7,0.315,17,0.17600000000000002,3,43.1,22,0.501,17.5,14,37,0.514,19,0.444,4,"December 7, 2019",83.3,25,10.8,4,91.8,81.8,27,0.777,47,0.638,30,0.426,20,0.5,10,5,200,113.7,11.1,2,23,83,,11.0,8,0.532,25,0.52,13,56.9,29,0.735,23.4,17,22,0.773,17,0.444,4,"Albert Gersten Pavilion, Los Angeles, California",GRAMBLING,Grambling,73.2,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Loyola Marymount,wcc,8,True,False,True,Home,True,13,17,47,29,51,3,19,54,1,0,46,167,419,0.5632458233890215,216,447,0.4832214765100672,65,105,409,0.4951100244498777,0.375
9,2019-12-13-22-loyola-marymount,50.0,13,8.6,3,105.3,66.7,18,0.527,55,0.473,26,0.455,25,0.72,18,7,200,101.3,32.1,9,26,76,,16.0,12,0.29100000000000004,16,0.375,6,49.1,27,0.568,20.5,17,39,0.513,20,0.3,3,"December 13, 2019",56.0,14,2.6,1,101.3,67.9,19,0.528,54,0.46299999999999997,25,0.537,29,0.759,22,5,200,105.3,33.3,9,20,79,,8.0,6,0.35200000000000004,19,0.368,7,50.9,28,0.583,19.3,16,35,0.514,18,0.5,5,"Albert Gersten Pavilion, Los Angeles, California",PRAIRIE-VIEW,Prairie View,74.8,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Loyola Marymount,wcc,9,True,False,True,Home,True,7,18,54,28,55,6,20,55,1,0,59,184,466,0.5847639484978541,245,498,0.4919678714859438,68,124,463,0.4881209503239741,0.4444444444444444
