,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MOUNT-ST-MARYS_homegame,MOUNT-ST-MARYS_homegame2,MOUNT-ST-MARYS_home,MOUNT-ST-MARYS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-19-georgetown,52.0,13,5.3,2,114.1,67.7,21,0.537,54,0.46299999999999997,25,0.29600000000000004,16,0.625,10,1,200,95.8,12.9,4,20,68,,9.9,7,0.389,21,0.381,8,40.3,25,0.552,18.7,14,33,0.515,17,0.0,0,"November 6, 2019",57.1,16,3.0,1,95.8,87.1,27,0.542,59,0.475,28,0.35600000000000004,21,0.81,17,0,200,114.1,32.3,10,14,81,,12.7,9,0.35600000000000004,21,0.381,8,59.7,37,0.5870000000000001,15.0,12,38,0.526,20,1.0,1,"Capital One Arena, Washington, District of Columbia",MOUNT-ST-MARYS,Mount St. Mary's,71.3,Home,GEORGETOWN,Georgetown,Mount St. Mary's,northeast,0,False,False,False,Away,False,8,17,54,25,62,8,20,59,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-19-mount-st-marys,56.5,13,0.0,0,104.2,63.3,19,0.43,64,0.359,23,0.078,5,0.6,3,0,200,80.6,24.4,10,22,58,,11.1,8,0.391,25,0.36,9,40.8,29,0.4370000000000001,19.5,16,39,0.359,14,0.0,0,"November 9, 2019",39.1,9,12.8,5,80.6,75.6,31,0.462,53,0.434,23,0.679,36,0.722,26,1,200,104.2,36.7,11,11,75,,15.3,11,0.358,19,0.158,3,59.2,42,0.535,15.9,13,34,0.588,20,0.5,1,"Knott Arena, Emmitsburg, Maryland","Gettysburg
			","Gettysburg
			",72.2,Home,MOUNT-ST-MARYS,Mount St. Mary's,Mount St. Mary's,northeast,1,True,False,True,Home,True,3,20,53,42,71,9,14,64,1,0,8,17,54,0.5370370370370371,25,62,0.4032258064516129,8,20,59,0.5423728813559322,0.0
2,2019-11-12-21-washington,43.8,7,2.9,1,86.2,65.5,19,0.355,55,0.29100000000000004,16,0.23600000000000002,13,0.5379999999999999,7,2,200,70.8,30.3,10,16,46,,9.2,6,0.4,22,0.318,7,46.8,29,0.376,18.7,14,33,0.273,9,0.33299999999999996,1,"November 12, 2019",72.7,16,33.3,11,70.8,69.7,23,0.462,53,0.415,22,0.264,14,0.5,7,0,200,86.2,34.5,10,14,56,20.0,10.8,7,0.34,18,0.278,5,53.2,33,0.469,20.2,15,35,0.486,17,1.0,2,"Alaska Airlines Arena, Seattle, Washington",MOUNT-ST-MARYS,Mount St. Mary's,64.9,Home,WASHINGTON,Washington,Mount St. Mary's,northeast,2,False,False,False,Away,False,7,9,55,29,62,5,17,53,0,1,11,37,107,0.5,67,133,0.5037593984962406,17,34,123,0.48373983739837395,0.5
3,2019-11-15-20-lamar,37.5,9,2.7,1,108.6,80.0,20,0.5,56,0.429,24,0.23199999999999998,13,0.385,5,3,200,87.1,29.0,9,20,61,,8.6,6,0.48200000000000004,27,0.29600000000000004,8,51.8,29,0.491,21.6,17,29,0.552,16,0.25,1,"November 15, 2019",58.6,17,13.8,4,87.1,71.0,22,0.591,55,0.527,29,0.327,18,0.611,11,1,200,108.6,20.0,5,17,76,,10.0,7,0.327,18,0.389,7,48.2,27,0.598,14.9,11,37,0.595,22,0.75,3,"Montagne Center, Beaumont, Texas",MOUNT-ST-MARYS,Mount St. Mary's,69.9,Home,LAMAR,Lamar,Mount St. Mary's,northeast,3,False,False,False,Away,False,8,16,56,29,56,7,22,55,0,1,18,46,162,0.4506172839506173,96,195,0.4923076923076923,22,51,176,0.4772727272727273,0.3333333333333333
4,2019-11-20-20-alabama-birmingham,50.0,11,9.1,4,92.1,60.0,21,0.46299999999999997,54,0.40700000000000003,22,0.019,1,1.0,1,4,200,81.0,20.7,6,15,51,,3.2,2,0.46299999999999997,25,0.24,6,42.2,27,0.46799999999999997,19.3,13,29,0.552,16,0.2,1,"November 20, 2019",47.6,10,13.8,4,81.0,79.3,23,0.377,61,0.344,21,0.23,14,0.857,12,1,200,92.1,40.0,14,10,58,,6.3,4,0.27899999999999997,17,0.235,4,57.8,37,0.429,13.0,10,44,0.386,17,0.75,3,"Bartow Arena, Birmingham, Alabama",MOUNT-ST-MARYS,Mount St. Mary's,62.6,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,Mount St. Mary's,northeast,4,False,False,False,Away,False,6,16,54,27,64,4,17,61,0,1,26,62,218,0.4633027522935779,125,251,0.4980079681274901,29,73,231,0.5043290043290043,0.25
5,2019-11-22-19-kentucky,36.4,8,5.0,2,117.1,77.8,21,0.402,61,0.361,22,0.295,18,0.722,13,5,200,88.6,25.0,9,18,62,,7.1,5,0.39299999999999996,24,0.20800000000000002,5,47.6,30,0.446,11.6,9,37,0.45899999999999996,17,0.16699999999999998,1,"November 22, 2019",70.0,21,8.1,3,88.6,75.0,27,0.6,55,0.545,30,0.327,18,0.889,16,1,200,117.1,22.2,6,14,82,9.0,5.7,4,0.273,15,0.4,6,52.4,33,0.645,16.0,12,40,0.6,24,0.8,4,"Rupp Arena, Lexington, Kentucky",MOUNT-ST-MARYS,Mount St. Mary's,69.6,Home,KENTUCKY,Kentucky,Mount St. Mary's,northeast,5,False,False,False,Away,False,5,17,61,30,63,6,24,55,0,1,32,78,272,0.4632352941176471,152,315,0.4825396825396826,33,90,292,0.4777397260273973,0.2
6,2019-11-26-19-mount-st-marys,40.9,9,12.8,6,90.1,69.2,27,0.413,63,0.349,22,0.19,12,0.75,9,4,200,85.9,21.1,8,17,61,,4.2,3,0.444,28,0.28600000000000003,8,45.5,35,0.444,13.9,11,35,0.4,14,0.5,4,"November 26, 2019",34.8,8,14.3,5,85.9,78.9,30,0.38299999999999995,64,0.359,23,0.281,18,0.833,15,5,200,90.1,30.8,12,16,64,,4.2,3,0.266,17,0.17600000000000002,3,54.5,42,0.441,12.2,10,47,0.426,20,0.28600000000000003,2,"Knott Arena, Emmitsburg, Maryland",UTAH-VALLEY,Utah Valley,71.1,Home,MOUNT-ST-MARYS,Mount St. Mary's,Mount St. Mary's,northeast,6,True,False,True,Home,True,3,20,64,42,77,8,14,63,1,0,37,95,333,0.4519519519519519,182,378,0.4814814814814815,39,114,347,0.4971181556195966,0.16666666666666666
7,2019-11-30-16-howard,65.4,17,0.0,0,80.0,90.3,28,0.462,66,0.39399999999999996,26,0.212,14,0.857,12,5,200,104.3,35.9,14,16,73,,5.7,4,0.439,29,0.31,9,60.0,42,0.502,14.3,12,37,0.45899999999999996,17,0.375,3,"November 30, 2019",50.0,10,5.4,2,104.3,64.1,25,0.48,51,0.392,20,0.255,13,0.5379999999999999,7,9,200,80.0,9.7,3,13,56,,5.7,4,0.392,20,0.45,9,40.0,28,0.49,22.0,16,31,0.355,11,0.0,0,"Burr Gymnasium, Washington, District of Columbia",HOWARD,Howard,70.4,Away,MOUNT-ST-MARYS,Mount St. Mary's,Mount St. Mary's,northeast,7,False,False,False,Away,True,9,17,66,42,70,9,11,51,1,0,40,115,397,0.4408060453400504,224,455,0.4923076923076923,47,128,410,0.4841463414634146,0.2857142857142857
8,2019-12-03-21-grand-canyon,50.0,11,8.3,3,104.2,81.5,22,0.44299999999999995,61,0.361,22,0.311,19,0.684,13,6,225,93.1,22.0,9,21,67,,8.3,6,0.525,32,0.313,10,45.6,31,0.478,14.7,12,29,0.414,12,0.33299999999999996,3,"December 3, 2019",34.6,9,6.9,2,93.1,78.0,32,0.528,54,0.48100000000000004,26,0.444,24,0.75,18,6,225,104.2,18.5,5,16,75,,9.7,7,0.33299999999999996,18,0.278,5,54.4,37,0.573,13.4,10,36,0.583,21,0.4,4,"Grand Canyon University Arena, Phoenix, Arizona",MOUNT-ST-MARYS,Mount St. Mary's,63.7,Home,GRAND-CANYON,Grand Canyon,Mount St. Mary's,northeast,8,False,False,False,Away,False,10,12,61,31,68,5,21,54,0,1,49,132,463,0.4438444924406048,266,525,0.5066666666666667,56,139,461,0.4837310195227766,0.375
9,2019-12-07-16-mount-st-marys,60.9,14,8.1,3,77.4,65.7,23,0.47200000000000003,54,0.426,23,0.33299999999999996,18,0.722,13,4,200,103.2,20.7,6,18,64,,8.1,5,0.259,14,0.35700000000000004,5,45.3,29,0.512,7.5,5,40,0.45,18,0.6,6,"December 7, 2019",27.8,5,10.0,4,103.2,79.3,23,0.35200000000000004,54,0.33299999999999996,18,0.29600000000000004,16,0.625,10,7,200,77.4,34.3,12,17,48,,3.2,2,0.315,17,0.11800000000000001,2,54.7,35,0.39,17.6,13,37,0.4320000000000001,16,0.3,3,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,62.1,Away,LOYOLA-MD,Loyola (MD),Mount St. Mary's,northeast,9,False,True,True,Home,False,2,16,54,35,64,5,18,54,0,1,59,144,524,0.4437022900763359,297,593,0.5008431703204047,61,160,515,0.4883495145631068,0.3333333333333333
