,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NICHOLLS-STATE_homegame,NICHOLLS-STATE_homegame2,NICHOLLS-STATE_home,NICHOLLS-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-illinois,48.1,13,9.5,4,95.1,46.9,15,0.47,66,0.409,27,0.136,9,0.889,8,1,225,85.4,8.3,3,29,70,,13.4,11,0.303,20,0.4,8,26.5,18,0.498,18.6,16,46,0.413,19,0.0,0,"November 5, 2019",44.4,12,4.3,2,85.4,91.7,33,0.484,61,0.44299999999999995,27,0.475,29,0.655,19,0,225,95.1,53.1,17,17,78,,7.3,6,0.311,19,0.263,5,73.5,50,0.522,23.0,22,42,0.524,22,1.0,1,"State Farm Center, Champaign, Illinois",NICHOLLS-STATE,Nicholls State,72.5,Home,ILLINOIS,Illinois,Nicholls State,southland,0,False,False,False,Away,False,8,19,66,18,68,5,22,61,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-12-pittsburgh,51.9,14,12.5,5,97.2,55.2,16,0.5,65,0.415,27,0.2,13,0.769,10,1,200,104.2,43.2,16,19,75,,15.3,11,0.369,24,0.45799999999999996,11,48.5,32,0.527,19.4,17,41,0.39,16,0.5,1,"November 9, 2019",42.9,12,19.5,8,104.2,56.8,21,0.536,56,0.5,28,0.321,18,0.556,10,1,200,97.2,44.8,13,12,70,,9.7,7,0.28600000000000003,16,0.25,4,51.5,34,0.542,23.8,20,40,0.6,24,0.5,1,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,71.9,Away,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,1,False,False,False,Away,True,11,16,65,32,66,4,24,56,1,0,8,19,66,0.4696969696969697,18,68,0.2647058823529412,5,22,61,0.4836065573770492,0.0
2,2019-11-13-20-nicholls-state,57.7,15,6.8,3,98.8,70.0,28,0.46799999999999997,63,0.413,26,0.20600000000000002,13,0.5379999999999999,7,0,200,80.5,18.4,7,17,66,,8.5,7,0.381,24,0.292,7,44.9,35,0.47700000000000004,21.7,19,39,0.48700000000000004,19,0.0,0,"November 13, 2019",46.7,14,7.7,3,80.5,81.6,31,0.466,73,0.41100000000000003,30,0.233,17,0.765,13,1,200,98.8,30.0,12,13,81,,17.1,14,0.397,29,0.276,8,55.1,43,0.5,13.9,13,44,0.5,22,0.667,2,"David Stopher Gymnasium, Thibodaux, Louisiana","Paul Quinn
			","Paul Quinn
			",81.6,Home,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,2,True,False,True,Home,True,8,22,73,43,78,7,19,63,1,0,19,35,131,0.4847328244274809,50,134,0.373134328358209,9,46,117,0.5085470085470085,0.5
3,2019-11-16-16-louisiana-state,50.0,12,5.3,2,97.4,53.1,17,0.452,62,0.387,24,0.177,11,0.818,9,2,200,84.4,25.6,10,20,65,,14.3,11,0.419,26,0.308,8,38.0,27,0.483,23.0,20,36,0.444,16,0.5,2,"November 16, 2019",42.9,12,13.9,5,84.4,74.4,29,0.527,56,0.5,28,0.41100000000000003,23,0.696,16,1,200,97.4,46.9,15,13,75,23.0,9.1,7,0.321,18,0.16699999999999998,3,62.0,44,0.56,26.6,24,38,0.6579999999999999,25,0.667,2,"Maravich Assembly Center, Baton Rouge, Louisiana",NICHOLLS-STATE,Nicholls State,76.6,Home,LOUISIANA-STATE,LSU,Nicholls State,southland,3,False,False,False,Away,False,8,16,62,27,71,3,25,56,0,1,27,57,204,0.4779411764705882,93,212,0.4386792452830189,16,65,180,0.4944444444444445,0.6666666666666666
4,2019-11-19-19-rhode-island,28.6,8,0.0,0,93.3,72.7,24,0.44799999999999995,67,0.418,28,0.10400000000000001,7,0.7140000000000001,5,3,200,86.7,28.1,9,20,65,,12.0,9,0.284,19,0.21100000000000002,4,50.8,33,0.462,17.6,15,48,0.5,24,0.4,2,"November 19, 2019",58.3,14,6.3,3,86.7,71.9,23,0.447,57,0.42100000000000004,24,0.40399999999999997,23,0.826,19,1,200,93.3,27.3,9,13,70,,12.0,9,0.281,16,0.188,3,49.2,32,0.515,18.3,15,41,0.512,21,0.75,3,"Ryan Center, Kingston, Rhode Island",NICHOLLS-STATE,Nicholls State,75.1,Home,RHODE-ISLAND,Rhode Island,Nicholls State,southland,4,False,False,False,Away,False,4,24,67,33,65,3,21,57,0,1,35,73,266,0.4718045112781955,120,283,0.4240282685512368,19,90,236,0.5021186440677966,0.5
5,2019-11-22-11-nicholls-state,55.0,11,10.8,4,76.1,70.0,28,0.525,40,0.5,20,0.825,33,0.727,24,4,200,93.0,40.9,9,22,66,,14.1,10,0.1,4,0.5,2,59.7,37,0.593,27.8,21,36,0.5,18,0.33299999999999996,2,"November 22, 2019",22.2,4,8.3,3,93.0,59.1,13,0.32799999999999996,61,0.295,18,0.32799999999999996,20,0.7,14,4,200,76.1,30.0,12,22,54,,12.7,9,0.39299999999999996,24,0.16699999999999998,4,40.3,25,0.38299999999999995,17.7,15,37,0.37799999999999995,14,0.33299999999999996,2,"Montego Bay Convention Centre, Montego Bay",NICHOLLS-STATE,Nicholls State,70.6,Away,NORTH-CAROLINA-AT,North Carolina A&T,Nicholls State,southland,5,False,True,True,Home,False,4,14,61,25,62,2,18,40,0,1,39,97,333,0.46696696696696705,153,348,0.4396551724137931,22,111,293,0.4914675767918089,0.4
6,2019-11-24-21-nicholls-state,57.7,15,0.0,0,113.9,79.2,19,0.485,65,0.4,26,0.262,17,0.529,9,3,200,100.0,35.1,13,21,72,,6.9,5,0.47700000000000004,31,0.355,11,52.5,32,0.493,14.2,12,34,0.441,15,0.5710000000000001,4,"November 24, 2019",38.5,10,11.8,4,100.0,64.9,24,0.59,50,0.52,26,0.6,30,0.767,23,4,200,113.9,20.8,5,16,82,,8.3,6,0.36,18,0.389,7,47.5,29,0.638,16.0,12,32,0.594,19,0.429,3,"Montego Bay Convention Centre, Montego Bay",MARYLAND-BALTIMORE-COUNTY,UMBC,71.7,Home,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,6,True,False,True,Home,True,7,19,50,29,61,11,15,65,1,0,43,111,394,0.4454314720812183,178,410,0.4341463414634146,24,129,333,0.4954954954954955,0.3333333333333333
7,2019-11-26-20-nicholls-state,52.9,9,0.0,0,125.9,58.8,20,0.413,46,0.37,17,0.522,24,0.75,18,0,200,69.1,16.7,5,17,56,,8.6,7,0.37,17,0.235,4,39.1,25,0.488,33.9,29,29,0.44799999999999995,13,0.0,0,"November 26, 2019",61.8,21,10.3,3,69.1,83.3,25,0.5770000000000001,71,0.479,34,0.33799999999999997,24,0.833,20,4,200,125.9,41.2,14,20,102,,17.3,14,0.535,38,0.368,14,60.9,39,0.619,13.7,13,33,0.606,20,0.5,4,"David Stopher Gymnasium, Thibodaux, Louisiana","Blue Mountain College
			","Blue Mountain College
			",81.4,Home,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,7,True,False,True,Home,True,14,20,71,39,64,4,13,46,1,0,50,130,444,0.4617117117117117,207,471,0.4394904458598726,35,144,398,0.4937185929648241,0.42857142857142855
8,2019-12-02-20-nicholls-state,57.1,12,2.0,1,134.8,59.5,25,0.40700000000000003,59,0.35600000000000004,21,0.4920000000000001,29,0.7240000000000001,21,0,200,77.5,13.2,5,15,69,,6.7,6,0.39,23,0.261,6,37.5,30,0.474,23.5,22,36,0.41700000000000004,15,0.0,0,"December 2, 2019",65.2,30,11.1,4,77.5,86.8,33,0.609,87,0.529,46,0.24100000000000002,21,0.667,14,4,200,134.8,40.5,17,19,120,,14.6,13,0.414,36,0.389,14,62.5,50,0.619,8.6,9,51,0.627,32,0.556,5,"David Stopher Gymnasium, Thibodaux, Louisiana","Campbellsville
			","Campbellsville
			",89.4,Home,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,8,True,False,True,Home,True,14,32,87,50,80,6,15,59,1,0,64,150,515,0.4776699029126214,246,535,0.4598130841121496,39,157,444,0.4853603603603603,0.5
9,2019-12-11-20-nicholls-state,62.5,10,1.6,1,143.9,45.0,18,0.27899999999999997,61,0.262,16,0.213,13,0.769,10,0,200,53.7,15.0,6,10,44,,6.1,5,0.311,19,0.105,2,30.0,24,0.32799999999999996,23.1,20,42,0.33299999999999996,14,0.0,0,"December 11, 2019",42.9,21,11.9,5,53.7,85.0,34,0.594,90,0.544,49,0.14400000000000002,13,0.846,11,4,200,143.9,55.0,22,13,118,,17.1,14,0.289,26,0.34600000000000003,9,70.0,56,0.613,8.6,9,64,0.625,40,0.6,6,"David Stopher Gymnasium, Thibodaux, Louisiana","Carver College
			","Carver College
			",82.2,Home,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,9,True,False,True,Home,True,9,40,90,56,80,2,14,61,1,0,78,182,602,0.4966777408637874,296,615,0.4813008130081301,45,172,503,0.4761431411530815,0.5555555555555556
