,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-DAKOTA-STATE_homegame,NORTH-DAKOTA-STATE_homegame2,NORTH-DAKOTA-STATE_home,NORTH-DAKOTA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-kansas-state,66.7,10,2.5,1,104.7,81.1,30,0.365,52,0.28800000000000003,15,0.48100000000000004,25,0.64,16,1,199,84.4,20.5,8,18,54,,6.3,4,0.5770000000000001,30,0.267,8,50.0,38,0.423,8.7,6,22,0.318,7,0.0,0,"November 5, 2019",53.8,14,18.2,4,84.4,79.5,31,0.475,61,0.426,26,0.23,14,0.643,9,0,199,104.7,18.9,7,16,67,,7.8,5,0.344,21,0.28600000000000003,6,50.0,38,0.495,8.2,6,40,0.5,20,1.0,1,"Bramlage Coliseum, Manhattan, Kansas",NORTH-DAKOTA-STATE,North Dakota State,64.6,Home,KANSAS-STATE,Kansas State,North Dakota State,summit,0,False,False,False,Away,False,8,7,52,38,76,6,20,61,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-07-20-north-dakota-state,40.9,9,4.3,2,131.0,56.3,18,0.455,56,0.39299999999999996,22,0.08900000000000001,5,0.4,2,0,200,74.6,15.2,5,15,53,,4.2,3,0.33899999999999997,19,0.368,7,35.4,23,0.45399999999999996,22.6,17,37,0.405,15,0.0,0,"November 7, 2019",58.3,21,13.5,5,74.6,84.8,28,0.58,69,0.522,36,0.23199999999999998,16,0.813,13,1,200,131.0,43.8,14,6,93,,9.9,7,0.33299999999999996,23,0.348,8,64.6,42,0.607,10.6,9,46,0.609,28,0.5,1,"Scheels Center, Fargo, North Dakota","Mayville State
			","Mayville State
			",71.0,Home,NORTH-DAKOTA-STATE,North Dakota State,North Dakota State,summit,1,True,False,True,Home,True,8,28,69,42,65,7,15,56,1,0,8,7,52,0.36538461538461536,38,76,0.5,6,20,61,0.4754098360655738,0.0
2,2019-11-11-14-north-dakota-state,33.3,9,0.0,0,113.8,78.6,22,0.5870000000000001,52,0.519,27,0.212,11,0.545,6,2,200,103.1,11.5,3,22,67,,7.7,5,0.26899999999999996,14,0.5,7,46.3,25,0.585,15.0,10,38,0.526,20,0.0,0,"November 11, 2019",36.4,8,0.0,0,103.1,88.5,23,0.51,48,0.45799999999999996,22,0.6459999999999999,31,0.8059999999999999,25,1,200,113.8,21.4,6,16,74,,6.2,4,0.41700000000000004,20,0.25,5,53.7,29,0.59,12.7,9,28,0.607,17,0.667,2,"Scheels Center, Fargo, North Dakota",CAL-POLY,Cal Poly,65.0,Home,NORTH-DAKOTA-STATE,North Dakota State,North Dakota State,summit,2,True,False,True,Home,True,5,17,48,29,54,7,20,52,1,0,16,35,121,0.487603305785124,80,141,0.5673758865248227,13,35,117,0.4658119658119658,0.5
3,2019-11-15-18-texas-pan-american,73.9,17,2.3,1,97.2,91.2,31,0.518,56,0.41100000000000003,23,0.41100000000000003,23,0.7829999999999999,18,1,200,105.6,25.7,9,16,76,,4.2,3,0.518,29,0.414,12,58.0,40,0.568,17.5,14,27,0.40700000000000003,11,0.75,3,"November 15, 2019",51.7,15,22.2,6,105.6,74.3,26,0.5329999999999999,60,0.483,29,0.233,14,0.429,6,2,200,97.2,8.8,3,22,70,,8.3,6,0.267,16,0.375,6,42.0,29,0.525,12.0,9,44,0.523,23,0.33299999999999996,1,"American Bank Center, Corpus Christi, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,72.3,Away,NORTH-DAKOTA-STATE,North Dakota State,North Dakota State,summit,3,False,False,False,Away,True,12,11,56,40,69,6,23,60,1,0,21,52,169,0.4940828402366864,109,195,0.558974358974359,20,55,169,0.5029585798816568,0.6666666666666666
4,2019-11-16-19-texas-am-corpus-christi,60.0,12,7.1,2,77.6,72.7,24,0.47100000000000003,51,0.392,20,0.196,10,0.9,9,1,200,98.3,19.2,5,10,57,,10.3,6,0.51,26,0.308,8,49.2,29,0.511,12.6,8,25,0.48,12,0.8,4,"November 16, 2019",56.3,9,4.0,1,98.3,80.8,21,0.41700000000000004,48,0.33299999999999996,16,0.16699999999999998,8,0.625,5,4,200,77.6,27.3,9,11,45,,3.4,2,0.41700000000000004,20,0.4,8,50.8,30,0.434,22.5,15,28,0.28600000000000003,8,0.0,0,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,58.3,Away,NORTH-DAKOTA-STATE,North Dakota State,North Dakota State,summit,4,False,False,False,Away,True,8,12,51,29,59,8,8,48,1,0,33,63,225,0.5,149,264,0.5643939393939394,26,78,229,0.5109170305676856,0.75
5,2019-11-17-14-north-dakota-state,40.9,9,11.8,4,83.8,78.9,30,0.491,54,0.40700000000000003,22,0.204,11,1.0,11,2,200,94.1,13.8,4,14,64,,1.5,1,0.389,21,0.429,9,50.7,34,0.54,16.9,12,33,0.39399999999999996,13,0.667,4,"November 17, 2019",45.5,10,12.1,4,94.1,86.2,25,0.406,64,0.344,22,0.141,9,0.556,5,2,200,83.8,21.1,8,16,57,,8.8,6,0.469,30,0.267,8,49.3,33,0.41700000000000004,11.7,9,34,0.41200000000000003,14,0.667,4,"American Bank Center, Corpus Christi, Texas",NORTH-DAKOTA-STATE,North Dakota State,68.3,Away,STONY-BROOK,Stony Brook,North Dakota State,summit,5,False,True,True,Home,False,8,14,64,33,67,9,13,54,0,1,41,75,276,0.4945652173913043,178,323,0.5510835913312694,34,86,277,0.4945848375451263,0.8
6,2019-11-23-18-north-dakota-state,14.3,4,3.3,1,89.9,83.3,30,0.526,57,0.491,28,0.14,8,1.0,8,3,200,98.6,7.1,2,15,68,,10.1,7,0.228,13,0.308,4,50.0,32,0.5589999999999999,12.9,9,44,0.545,24,0.5710000000000001,4,"November 23, 2019",34.8,8,4.5,2,98.6,92.9,26,0.44799999999999995,58,0.397,23,0.293,17,0.588,10,3,200,89.9,16.7,6,15,62,,5.8,4,0.483,28,0.214,6,50.0,32,0.469,13.2,10,30,0.5670000000000001,17,0.5710000000000001,4,"Scheels Center, Fargo, North Dakota",NORTH-DAKOTA-STATE,North Dakota State,68.9,Away,UTAH-VALLEY,Utah Valley,North Dakota State,summit,6,False,True,True,Home,False,6,17,58,32,64,4,24,57,0,1,49,89,340,0.4779411764705882,211,390,0.541025641025641,43,99,331,0.4939577039274925,0.6666666666666666
7,2019-11-26-22-idaho,66.7,16,5.1,2,79.1,84.4,27,0.525,59,0.40700000000000003,24,0.203,12,0.667,8,3,200,104.5,27.3,9,15,70,,10.4,7,0.644,38,0.368,14,55.4,36,0.541,13.5,10,21,0.47600000000000003,10,0.625,5,"November 26, 2019",42.1,8,14.3,3,104.5,72.7,24,0.396,53,0.358,19,0.264,14,0.7859999999999999,11,4,200,79.1,15.6,5,13,53,,9.0,6,0.264,14,0.28600000000000003,4,44.6,29,0.444,18.0,13,39,0.385,15,0.429,3,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,66.7,Away,NORTH-DAKOTA-STATE,North Dakota State,North Dakota State,summit,7,False,False,False,Away,True,14,10,59,36,65,4,15,53,1,0,55,106,398,0.4736180904522613,243,454,0.5352422907488987,47,123,388,0.4987113402061856,0.5714285714285714
8,2019-12-03-17-indiana-state,65.0,13,4.8,2,107.6,84.8,28,0.446,56,0.35700000000000004,20,0.25,14,0.7140000000000001,10,4,200,90.9,13.9,5,18,60,,1.5,1,0.589,33,0.303,10,47.8,33,0.479,12.6,9,23,0.435,10,0.556,5,"December 3, 2019",37.0,10,8.7,2,90.9,86.1,31,0.5,59,0.45799999999999996,27,0.271,16,0.75,12,4,200,107.6,15.2,5,15,71,,12.1,8,0.28800000000000003,17,0.294,5,52.2,36,0.5329999999999999,5.7,4,42,0.524,22,0.5,4,"Hulman Center, Terre Haute, Indiana",NORTH-DAKOTA-STATE,North Dakota State,66.1,Home,INDIANA-STATE,Indiana State,North Dakota State,summit,8,False,False,False,Away,False,10,10,56,33,69,5,22,59,0,1,69,116,457,0.4803063457330416,279,519,0.5375722543352601,51,138,441,0.4863945578231293,0.625
9,2019-12-07-20-north-dakota-state,37.5,9,3.7,1,116.4,69.2,18,0.529,51,0.47100000000000003,24,0.33299999999999996,17,0.8240000000000001,14,2,200,101.5,26.9,7,25,68,,11.9,8,0.353,18,0.33299999999999996,6,48.1,25,0.5760000000000001,20.4,15,33,0.545,18,0.8,8,"December 7, 2019",50.0,11,0.0,0,101.5,73.1,19,0.542,48,0.45799999999999996,22,0.625,30,0.867,26,4,200,116.4,30.8,8,19,78,,13.4,9,0.43799999999999994,21,0.381,8,51.9,27,0.627,17.5,13,27,0.519,14,0.6,6,"Scheels Center, Fargo, North Dakota",EAST-TENNESSEE-STATE,ETSU,67.2,Home,NORTH-DAKOTA-STATE,North Dakota State,North Dakota State,summit,9,True,False,True,Home,True,8,14,48,27,52,6,18,51,1,0,79,126,513,0.4766081871345029,312,588,0.5306122448979592,56,160,500,0.488,0.5555555555555556
