,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTHERN-IOWA_homegame,NORTHERN-IOWA_homegame2,NORTHERN-IOWA_home,NORTHERN-IOWA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-northern-iowa,23.8,5,4.2,1,82.9,75.6,31,0.381,59,0.35600000000000004,21,0.254,15,0.5329999999999999,8,1,200,75.7,27.0,10,24,53,,17.1,12,0.203,12,0.25,3,52.6,41,0.401,17.6,14,47,0.38299999999999995,18,0.0,0,"November 5, 2019",47.4,9,6.4,3,75.7,73.0,27,0.4,55,0.345,19,0.436,24,0.583,14,0,200,82.9,24.4,10,14,58,,5.7,4,0.564,31,0.19399999999999998,6,47.4,37,0.4370000000000001,17.6,14,24,0.542,13,1.0,1,"McLeod Center, Cedar Falls, Iowa",OLD-DOMINION,Old Dominion,70.3,Home,NORTHERN-IOWA,Northern Iowa,Northern Iowa,mvc,0,True,False,True,Home,True,6,13,55,37,78,3,18,59,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-16-northern-illinois,48.0,12,5.0,2,85.7,68.4,26,0.484,61,0.41,25,0.131,8,0.625,5,0,200,101.6,24.2,8,13,64,,1.6,1,0.44299999999999995,27,0.33299999999999996,9,47.9,34,0.494,9.8,7,34,0.47100000000000003,16,1.0,2,"November 9, 2019",18.2,4,14.7,5,101.6,75.8,25,0.397,63,0.349,22,0.111,7,0.5710000000000001,4,1,200,85.7,31.6,12,15,54,,9.5,6,0.365,23,0.261,6,52.1,37,0.40700000000000003,10.8,8,40,0.4,16,0.0,0,"Convocation Center, DeKalb, Illinois",NORTHERN-ILLINOIS,Northern Illinois,63.1,Away,NORTHERN-IOWA,Northern Iowa,Northern Iowa,mvc,1,False,False,False,Away,True,9,16,61,34,71,6,16,63,1,0,6,13,55,0.4,37,78,0.4743589743589744,3,18,59,0.3813559322033898,1.0
2,2019-11-13-20-northern-iowa,26.1,6,18.8,3,108.1,78.6,22,0.47100000000000003,52,0.442,23,0.17300000000000001,9,0.667,6,2,200,88.7,27.6,8,19,55,,4.8,3,0.25,13,0.231,3,52.6,30,0.489,20.0,14,39,0.513,20,0.33299999999999996,1,"November 13, 2019",45.5,10,0.0,0,88.7,72.4,21,0.56,50,0.44,22,0.28,14,0.7859999999999999,11,0,200,108.1,21.4,6,13,67,,6.5,4,0.68,34,0.353,12,47.4,27,0.591,16.4,11,16,0.625,10,1.0,3,"McLeod Center, Cedar Falls, Iowa",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,62.0,Home,NORTHERN-IOWA,Northern Iowa,Northern Iowa,mvc,2,True,False,True,Home,True,12,10,50,27,57,3,20,52,1,0,15,29,116,0.44396551724137934,71,149,0.4765100671140939,9,34,122,0.389344262295082,1.0
3,2019-11-16-13-northern-iowa,33.3,9,0.0,0,98.7,83.8,31,0.525,60,0.45,27,0.25,15,0.6,9,2,225,92.3,16.1,5,12,72,,9.0,7,0.4,24,0.375,9,52.9,36,0.536,20.3,17,36,0.5,18,0.5,2,"November 16, 2019",20.0,6,0.0,0,92.3,83.9,26,0.516,63,0.47600000000000003,30,0.27,17,0.706,12,0,225,98.7,16.2,6,14,77,,7.7,6,0.23800000000000002,15,0.33299999999999996,5,47.1,32,0.542,14.5,12,48,0.521,25,1.0,4,"McLeod Center, Cedar Falls, Iowa",NORTHERN-COLORADO,Northern Colorado,69.4,Home,NORTHERN-IOWA,Northern Iowa,Northern Iowa,mvc,3,True,False,True,Home,True,5,25,63,32,68,9,18,60,1,0,27,39,166,0.4789156626506024,98,206,0.4757281553398058,12,54,174,0.4137931034482759,1.0
4,2019-11-19-20-northern-iowa,27.3,6,0.0,0,140.3,63.6,14,0.5,53,0.415,22,0.321,17,0.8240000000000001,14,3,200,108.1,32.1,9,14,67,,9.7,6,0.47200000000000003,25,0.36,9,46.0,23,0.5489999999999999,13.0,9,28,0.46399999999999997,13,0.4,2,"November 19, 2019",62.5,20,3.6,1,108.1,67.9,19,0.741,54,0.593,32,0.16699999999999998,9,0.778,7,0,200,140.3,36.4,8,12,87,,4.8,3,0.63,34,0.47100000000000003,16,54.0,27,0.746,17.2,12,20,0.8,16,1.0,5,"McLeod Center, Cedar Falls, Iowa",TENNESSEE-MARTIN,UT-Martin,61.7,Home,NORTHERN-IOWA,Northern Iowa,Northern Iowa,mvc,4,True,False,True,Home,True,16,16,54,27,50,9,13,53,1,0,32,64,229,0.4890829694323144,130,274,0.4744525547445255,21,72,234,0.4423076923076923,1.0
5,2019-11-20-20-northern-iowa,38.5,10,2.0,1,125.7,64.7,22,0.462,66,0.39399999999999996,26,0.091,6,0.833,5,0,200,94.3,16.7,6,9,66,,2.9,2,0.47,31,0.29,9,40.0,28,0.479,9.3,7,35,0.486,17,0.0,0,"November 20, 2019",32.4,12,5.7,2,94.3,83.3,30,0.555,73,0.507,37,0.12300000000000001,9,0.778,7,0,200,125.7,35.3,12,11,88,,8.6,6,0.315,23,0.304,7,60.0,42,0.569,6.1,5,50,0.6,30,1.0,6,"McLeod Center, Cedar Falls, Iowa","Cornell (IA)
			","Cornell (IA)
			",70.1,Home,NORTHERN-IOWA,Northern Iowa,Northern Iowa,mvc,5,True,False,True,Home,True,7,30,73,42,70,9,17,66,1,0,48,80,283,0.5371024734982333,157,324,0.4845679012345679,30,85,287,0.4529616724738676,1.0
6,2019-11-26-20-west-virginia,31.8,7,10.8,4,87.0,73.7,28,0.4270000000000001,55,0.4,22,0.218,12,0.667,8,1,200,79.7,29.4,10,26,55,,5.8,4,0.364,20,0.15,3,52.8,38,0.45299999999999996,22.0,17,35,0.5429999999999999,19,0.857,6,"November 26, 2019",50.0,10,8.6,3,79.7,70.6,24,0.40700000000000003,54,0.37,20,0.46299999999999997,25,0.64,16,0,200,87.0,26.3,10,17,60,,13.0,9,0.315,17,0.235,4,47.2,34,0.455,18.8,15,37,0.4320000000000001,16,1.0,5,"Hard Rock Hotel Riviera Maya, Cancun",NORTHERN-IOWA,Northern Iowa,69.3,Home,WEST-VIRGINIA,West Virginia,Northern Iowa,mvc,6,False,False,False,Away,False,3,19,55,38,72,4,16,54,0,1,55,110,356,0.5407303370786517,199,394,0.5050761421319797,39,102,353,0.4546742209631728,1.0
7,2019-11-27-18-northern-iowa,43.3,13,12.9,4,111.4,80.0,20,0.5579999999999999,60,0.5,30,0.183,11,0.455,5,3,200,102.9,20.0,5,21,72,,10.0,7,0.317,19,0.368,7,50.0,25,0.552,12.2,9,41,0.561,23,0.5710000000000001,4,"November 27, 2019",36.0,9,0.0,0,102.9,80.0,20,0.569,51,0.49,25,0.47100000000000003,24,0.833,20,1,200,111.4,20.0,5,12,78,,4.3,3,0.392,20,0.4,8,50.0,25,0.625,18.5,14,31,0.5479999999999999,17,0.875,7,"Hard Rock Hotel Riviera Maya, Cancun",SOUTH-CAROLINA,South Carolina,70.3,Home,NORTHERN-IOWA,Northern Iowa,Northern Iowa,mvc,7,True,False,True,Home,True,8,17,51,25,50,7,23,60,1,0,58,129,411,0.5255474452554745,237,466,0.5085836909871244,43,118,407,0.4484029484029484,0.8571428571428571
8,2019-12-02-19-northern-iowa,55.0,11,6.5,2,161.8,48.1,13,0.397,63,0.317,20,0.032,2,0.5,1,0,200,75.0,10.3,4,9,51,,8.8,6,0.524,33,0.303,10,25.8,17,0.39899999999999997,13.5,10,30,0.33299999999999996,10,0.0,0,"December 2, 2019",42.9,18,6.7,2,75.0,89.7,35,0.746,69,0.609,42,0.11599999999999999,8,0.875,7,1,200,161.8,51.9,14,6,110,,4.4,3,0.551,38,0.5,19,74.2,49,0.755,9.9,8,31,0.742,23,0.889,8,"McLeod Center, Cedar Falls, Iowa","Luther
			","Luther
			",68.4,Home,NORTHERN-IOWA,Northern Iowa,Northern Iowa,mvc,8,True,False,True,Home,True,19,23,69,49,66,10,10,63,1,0,66,146,462,0.5303030303030303,262,516,0.5077519379844961,50,141,467,0.4625267665952891,0.875
9,2019-12-10-21-colorado,70.4,19,9.1,3,111.8,71.4,15,0.586,58,0.466,27,0.24100000000000002,14,0.7859999999999999,11,1,200,116.2,46.7,14,19,79,,11.8,8,0.44799999999999995,26,0.5379999999999999,14,56.9,29,0.611,20.0,16,32,0.406,13,0.9,9,"December 10, 2019",52.0,13,3.1,1,116.2,53.3,16,0.5660000000000001,53,0.47200000000000003,25,0.34,18,0.889,16,2,200,111.8,28.6,6,14,76,24.0,17.6,12,0.377,20,0.5,10,43.1,22,0.617,18.7,14,33,0.455,15,0.778,7,"Coors Events/Conference Center, Boulder, Colorado",COLORADO,Colorado,68.1,Away,NORTHERN-IOWA,Northern Iowa,Northern Iowa,mvc,9,False,False,False,Away,True,14,13,58,29,51,10,15,53,1,0,85,169,531,0.5583804143126178,311,582,0.5343642611683849,60,151,530,0.4547169811320755,0.8888888888888888
10,2019-12-12-21-grand-canyon,50.0,13,2.6,1,86.6,86.5,32,0.643,49,0.531,26,0.408,20,0.95,19,1,200,122.4,28.6,6,13,82,,4.5,3,0.551,27,0.40700000000000003,11,65.5,38,0.701,20.6,15,22,0.682,15,0.909,10,"December 12, 2019",39.1,9,13.6,3,122.4,71.4,15,0.40299999999999997,62,0.371,23,0.177,11,0.727,8,8,200,86.6,13.5,5,14,58,,11.9,8,0.387,24,0.16699999999999998,4,34.5,20,0.431,7.0,5,38,0.5,19,0.33299999999999996,4,"Grand Canyon University Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,67.4,Away,NORTHERN-IOWA,Northern Iowa,Northern Iowa,mvc,10,False,False,False,Away,True,11,15,49,38,58,4,19,62,1,0,99,182,589,0.5611205432937182,340,633,0.5371248025276462,70,166,583,0.4648370497427101,0.9
