,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTHWESTERN-STATE_homegame,NORTHWESTERN-STATE_homegame2,NORTHWESTERN-STATE_home,NORTHWESTERN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-18-northwestern-state,39.1,9,0.0,0,103.7,68.0,17,0.415,65,0.354,23,0.046,3,1.0,3,0,200,70.4,20.5,8,13,57,,9.9,8,0.523,34,0.235,8,39.1,25,0.429,25.8,23,31,0.484,15,0.0,0,"November 5, 2019",61.3,19,9.7,3,70.4,79.5,31,0.629,58,0.534,31,0.22399999999999998,13,0.846,11,0,200,103.7,32.0,8,11,84,,9.9,8,0.379,22,0.5,11,60.9,39,0.654,27.4,24,36,0.556,20,1.0,1,"Prather Coliseum, Natchitoches, Louisiana","Centenary (LA)
			","Centenary (LA)
			",80.8,Home,NORTHWESTERN-STATE,Northwestern State,Northwestern State,southland,0,True,False,True,Home,True,11,20,58,39,64,8,15,65,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-06-20-texas-am,56.0,14,2.9,1,110.0,70.4,19,0.40399999999999997,73,0.342,25,0.096,7,0.5710000000000001,4,1,200,90.0,37.5,18,23,63,,7.1,5,0.521,38,0.237,9,49.3,37,0.413,14.6,13,35,0.457,16,0.5,1,"November 6, 2019",53.6,15,11.4,4,90.0,62.5,30,0.6,50,0.56,28,0.56,28,0.607,17,0,200,110.0,29.6,8,11,77,,5.7,4,0.3,15,0.267,4,50.7,38,0.608,18.3,14,35,0.6859999999999999,24,1.0,1,"Reed Arena, College Station, Texas",NORTHWESTERN-STATE,Northwestern State,70.3,Home,TEXAS-AM,Texas A&M,Northwestern State,southland,1,False,False,False,Away,False,9,16,73,37,75,4,24,50,0,1,11,20,58,0.6293103448275862,39,64,0.609375,8,15,65,0.4153846153846154,1.0
2,2019-11-12-19-northwestern-state,75.0,18,14.7,5,97.4,89.7,26,0.517,60,0.4,24,0.4,24,0.75,18,1,200,105.3,21.6,8,21,80,,13.2,10,0.583,35,0.4,14,51.5,34,0.56,14.5,12,25,0.4,10,0.75,3,"November 12, 2019",30.4,7,12.0,3,105.3,78.4,29,0.5,54,0.426,23,0.444,24,0.833,20,2,200,97.4,10.3,3,22,74,,6.6,5,0.37,20,0.4,8,48.5,32,0.5660000000000001,17.8,14,34,0.441,15,0.33299999999999996,1,"Prather Coliseum, Natchitoches, Louisiana",NORTHWESTERN-STATE,Northwestern State,75.9,Away,RICE,Rice,Northwestern State,southland,2,False,True,True,Home,False,8,15,54,32,66,14,10,60,0,1,20,36,131,0.5038167938931297,76,139,0.5467625899280576,12,39,115,0.4956521739130435,0.5
3,2019-11-16-14-tulane,50.0,10,2.8,1,98.8,74.2,23,0.42100000000000004,57,0.35100000000000003,20,0.193,11,0.364,4,3,200,65.0,9.7,3,24,52,,6.3,5,0.544,31,0.258,8,41.9,26,0.418,25.4,21,26,0.462,12,0.25,1,"November 16, 2019",78.3,18,7.7,2,65.0,90.3,28,0.491,56,0.41100000000000003,23,0.625,35,0.6859999999999999,24,0,200,98.8,25.8,8,11,79,,17.5,14,0.35700000000000004,20,0.45,9,58.1,36,0.544,17.4,15,36,0.389,14,1.0,3,"Devlin Fieldhouse, New Orleans, Louisiana",NORTHWESTERN-STATE,Northwestern State,79.9,Home,TULANE,Tulane,Northwestern State,southland,3,False,False,False,Away,False,8,12,57,26,62,9,14,56,0,1,28,51,185,0.5027027027027027,108,205,0.526829268292683,26,49,175,0.5028571428571429,0.3333333333333333
4,2019-11-19-19-northwestern-state,44.4,8,2.4,1,93.1,70.4,19,0.396,53,0.34,18,0.47200000000000003,25,0.72,18,0,200,83.3,29.4,10,17,60,,9.7,7,0.34,18,0.33299999999999996,6,47.5,29,0.462,21.0,17,35,0.34299999999999997,12,0.0,0,"November 19, 2019",40.7,11,34.3,12,83.3,70.6,24,0.5,58,0.466,27,0.19,11,0.818,9,3,200,93.1,29.6,8,21,67,,9.7,7,0.293,17,0.235,4,52.5,32,0.53,21.3,17,41,0.561,23,0.4,2,"Prather Coliseum, Natchitoches, Louisiana","Louisiana College
			","Louisiana College
			",72.1,Home,NORTHWESTERN-STATE,Northwestern State,Northwestern State,southland,4,True,False,True,Home,True,4,23,58,32,61,6,12,53,1,0,36,63,242,0.4834710743801653,134,267,0.50187265917603,35,63,231,0.5,0.25
5,2019-11-26-20-louisiana-monroe,48.0,12,10.8,4,111.6,78.1,25,0.429,63,0.397,25,0.349,22,0.682,15,4,200,100.0,33.3,13,18,69,,4.3,3,0.317,20,0.2,4,53.5,38,0.47,8.8,7,43,0.488,21,0.33299999999999996,2,"November 26, 2019",64.0,16,14.0,6,100.0,66.7,26,0.484,61,0.41,25,0.361,22,0.818,18,2,200,111.6,21.9,7,20,77,,7.2,5,0.39299999999999996,24,0.375,9,46.5,33,0.539,9.0,7,37,0.4320000000000001,16,0.6,3,"Fant-Ewing Coliseum, Monroe, Louisiana",NORTHWESTERN-STATE,Northwestern State,69.5,Home,LOUISIANA-MONROE,Louisiana-Monroe,Northwestern State,southland,5,False,False,False,Away,False,4,21,63,38,71,9,16,61,0,1,40,86,300,0.4866666666666667,166,328,0.5060975609756098,41,75,284,0.4806338028169014,0.4
6,2019-12-03-20-southern-methodist,65.0,13,9.5,4,108.5,58.1,18,0.381,59,0.33899999999999997,20,0.18600000000000005,11,0.545,6,5,200,71.8,18.4,7,22,51,,7.0,5,0.373,22,0.22699999999999998,5,36.2,25,0.397,18.0,14,37,0.405,15,0.28600000000000003,2,"December 3, 2019",69.2,18,5.4,2,71.8,81.6,31,0.467,61,0.426,26,0.39299999999999996,24,0.833,20,0,200,108.5,41.9,13,12,77,,14.1,10,0.311,19,0.263,5,63.8,44,0.532,14.4,12,42,0.5,21,1.0,8,"Moody Coliseum, Dallas, Texas",NORTHWESTERN-STATE,Northwestern State,71.3,Home,SOUTHERN-METHODIST,SMU,Northwestern State,southland,6,False,False,False,Away,False,5,15,59,25,69,5,21,61,0,1,44,107,363,0.4765840220385675,204,399,0.5112781954887218,50,91,345,0.4811594202898551,0.3333333333333333
7,2019-12-08-16-louisiana-state,39.1,9,4.3,2,141.6,46.9,15,0.44299999999999995,61,0.377,23,0.098,6,0.833,5,6,200,76.6,21.6,8,18,59,,6.5,5,0.41,25,0.32,8,33.3,23,0.462,24.8,21,36,0.41700000000000004,15,0.25,2,"December 8, 2019",35.0,14,8.3,3,76.6,78.4,29,0.625,72,0.556,40,0.33299999999999996,24,0.792,19,2,200,141.6,53.1,17,11,109,,14.3,11,0.361,26,0.385,10,66.7,46,0.653,10.8,10,46,0.652,30,0.778,7,"Maravich Assembly Center, Baton Rouge, Louisiana",NORTHWESTERN-STATE,Northwestern State,76.6,Home,LOUISIANA-STATE,LSU,Northwestern State,southland,7,False,False,False,Away,False,8,15,61,23,69,10,30,72,0,1,49,122,422,0.4632701421800948,229,468,0.4893162393162393,55,112,406,0.479064039408867,0.2857142857142857
8,2019-12-18-19-sam-houston-state,42.3,11,2.6,1,119.5,65.7,23,0.557,53,0.491,26,0.547,29,0.69,20,7,200,102.6,25.8,8,19,79,,10.4,8,0.47200000000000003,25,0.28,7,47.0,31,0.5920000000000001,22.4,19,28,0.679,19,0.222,2,"December 18, 2019",69.0,20,3.6,1,102.6,74.2,23,0.5379999999999999,65,0.446,29,0.369,24,0.917,22,4,200,119.5,34.3,12,22,92,,9.1,7,0.415,27,0.444,12,53.0,35,0.602,13.7,12,38,0.447,17,0.636,7,"Johnson Coliseum, Huntsville, Texas",NORTHWESTERN-STATE,Northwestern State,77.1,Home,SAM-HOUSTON-STATE,Sam Houston State,Northwestern State,southland,8,False,False,False,Away,False,7,19,53,31,66,12,17,65,0,1,57,137,483,0.4606625258799172,252,537,0.4692737430167598,65,142,478,0.5010460251046025,0.25
9,2019-12-21-16-northwestern-state,47.6,10,10.7,3,97.1,69.2,18,0.426,54,0.389,21,0.426,23,0.652,15,6,200,88.4,26.7,8,17,61,,20.3,14,0.278,15,0.267,4,46.4,26,0.47,17.9,14,39,0.436,17,0.5379999999999999,7,"December 21, 2019",60.9,14,20.5,8,88.4,73.3,22,0.539,51,0.451,23,0.373,19,0.632,12,7,200,97.1,30.8,8,19,67,,13.0,9,0.451,23,0.391,9,53.6,30,0.5579999999999999,20.2,15,28,0.5,14,0.3,3,"Prather Coliseum, Natchitoches, Louisiana",LAMAR,Lamar,69.0,Home,NORTHWESTERN-STATE,Northwestern State,Northwestern State,southland,9,True,False,True,Home,True,9,14,51,30,56,4,17,54,1,0,64,156,536,0.4701492537313433,283,603,0.4693200663349917,77,159,543,0.505524861878453,0.2222222222222222
