,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,IPFW_homegame,IPFW_homegame2,IPFW_home,IPFW_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-22-nevada-las-vegas,42.9,12,11.4,4,117.8,64.0,16,0.534,58,0.483,28,0.22399999999999998,13,0.6920000000000001,9,1,200,97.3,6.3,2,21,71,,13.7,10,0.379,22,0.273,6,31.6,18,0.5529999999999999,14.7,11,36,0.611,22,0.0,0,"November 5, 2019",60.7,17,11.1,4,97.3,93.8,30,0.583,54,0.519,28,0.519,28,0.821,23,0,200,117.8,36.0,9,16,86,,4.1,3,0.35200000000000004,19,0.368,7,68.4,39,0.639,17.4,14,35,0.6,21,1.0,1,"Thomas & Mack Center, Las Vegas, Nevada",IPFW,Purdue-Fort Wayne,72.7,Home,NEVADA-LAS-VEGAS,UNLV,Purdue-Fort Wayne,summit,0,False,False,False,Away,False,6,22,58,18,57,7,21,54,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-07-19-ipfw,59.3,16,0.0,0,108.3,69.0,20,0.5660000000000001,61,0.44299999999999995,27,0.24600000000000002,15,0.733,11,0,200,95.2,8.3,3,18,80,,10.7,9,0.672,41,0.366,15,35.4,23,0.5870000000000001,21.9,19,20,0.6,12,0.0,0,"November 7, 2019",38.2,13,0.0,0,95.2,91.7,33,0.583,66,0.515,34,0.273,18,0.778,14,1,200,108.3,31.0,9,15,91,,15.5,13,0.424,28,0.321,9,64.6,42,0.61,20.4,19,38,0.6579999999999999,25,0.5,1,"Allen County War Memorial Coliseum, Fort Wayne, Indiana","Manchester
			","Manchester
			",84.3,Home,IPFW,Purdue-Fort Wayne,Purdue-Fort Wayne,summit,1,True,False,True,Home,True,9,25,66,42,65,15,12,61,1,0,6,22,58,0.5344827586206896,18,57,0.3157894736842105,7,21,54,0.5833333333333334,0.0
2,2019-11-10-17-southeast-missouri-state,57.7,15,0.0,0,105.3,81.3,26,0.484,64,0.406,26,0.344,22,0.727,16,2,200,104.0,33.3,13,26,78,,2.7,2,0.484,31,0.32299999999999995,10,54.9,39,0.524,16.9,15,33,0.485,16,0.33299999999999996,1,"November 10, 2019",64.0,16,0.0,0,104.0,66.7,26,0.518,56,0.446,25,0.536,30,0.7,21,1,200,105.3,18.8,6,20,79,,6.7,5,0.304,17,0.47100000000000003,8,45.1,32,0.562,12.6,10,39,0.436,17,0.5,1,"Show Me Center, Cape Girardeau, Missouri",IPFW,Purdue-Fort Wayne,75.4,Home,SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Purdue-Fort Wayne,summit,2,False,False,False,Away,False,10,16,64,39,71,8,17,56,0,1,15,47,124,0.5604838709677419,60,122,0.4918032786885246,22,33,115,0.5739130434782609,0.5
3,2019-11-13-19-ipfw,51.6,16,10.7,3,106.7,73.1,19,0.547,64,0.484,31,0.281,18,0.778,14,1,200,112.0,28.1,9,18,84,,9.3,7,0.406,26,0.308,8,48.3,28,0.579,14.3,12,38,0.605,23,0.5,1,"November 13, 2019",50.0,13,2.6,1,112.0,71.9,23,0.608,51,0.51,26,0.47100000000000003,24,0.75,18,3,200,106.7,26.9,7,18,80,,5.3,4,0.451,23,0.435,10,51.7,30,0.6409999999999999,23.6,19,28,0.5710000000000001,16,0.25,1,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",IPFW,Purdue-Fort Wayne,75.0,Away,MIAMI-OH,Miami (OH),Purdue-Fort Wayne,summit,3,False,True,True,Home,False,10,16,51,30,58,8,23,64,0,1,25,63,188,0.5345744680851063,99,193,0.5129533678756477,30,50,171,0.5555555555555556,0.3333333333333333
4,2019-11-16-19-ipfw,45.5,10,0.0,0,121.5,63.3,19,0.45399999999999996,54,0.40700000000000003,22,0.13,7,0.857,6,1,200,84.6,26.7,8,16,55,,13.8,9,0.33299999999999996,18,0.278,5,45.0,27,0.48,20.8,15,36,0.47200000000000003,17,0.667,2,"November 16, 2019",71.4,20,5.6,2,84.6,73.3,22,0.61,59,0.475,28,0.22,13,0.5379999999999999,7,3,200,121.5,36.7,11,10,79,,13.8,9,0.593,35,0.457,16,55.0,33,0.606,15.6,12,24,0.5,12,0.4,2,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",STETSON,Stetson,65.3,Home,IPFW,Purdue-Fort Wayne,Purdue-Fort Wayne,summit,4,True,False,True,Home,True,16,12,59,33,60,5,17,54,1,0,35,79,239,0.5502092050209205,129,251,0.5139442231075697,38,73,235,0.5531914893617021,0.25
5,2019-11-19-19-kent-state,57.7,15,11.4,4,101.4,75.7,28,0.508,60,0.433,26,0.15,9,0.778,7,4,200,91.9,16.1,5,19,68,,5.4,4,0.33299999999999996,20,0.45,9,48.5,33,0.529,19.0,15,40,0.425,17,0.33299999999999996,2,"November 19, 2019",63.0,17,17.5,7,91.9,83.9,26,0.5,64,0.42200000000000004,27,0.25,16,0.688,11,0,200,101.4,24.3,9,11,75,,12.2,9,0.45299999999999996,29,0.345,10,51.5,35,0.524,13.4,11,35,0.486,17,1.0,4,"Memorial Athletic & Convocation Center, Kent, Ohio",IPFW,Purdue-Fort Wayne,73.9,Home,KENT-STATE,Kent State,Purdue-Fort Wayne,summit,5,False,False,False,Away,False,9,17,60,33,68,10,17,64,0,1,51,91,298,0.5620805369127517,162,311,0.5209003215434084,43,90,289,0.5346020761245674,0.4
6,2019-11-22-19-ohio-state,58.8,10,3.6,1,126.9,63.0,17,0.389,54,0.315,17,0.111,6,0.667,4,5,200,68.7,20.0,7,15,46,,3.0,2,0.389,21,0.381,8,38.7,24,0.405,24.1,18,33,0.273,9,0.28600000000000003,2,"November 22, 2019",64.5,20,15.2,5,68.7,80.0,28,0.647,58,0.534,31,0.24100000000000002,14,0.7140000000000001,10,0,200,126.9,37.0,10,11,85,10.0,13.4,9,0.517,30,0.433,13,61.3,38,0.657,14.6,11,28,0.643,18,1.0,5,"Value City Arena, Columbus, Ohio",IPFW,Purdue-Fort Wayne,66.8,Home,OHIO-STATE,Ohio State,Purdue-Fort Wayne,summit,6,False,False,False,Away,False,8,9,54,24,62,13,18,58,0,1,60,108,358,0.553072625698324,195,379,0.5145118733509235,53,107,353,0.5283286118980169,0.3333333333333333
7,2019-11-24-15-ipfw,41.2,7,2.8,1,119.1,74.2,23,0.348,56,0.304,17,0.161,9,0.889,8,0,200,69.1,25.7,9,14,47,,5.9,4,0.446,25,0.2,5,48.5,32,0.39,22.1,17,31,0.387,12,0.0,0,"November 24, 2019",48.4,15,12.9,4,69.1,74.3,26,0.574,61,0.508,31,0.23,14,0.7859999999999999,11,5,200,119.1,25.8,8,9,81,,16.2,11,0.41,25,0.32,8,51.5,34,0.599,10.6,8,36,0.639,23,0.375,3,"Hilliard Gates Sports Center, Fort Wayne, Indiana","Ohio Northern
			","Ohio Northern
			",68.0,Home,IPFW,Purdue-Fort Wayne,Purdue-Fort Wayne,summit,7,True,False,True,Home,True,8,23,61,34,66,5,12,56,1,0,68,117,412,0.5315533980582524,219,441,0.4965986394557823,66,125,411,0.5450121654501217,0.2857142857142857
8,2019-11-27-19-ipfw,45.5,10,6.5,2,110.0,69.2,18,0.42,56,0.39299999999999996,22,0.161,9,0.778,7,5,200,77.1,16.7,5,12,54,,5.7,4,0.35700000000000004,20,0.15,3,41.1,23,0.44799999999999995,18.9,14,36,0.528,19,0.0,0,"November 27, 2019",50.0,16,13.9,5,77.1,83.3,25,0.597,62,0.516,32,0.113,7,0.429,3,5,200,110.0,30.8,8,12,77,,14.3,10,0.5,31,0.32299999999999995,10,58.9,33,0.589,16.6,13,31,0.71,22,0.444,4,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",NIAGARA,Niagara,69.8,Home,IPFW,Purdue-Fort Wayne,Purdue-Fort Wayne,summit,8,True,False,True,Home,True,10,22,62,33,56,3,19,56,1,0,76,140,473,0.5369978858350951,253,507,0.4990138067061144,71,137,467,0.5214132762312634,0.375
9,2019-11-30-20-grand-canyon,40.7,11,12.1,4,96.8,71.9,23,0.622,49,0.551,27,0.327,16,0.625,10,5,200,114.5,23.8,5,18,71,,11.3,7,0.469,23,0.304,7,52.8,28,0.627,16.4,11,26,0.769,20,0.5,5,"November 30, 2019",65.0,13,3.8,1,114.5,76.2,16,0.46,50,0.4,20,0.42,21,0.667,14,6,200,96.8,28.1,9,14,60,,11.3,7,0.34,17,0.353,6,47.2,25,0.5,15.7,11,33,0.424,14,0.33299999999999996,3,"Grand Canyon University Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,62.3,Away,IPFW,Purdue-Fort Wayne,Purdue-Fort Wayne,summit,9,False,False,False,Away,True,7,20,49,28,53,6,14,50,1,0,86,162,535,0.5439252336448598,286,563,0.5079928952042628,74,156,523,0.5105162523900574,0.4444444444444444
