,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SACRED-HEART_homegame,SACRED-HEART_homegame2,SACRED-HEART_home,SACRED-HEART_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-providence,52.6,10,9.5,4,139.5,55.6,20,0.373,59,0.322,19,0.39,23,0.696,16,1,200,78.9,25.6,10,12,60,,5.3,4,0.33899999999999997,20,0.3,6,40.0,30,0.429,20.7,18,39,0.33299999999999996,13,0.0,0,"November 5, 2019",79.5,31,25.6,10,78.9,74.4,29,0.618,76,0.513,39,0.21100000000000002,16,0.75,12,0,200,139.5,44.4,16,20,106,,17.1,13,0.447,34,0.47100000000000003,16,60.0,45,0.634,7.8,7,42,0.5479999999999999,23,1.0,1,"Dunkin' Donuts Center, Providence, Rhode Island",SACRED-HEART,Sacred Heart,76.3,Home,PROVIDENCE,Providence,Sacred Heart,northeast,0,False,False,False,Away,False,6,13,59,30,75,16,23,76,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-connecticut,42.1,8,1.8,1,107.2,64.1,25,0.33299999999999996,63,0.302,19,0.413,26,0.9620000000000001,25,2,200,80.7,40.0,16,21,67,,2.4,2,0.365,23,0.174,4,51.9,41,0.445,24.4,24,40,0.375,15,0.0,0,"November 8, 2019",47.1,16,22.5,9,80.7,60.0,24,0.48700000000000004,75,0.45299999999999996,34,0.293,22,0.727,16,0,200,107.2,35.9,14,24,89,,12.0,10,0.253,19,0.263,5,48.1,38,0.521,11.5,11,56,0.518,29,1.0,1,"Harry A. Gampel Pavilion, Storrs, Connecticut",SACRED-HEART,Sacred Heart,82.9,Home,CONNECTICUT,UConn,Sacred Heart,northeast,1,False,False,False,Away,False,4,15,63,41,79,5,29,75,0,1,6,13,59,0.3728813559322034,30,75,0.4,16,23,76,0.618421052631579,0.0
2,2019-11-16-16-binghamton,37.0,10,4.5,2,100.0,73.5,36,0.47,67,0.40299999999999997,27,0.254,17,0.529,9,3,200,94.7,32.5,13,14,72,,2.6,2,0.44799999999999995,30,0.3,9,55.1,49,0.48,15.8,14,37,0.486,18,0.0,0,"November 16, 2019",41.4,12,8.1,3,94.7,67.5,27,0.44799999999999995,77,0.377,29,0.16899999999999998,13,0.5379999999999999,7,3,200,100.0,26.5,13,14,76,,6.6,5,0.429,33,0.33299999999999996,11,44.9,40,0.457,6.8,6,44,0.409,18,0.25,1,"Binghamton University Events Center, Vestal, New York",SACRED-HEART,Sacred Heart,76.1,Home,BINGHAMTON,Binghamton,Sacred Heart,northeast,2,False,False,False,Away,False,9,18,67,49,89,11,18,77,0,1,10,28,122,0.3524590163934426,71,154,0.46103896103896097,21,52,151,0.5529801324503312,0.0
3,2019-11-19-19-sacred-heart,60.0,15,20.6,7,115.1,59.3,16,0.41700000000000004,66,0.379,25,0.19699999999999998,13,0.615,8,1,200,86.3,39.0,16,25,63,,8.2,6,0.379,25,0.2,5,47.1,32,0.436,19.2,17,41,0.488,20,0.75,3,"November 19, 2019",51.9,14,9.8,4,86.3,61.0,25,0.574,54,0.5,27,0.537,29,0.759,22,3,200,115.1,40.7,11,18,84,,13.7,10,0.37,20,0.4,8,52.9,36,0.62,20.3,17,34,0.5589999999999999,19,0.25,1,"William H. Pitt Center, Fairfield, Connecticut",BROWN,Brown,73.5,Home,SACRED-HEART,Sacred Heart,Sacred Heart,northeast,3,True,False,True,Home,True,8,19,54,36,68,5,20,66,1,0,19,46,189,0.3941798941798942,120,243,0.4938271604938271,32,70,228,0.5175438596491229,0.0
4,2019-11-22-17-sacred-heart,73.9,17,6.7,2,107.8,70.4,19,0.402,66,0.348,23,0.091,6,0.667,4,4,200,74.0,19.5,8,16,57,,14.3,11,0.364,24,0.292,7,39.7,27,0.414,19.9,17,42,0.381,16,0.2,1,"November 22, 2019",60.0,18,21.4,9,74.0,80.5,33,0.593,59,0.508,30,0.237,14,0.929,13,3,200,107.8,29.6,8,10,83,,14.3,11,0.4920000000000001,29,0.345,10,60.3,41,0.632,22.6,19,30,0.667,20,0.4,2,"TD Bank Sports Center, Hamden, Connecticut",PRESBYTERIAN,Presbyterian,77.3,Home,SACRED-HEART,Sacred Heart,Sacred Heart,northeast,4,True,False,True,Home,True,10,20,59,41,68,7,16,66,1,0,27,65,243,0.4341563786008231,156,311,0.5016077170418006,37,90,294,0.4948979591836735,0.25
5,2019-11-23-16-albany-ny,38.1,8,2.1,1,100.0,87.9,29,0.39799999999999996,59,0.35600000000000004,21,0.322,19,0.9470000000000001,18,4,200,90.3,25.0,9,13,65,,4.2,3,0.33899999999999997,20,0.25,5,55.1,38,0.478,17.2,14,39,0.41,16,0.33299999999999996,2,"November 23, 2019",69.0,20,10.3,4,90.3,75.0,27,0.5329999999999999,61,0.475,29,0.14800000000000002,9,0.778,7,3,200,100.0,12.1,4,22,72,,9.7,7,0.23,14,0.5,7,44.9,31,0.552,13.3,10,47,0.46799999999999997,22,0.5,3,"TD Bank Sports Center, Hamden, Connecticut",SACRED-HEART,Sacred Heart,72.2,Home,ALBANY-NY,Albany (NY),Sacred Heart,northeast,5,False,False,False,Away,False,5,16,59,38,69,7,22,61,0,1,37,85,302,0.4652317880794702,197,379,0.5197889182058048,44,106,360,0.4777777777777778,0.4
6,2019-11-24-15-quinnipiac,72.2,26,13.2,5,108.1,73.5,25,0.708,60,0.6,36,0.25,15,0.8,12,4,200,131.1,25.0,6,20,97,,4.1,3,0.45,27,0.48100000000000004,13,53.4,31,0.723,15.3,12,33,0.6970000000000001,23,0.429,3,"November 24, 2019",59.3,16,6.1,2,131.1,75.0,18,0.4920000000000001,64,0.42200000000000004,27,0.32799999999999996,21,0.81,17,3,200,108.1,26.5,9,18,80,,5.4,4,0.406,26,0.34600000000000003,9,46.6,27,0.541,12.0,10,38,0.474,18,0.4,2,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,74.1,Away,SACRED-HEART,Sacred Heart,Sacred Heart,northeast,6,False,False,False,Away,True,13,23,60,31,58,9,18,64,1,0,42,101,361,0.4542936288088642,235,448,0.5245535714285714,51,128,421,0.4857482185273159,0.3333333333333333
7,2019-12-01-14-sacred-heart,63.6,14,6.0,3,121.7,61.9,26,0.35700000000000004,70,0.314,22,0.114,8,0.875,7,0,200,68.7,26.7,12,9,57,,7.2,6,0.243,17,0.353,6,43.7,38,0.386,21.4,20,53,0.302,16,0.0,0,"December 1, 2019",78.6,33,13.2,7,68.7,73.3,33,0.552,87,0.483,42,0.069,6,0.833,5,4,200,121.7,38.1,16,8,101,,19.3,16,0.425,37,0.324,12,56.3,49,0.562,10.0,10,50,0.6,30,0.5,4,"William H. Pitt Center, Fairfield, Connecticut","Pine Manor
			","Pine Manor
			",82.8,Home,SACRED-HEART,Sacred Heart,Sacred Heart,northeast,7,True,False,True,Home,True,12,30,87,49,87,6,16,70,1,0,55,124,421,0.490498812351544,266,506,0.5256916996047429,60,146,485,0.4865979381443299,0.42857142857142855
8,2019-12-04-19-massachusetts-lowell,54.5,18,0.0,0,113.2,73.5,25,0.522,68,0.485,33,0.324,22,0.818,18,4,200,117.1,34.4,11,20,89,,3.9,3,0.27899999999999997,19,0.263,5,54.5,36,0.5670000000000001,10.4,9,49,0.5710000000000001,28,0.556,5,"December 4, 2019",54.5,18,2.0,1,117.1,65.6,21,0.5539999999999999,65,0.508,33,0.32299999999999995,21,0.667,14,6,200,113.2,26.5,9,18,86,,7.9,6,0.292,19,0.316,6,45.5,30,0.574,11.9,10,46,0.5870000000000001,27,0.4,4,"Tsongas Center, Lowell, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,76.2,Away,SACRED-HEART,Sacred Heart,Sacred Heart,northeast,8,False,False,False,Away,True,5,28,68,36,66,6,27,65,1,0,67,154,508,0.5009842519685039,315,593,0.5311973018549747,66,162,555,0.4702702702702703,0.5
9,2019-12-08-14-hartford,65.4,17,10.4,5,82.7,74.4,32,0.546,54,0.48100000000000004,26,0.444,24,0.833,20,4,200,105.3,36.0,9,14,79,,6.7,5,0.37,20,0.35,7,60.3,41,0.604,21.8,18,34,0.5589999999999999,19,0.6,6,"December 8, 2019",52.0,13,2.9,1,105.3,64.0,16,0.39899999999999997,69,0.36200000000000004,25,0.174,12,0.583,7,7,200,82.7,25.6,11,23,62,,13.3,10,0.304,21,0.23800000000000002,5,39.7,27,0.415,12.9,11,48,0.41700000000000004,20,0.364,4,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,74.6,Away,SACRED-HEART,Sacred Heart,Sacred Heart,northeast,9,False,False,False,Away,True,7,19,54,41,68,5,20,69,1,0,72,182,576,0.5034722222222222,351,659,0.5326251896813353,72,189,620,0.4790322580645161,0.5555555555555556
