,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAINT-FRANCIS-PA_homegame,SAINT-FRANCIS-PA_homegame2,SAINT-FRANCIS-PA_home,SAINT-FRANCIS-PA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-virginia-commonwealth,42.9,9,0.0,0,92.3,75.9,22,0.369,65,0.32299999999999995,21,0.27699999999999997,18,0.556,10,1,200,74.4,27.5,11,20,58,,15.4,12,0.32299999999999995,21,0.28600000000000003,6,47.8,33,0.39399999999999996,18.9,17,44,0.341,15,0.0,0,"November 5, 2019",48.1,13,9.1,4,74.4,72.5,29,0.518,55,0.491,27,0.455,25,0.6,15,0,200,92.3,24.1,7,18,72,25.0,15.4,12,0.23600000000000002,13,0.231,3,52.2,36,0.5379999999999999,20.5,17,42,0.5710000000000001,24,1.0,1,"Stuart Siegel Center, Richmond, Virginia",SAINT-FRANCIS-PA,Saint Francis (PA),78.2,Home,VIRGINIA-COMMONWEALTH,VCU,Saint Francis (PA),northeast,0,False,False,False,Away,False,6,15,65,33,69,3,24,55,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-richmond,34.3,12,5.1,2,125.0,80.0,28,0.583,72,0.486,35,0.306,22,0.636,14,2,225,122.5,35.1,13,19,98,,6.3,5,0.389,28,0.5,14,56.9,41,0.594,10.9,10,44,0.47700000000000004,21,0.0,0,"November 8, 2019",62.9,22,13.6,6,122.5,64.9,24,0.61,68,0.515,35,0.353,24,0.708,17,0,225,125.0,20.0,7,18,100,,10.0,8,0.426,29,0.44799999999999995,13,43.1,31,0.63,9.2,8,39,0.564,22,1.0,1,"Robins Center, Richmond, Virginia",SAINT-FRANCIS-PA,Saint Francis (PA),71.0,Home,RICHMOND,Richmond,Saint Francis (PA),northeast,1,False,False,False,Away,False,14,21,72,41,72,13,22,68,0,1,6,15,65,0.3692307692307693,33,69,0.4782608695652174,3,24,55,0.5181818181818182,0.0
2,2019-11-13-19-morgan-state,55.6,10,9.1,4,87.8,72.1,31,0.435,46,0.391,18,0.7609999999999999,35,0.8859999999999999,31,2,200,95.9,28.6,6,24,71,,2.7,2,0.217,10,0.4,4,57.8,37,0.5670000000000001,25.5,21,36,0.389,14,0.33299999999999996,1,"November 13, 2019",36.4,8,8.3,3,95.9,71.4,15,0.40399999999999997,57,0.386,22,0.561,32,0.594,19,2,200,87.8,27.9,12,26,65,,10.8,8,0.228,13,0.154,2,42.2,27,0.45,12.3,10,44,0.455,20,0.33299999999999996,1,"Hill Field House, Baltimore, Maryland",MORGAN-STATE,Morgan State,73.9,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,2,False,False,False,Away,True,4,14,46,37,64,2,20,57,1,0,20,36,137,0.4817518248175183,74,141,0.524822695035461,16,46,123,0.5691056910569106,0.0
3,2019-11-16-19-saint-francis-pa,42.9,12,13.3,6,119.7,74.1,20,0.605,57,0.491,28,0.158,9,0.778,7,3,200,115.2,32.1,9,17,76,,6.1,4,0.40399999999999997,23,0.565,13,52.7,29,0.62,15.3,11,34,0.441,15,0.25,1,"November 16, 2019",27.6,8,0.0,0,115.2,67.9,19,0.56,58,0.5,29,0.32799999999999996,19,0.737,14,2,200,119.7,25.9,7,11,79,,12.1,8,0.22399999999999998,13,0.5379999999999999,7,47.3,26,0.589,10.8,8,45,0.489,22,0.5,2,"DeGol Arena, Loretto, Pennsylvania",AMERICAN,American,65.7,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,3,True,False,True,Home,True,7,22,58,26,55,13,15,57,1,0,24,50,183,0.4699453551912569,111,205,0.5414634146341464,18,66,180,0.5166666666666667,0.3333333333333333
4,2019-11-19-19-saint-francis-pa,45.2,14,10.8,4,95.5,70.6,24,0.625,56,0.5539999999999999,31,0.23199999999999998,13,0.6920000000000001,9,0,200,117.9,19.2,5,20,79,,9.0,6,0.33899999999999997,19,0.42100000000000004,8,48.3,29,0.635,13.9,10,37,0.622,23,1.0,6,"November 19, 2019",39.1,9,5.4,2,117.9,80.8,21,0.424,59,0.39,23,0.28800000000000003,17,0.8240000000000001,14,3,200,95.5,29.4,10,11,64,,3.0,2,0.373,22,0.182,4,51.7,31,0.47700000000000004,13.1,10,37,0.514,19,0.4,2,"DeGol Arena, Loretto, Pennsylvania",SAINT-FRANCIS-PA,Saint Francis (PA),67.1,Away,DELAWARE,Delaware,Saint Francis (PA),northeast,4,False,True,True,Home,False,4,19,59,31,60,8,23,56,0,1,31,72,241,0.4917012448132779,137,260,0.5269230769230769,31,81,237,0.5379746835443038,0.5
5,2019-11-23-14-florida-state,45.0,9,8.6,3,106.7,56.7,17,0.45399999999999996,54,0.37,20,0.315,17,0.941,16,4,200,86.7,24.1,7,19,65,,10.7,8,0.40700000000000003,22,0.409,9,40.7,24,0.524,25.5,21,32,0.344,11,0.33299999999999996,2,"November 23, 2019",53.6,15,15.6,5,86.7,75.9,22,0.542,60,0.467,28,0.28300000000000003,17,0.882,15,1,200,106.7,43.3,13,15,80,,14.7,11,0.41700000000000004,25,0.36,9,59.3,35,0.588,22.0,19,35,0.5429999999999999,19,0.8,4,"Donald L. Tucker Center, Tallahassee, Florida",SAINT-FRANCIS-PA,Saint Francis (PA),75.1,Home,FLORIDA-STATE,Florida State,Saint Francis (PA),northeast,5,False,False,False,Away,False,9,11,54,24,59,9,19,60,0,1,35,91,300,0.4783333333333333,168,320,0.525,39,104,293,0.5546075085324232,0.4
6,2019-11-30-19-saint-josephs,30.0,9,10.5,4,92.6,63.6,28,0.524,63,0.47600000000000003,30,0.254,16,0.813,13,4,200,116.2,38.7,12,17,79,,10.3,7,0.222,14,0.429,6,53.3,40,0.5589999999999999,12.5,10,49,0.49,24,0.429,3,"November 30, 2019",61.9,13,4.1,2,116.2,61.3,19,0.373,67,0.313,21,0.22399999999999998,15,0.867,13,6,200,92.6,36.4,16,16,63,,4.4,3,0.433,29,0.276,8,46.7,35,0.425,12.0,10,38,0.342,13,0.25,2,"Hagan Arena, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,68.4,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,6,False,False,False,Away,True,6,24,63,40,75,8,13,67,1,0,44,102,354,0.4745762711864407,192,379,0.5065963060686016,48,123,353,0.5524079320113314,0.3333333333333333
7,2019-12-04-19-saint-francis-pa,25.0,7,2.4,1,106.9,75.0,27,0.516,61,0.45899999999999996,28,0.16399999999999998,10,0.6,6,6,200,95.8,25.0,8,17,69,,1.4,1,0.361,22,0.318,7,51.5,35,0.525,18.7,15,39,0.5379999999999999,21,0.33299999999999996,3,"December 4, 2019",51.9,14,10.3,4,95.8,75.0,24,0.46799999999999997,63,0.429,27,0.33299999999999996,21,0.857,18,4,200,106.9,25.0,9,16,77,,8.3,6,0.349,22,0.22699999999999998,5,48.5,33,0.528,8.8,7,41,0.537,22,0.5,4,"DeGol Arena, Loretto, Pennsylvania",LEHIGH,Lehigh,71.9,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,7,True,False,True,Home,True,5,22,63,33,68,7,21,61,1,0,50,126,417,0.4820143884892086,232,454,0.5110132158590308,56,136,420,0.5238095238095238,0.42857142857142855
8,2019-12-07-13-maryland-baltimore-county,44.4,8,4.2,1,89.6,74.3,26,0.466,44,0.409,18,0.636,28,0.7859999999999999,22,4,200,94.0,25.0,6,21,63,,10.4,7,0.364,16,0.313,5,54.2,32,0.55,19.9,14,28,0.46399999999999997,13,0.556,5,"December 7, 2019",75.0,15,10.7,3,94.0,75.0,18,0.45299999999999996,53,0.377,20,0.377,20,0.6,12,5,200,89.6,25.7,9,21,60,,9.0,6,0.547,29,0.276,8,45.8,27,0.48,19.5,15,24,0.5,12,0.5,5,"UMBC Event Center, Baltimore, Maryland",MARYLAND-BALTIMORE-COUNTY,UMBC,66.9,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,8,False,False,False,Away,True,5,13,44,32,59,8,12,53,1,0,55,148,480,0.4802083333333334,265,522,0.5076628352490421,63,157,481,0.5228690228690228,0.5
9,2019-12-17-19-saint-francis-pa,60.0,12,0.0,0,135.3,72.7,16,0.5,49,0.408,20,0.51,25,0.68,17,0,200,77.6,3.4,1,26,66,,5.9,5,0.531,26,0.34600000000000003,9,33.3,17,0.542,28.6,24,23,0.478,11,0.0,0,"December 17, 2019",42.9,18,13.0,3,77.6,96.6,28,0.698,63,0.667,42,0.5870000000000001,37,0.73,27,4,200,135.3,27.3,6,19,115,,16.5,14,0.19,12,0.33299999999999996,4,66.7,34,0.7140000000000001,12.2,11,51,0.745,38,0.6,6,"DeGol Arena, Loretto, Pennsylvania","Franciscan
			","Franciscan
			",84.7,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Francis (PA),northeast,9,True,False,True,Home,True,4,38,63,34,51,9,11,49,1,0,60,161,524,0.4790076335877863,297,581,0.5111876075731497,71,169,534,0.5159176029962547,0.5555555555555556
