,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAINT-PETERS_homegame,SAINT-PETERS_homegame2,SAINT-PETERS_home,SAINT-PETERS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-13-19-saint-peters,50.0,13,4.7,2,62.0,83.7,36,0.5,60,0.433,26,0.25,15,0.6,9,2,200,97.2,40.6,13,16,69,,9.9,7,0.467,28,0.28600000000000003,8,65.3,49,0.514,18.4,15,32,0.563,18,0.5,2,"November 13, 2019",43.8,7,6.3,2,97.2,59.4,19,0.28600000000000003,63,0.254,16,0.20600000000000002,13,0.615,8,1,200,62.0,16.3,7,17,44,,8.5,6,0.317,20,0.2,4,34.7,26,0.318,13.8,11,43,0.27899999999999997,12,0.0,0,"Yanitelli Center, Jersey City, New Jersey",SAINT-PETERS,St. Peter's,71.2,Away,BRYANT,Bryant,Saint Peter's,maac,0,False,True,True,Home,False,4,12,63,26,75,8,18,60,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-16-14-providence,46.7,7,10.0,4,95.8,64.5,20,0.344,48,0.313,15,0.396,19,0.737,14,2,200,66.2,30.0,9,21,47,,15.5,11,0.33299999999999996,16,0.188,3,47.5,29,0.41200000000000003,29.0,23,32,0.375,12,0.0,0,"November 16, 2019",70.8,17,9.4,3,66.2,70.0,21,0.47200000000000003,54,0.444,24,0.444,24,0.708,17,1,200,95.8,35.5,11,17,68,,14.1,10,0.259,14,0.214,3,52.5,32,0.52,19.9,16,40,0.525,21,0.75,3,"Dunkin' Donuts Center, Providence, Rhode Island",SAINT-PETERS,St. Peter's,70.7,Home,PROVIDENCE,Providence,Saint Peter's,maac,1,False,False,False,Away,False,3,12,48,29,61,3,21,54,0,1,4,12,63,0.2857142857142857,26,75,0.3466666666666667,8,18,60,0.5,0.0
2,2019-11-20-19-saint-peters,55.6,10,5.6,2,91.7,74.4,29,0.389,54,0.33299999999999996,18,0.889,48,0.813,39,3,225,96.4,30.3,10,24,81,,9.5,8,0.315,17,0.353,6,54.2,39,0.527,17.6,16,37,0.324,12,0.4,2,"November 20, 2019",58.3,14,16.2,6,96.4,69.7,23,0.4920000000000001,61,0.39299999999999996,24,0.426,26,0.654,17,3,225,91.7,25.6,10,34,77,,6.0,5,0.41,25,0.48,12,45.8,33,0.525,22.5,21,36,0.33299999999999996,12,0.0,0,"Yanitelli Center, Jersey City, New Jersey",SAINT-PETERS,St. Peter's,74.3,Away,WAGNER,Wagner,Saint Peter's,maac,2,False,True,True,Home,False,12,12,61,33,72,6,12,54,0,1,7,24,111,0.3108108108108108,55,136,0.4044117647058824,11,39,114,0.4868421052631579,0.0
3,2019-11-30-13-saint-peters,40.9,9,8.7,4,104.7,51.3,20,0.425,60,0.3670000000000001,22,0.2,12,0.667,8,5,200,92.2,25.0,9,21,59,,10.9,7,0.3,18,0.389,7,38.7,29,0.449,9.7,7,42,0.35700000000000004,15,0.28600000000000003,2,"November 30, 2019",40.0,8,14.3,6,92.2,75.0,27,0.377,61,0.32799999999999996,20,0.39299999999999996,24,0.875,21,3,200,104.7,48.7,19,17,67,,7.8,5,0.24600000000000002,15,0.4,6,61.3,46,0.46299999999999997,13.3,11,46,0.304,14,0.25,1,"Yanitelli Center, Jersey City, New Jersey",ST-FRANCIS-NY,St. Francis (NY),64.1,Home,SAINT-PETERS,St. Peter's,Saint Peter's,maac,3,True,False,True,Home,True,6,14,61,46,75,7,15,60,1,0,19,36,172,0.375,88,208,0.4230769230769231,17,51,168,0.4553571428571429,0.0
4,2019-12-03-18-st-johns-ny,53.8,14,7.3,3,102.6,62.5,20,0.436,70,0.371,26,0.271,19,0.42100000000000004,8,4,200,89.6,44.4,20,19,69,,15.6,12,0.386,27,0.33299999999999996,9,51.9,40,0.4370000000000001,18.7,18,43,0.395,17,0.2,1,"December 3, 2019",82.8,24,18.6,8,89.6,55.6,25,0.541,61,0.475,29,0.32799999999999996,20,0.65,13,2,200,102.6,37.5,12,16,79,,11.7,9,0.32799999999999996,20,0.4,8,48.1,37,0.56,20.5,18,41,0.512,21,0.778,7,"Carnesecca Arena, Jamaica, New York",SAINT-PETERS,St. Peter's,76.8,Home,ST-JOHNS-NY,St. John's (NY),Saint Peter's,maac,4,False,False,False,Away,False,9,17,70,40,77,8,21,61,0,1,25,50,233,0.3755364806866953,134,283,0.4734982332155477,24,66,228,0.4473684210526316,0.25
5,2019-12-11-19-saint-peters,45.5,10,12.1,4,128.4,48.1,13,0.44799999999999995,58,0.379,22,0.397,23,0.7829999999999999,18,7,200,104.5,23.1,9,21,70,,16.4,11,0.397,23,0.348,8,33.3,22,0.508,9.3,7,35,0.4,14,0.222,2,"December 11, 2019",57.7,15,14.3,5,104.5,76.9,30,0.61,50,0.52,26,0.62,31,0.8059999999999999,25,4,200,128.4,51.9,14,19,86,,6.0,4,0.34,17,0.529,9,66.7,44,0.664,20.1,16,33,0.515,17,0.33299999999999996,2,"Yanitelli Center, Jersey City, New Jersey",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,66.8,Home,SAINT-PETERS,St. Peter's,Saint Peter's,maac,5,True,False,True,Home,True,9,17,50,44,66,8,14,58,1,0,34,67,303,0.38943894389438943,174,360,0.4833333333333333,32,87,289,0.4671280276816609,0.2
6,2019-12-18-19-connecticut,36.8,7,7.7,2,94.3,61.9,13,0.44799999999999995,48,0.396,19,0.354,17,0.765,13,5,200,80.0,37.9,11,21,56,,22.9,16,0.16699999999999998,8,0.625,5,48.0,24,0.499,30.2,24,40,0.35,14,0.28600000000000003,2,"December 18, 2019",56.5,13,25.0,10,80.0,62.1,18,0.616,43,0.535,23,0.442,19,0.684,13,3,200,94.3,38.1,8,17,66,,17.1,12,0.395,17,0.41200000000000003,7,52.0,26,0.634,33.6,26,26,0.615,16,0.7,7,"XL Center, Hartford, Connecticut",SAINT-PETERS,St. Peter's,69.6,Home,CONNECTICUT,UConn,Saint Peter's,maac,6,False,False,False,Away,False,5,14,48,24,50,7,16,43,0,1,43,84,353,0.4206798866855524,218,426,0.5117370892018779,40,101,347,0.4639769452449568,0.3333333333333333
7,2019-12-22-12-long-island-university,33.3,9,25.0,9,78.4,76.9,30,0.5,58,0.466,27,0.31,18,0.611,11,5,200,93.2,55.2,16,18,69,,10.8,8,0.207,12,0.33299999999999996,4,67.6,46,0.518,25.9,23,46,0.5,23,0.375,3,"December 22, 2019",85.0,17,17.4,8,93.2,44.8,13,0.4,60,0.33299999999999996,20,0.267,16,0.625,10,8,200,78.4,23.1,9,15,58,,14.9,11,0.4,24,0.33299999999999996,8,32.4,22,0.429,18.3,15,36,0.33299999999999996,12,0.33299999999999996,4,"Barclays Center, Brooklyn, New York",LONG-ISLAND-UNIVERSITY,LIU,73.6,Away,SAINT-PETERS,St. Peter's,Saint Peter's,maac,7,False,False,False,Away,True,4,23,58,46,68,8,12,60,1,0,48,98,401,0.4239401496259352,242,476,0.5084033613445378,47,117,390,0.4807692307692308,0.2857142857142857
8,2019-12-28-13-hampton,47.8,11,5.3,2,104.5,79.2,19,0.473,55,0.418,23,0.364,20,0.75,15,6,200,100.0,40.0,12,25,67,,7.5,5,0.364,20,0.3,6,57.4,31,0.519,21.0,17,35,0.486,17,0.33299999999999996,3,"December 28, 2019",63.6,14,20.0,7,100.0,60.0,18,0.511,47,0.46799999999999997,22,0.7020000000000001,33,0.667,22,8,200,104.5,20.8,5,17,70,,9.0,6,0.191,9,0.444,4,42.6,23,0.5579999999999999,8.9,6,38,0.474,18,0.385,5,"Hampton Convocation Center, Hampton, Virginia",SAINT-PETERS,St. Peter's,66.6,Home,HAMPTON,Hampton,Saint Peter's,maac,8,False,False,False,Away,False,6,17,55,31,54,4,18,47,0,1,52,121,459,0.4335511982570806,288,544,0.5294117647058824,55,129,450,0.47,0.375
9,2020-01-03-19-iona,54.2,13,20.0,5,101.4,78.1,25,0.483,60,0.4,24,0.467,28,0.607,17,6,200,102.7,37.8,14,20,75,,9.6,7,0.38299999999999995,23,0.435,10,56.5,39,0.512,16.2,14,37,0.37799999999999995,14,0.4,4,"January 3, 2020",58.3,14,16.2,6,102.7,62.2,23,0.5660000000000001,53,0.45299999999999996,24,0.396,21,0.667,14,6,200,101.4,21.9,7,21,74,,12.3,9,0.528,28,0.429,12,43.5,30,0.588,20.4,16,25,0.48,12,0.25,2,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,72.6,Away,SAINT-PETERS,St. Peter's,Saint Peter's,maac,9,False,False,False,Away,True,10,14,60,39,69,12,12,53,1,0,58,138,514,0.4377431906614786,319,598,0.5334448160535117,59,147,497,0.4738430583501006,0.3333333333333333
