,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SANTA-CLARA_homegame,SANTA-CLARA_homegame2,SANTA-CLARA_home,SANTA-CLARA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-22-santa-clara,22.2,4,2.8,1,124.4,63.3,19,0.35200000000000004,54,0.33299999999999996,18,0.40700000000000003,22,0.636,14,0,200,66.7,23.7,9,19,52,,9.0,7,0.315,17,0.11800000000000001,2,41.2,28,0.40299999999999997,25.7,22,37,0.4320000000000001,16,0.0,0,"November 5, 2019",60.5,23,8.1,3,66.7,76.3,29,0.64,68,0.5589999999999999,38,0.17600000000000002,12,0.833,10,0,200,124.4,36.7,11,20,97,,17.9,14,0.47100000000000003,32,0.344,11,58.8,40,0.6579999999999999,17.0,15,36,0.75,27,1.0,1,"Leavey Center, Santa Clara, California","UC-Santa Cruz
			","UC-Santa Cruz
			",77.6,Home,SANTA-CLARA,Santa Clara,Santa Clara,wcc,0,True,False,True,Home,True,11,27,68,40,68,2,16,54,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-22-santa-clara,52.2,12,0.0,0,104.1,85.2,23,0.44,58,0.397,23,0.31,18,0.667,12,1,200,85.1,23.5,8,26,63,,4.1,3,0.22399999999999998,13,0.385,5,50.8,31,0.473,18.5,15,45,0.4,18,0.0,0,"November 8, 2019",60.9,14,8.9,4,85.1,76.5,26,0.5,49,0.469,23,0.755,37,0.757,28,0,200,104.1,14.8,4,20,77,,10.8,8,0.204,10,0.3,3,49.2,30,0.578,15.5,12,39,0.513,20,1.0,2,"Leavey Center, Santa Clara, California",CAL-POLY,Cal Poly,74.1,Home,SANTA-CLARA,Santa Clara,Santa Clara,wcc,1,True,False,True,Home,True,3,20,49,30,61,5,18,58,1,0,11,27,68,0.6397058823529411,40,68,0.5882352941176471,2,16,54,0.35185185185185186,1.0
2,2019-11-12-22-santa-clara,40.9,9,2.7,1,89.7,72.4,21,0.381,67,0.32799999999999996,22,0.254,17,0.647,11,1,200,79.5,18.6,8,15,62,,15.4,12,0.433,29,0.24100000000000002,7,40.3,29,0.413,15.8,14,38,0.395,15,0.5,1,"November 12, 2019",44.0,11,13.2,5,79.5,81.4,35,0.519,53,0.47200000000000003,25,0.321,17,0.882,15,0,200,89.7,27.6,8,21,70,,10.3,8,0.302,16,0.313,5,59.7,43,0.573,25.8,21,37,0.541,20,1.0,3,"Leavey Center, Santa Clara, California",WASHINGTON-STATE,Washington State,77.6,Home,SANTA-CLARA,Santa Clara,Santa Clara,wcc,2,True,False,True,Home,True,5,20,53,43,72,7,15,67,1,0,14,47,117,0.5811965811965812,70,129,0.5426356589147286,7,34,112,0.39732142857142855,1.0
3,2019-11-16-22-stanford,66.7,14,2.4,1,110.8,71.9,23,0.436,55,0.382,21,0.382,21,0.762,16,1,200,86.5,15.6,5,26,64,,5.4,4,0.382,21,0.28600000000000003,6,43.8,28,0.4920000000000001,20.9,17,34,0.441,15,0.75,3,"November 16, 2019",50.0,13,5.9,2,86.5,84.4,27,0.5379999999999999,52,0.5,26,0.6729999999999999,35,0.743,26,0,200,110.8,28.1,9,20,82,,10.8,8,0.192,10,0.4,4,56.3,36,0.597,15.1,12,42,0.524,22,1.0,4,"Maples Pavilion, Stanford, California",SANTA-CLARA,Santa Clara,74.3,Home,STANFORD,Stanford,Santa Clara,wcc,3,False,False,False,Away,False,6,15,55,28,64,4,22,52,0,1,19,67,170,0.5617647058823529,113,201,0.5621890547263682,14,49,179,0.3910614525139665,1.0
4,2019-11-19-22-santa-clara,68.4,13,3.0,1,138.4,64.9,24,0.375,60,0.317,19,0.28300000000000003,17,0.529,9,0,200,74.0,14.0,6,19,54,,2.7,2,0.5,30,0.233,7,37.5,30,0.397,11.8,9,30,0.4,12,0.0,0,"November 19, 2019",75.0,24,16.7,5,74.0,86.0,37,0.57,71,0.451,32,0.33799999999999997,24,0.833,20,1,200,138.4,35.1,13,20,101,,5.5,4,0.535,38,0.447,17,62.5,50,0.613,5.8,5,33,0.455,15,0.8,4,"Leavey Center, Santa Clara, California","Notre Dame de Namur
			","Notre Dame de Namur
			",72.7,Home,SANTA-CLARA,Santa Clara,Santa Clara,wcc,4,True,False,True,Home,True,17,15,71,50,80,7,12,60,1,0,25,82,225,0.5311111111111111,141,265,0.5320754716981132,18,71,231,0.42424242424242425,0.75
5,2019-11-22-22-santa-clara,68.4,13,0.0,0,101.3,87.0,20,0.441,51,0.373,19,0.588,30,0.667,20,3,200,84.4,26.7,8,13,65,,10.4,8,0.33299999999999996,17,0.41200000000000003,7,52.8,28,0.498,24.6,21,34,0.353,12,0.4,2,"November 22, 2019",77.4,24,17.6,6,84.4,73.3,22,0.654,52,0.596,31,0.231,12,0.833,10,1,200,101.3,13.0,3,23,78,,13.0,10,0.26899999999999996,14,0.429,6,47.2,25,0.6759999999999999,26.8,21,38,0.6579999999999999,25,0.833,5,"Leavey Center, Santa Clara, California",IDAHO-STATE,Idaho State,77.0,Home,SANTA-CLARA,Santa Clara,Santa Clara,wcc,5,True,False,True,Home,True,6,25,52,25,53,7,12,51,1,0,42,97,296,0.5405405405405406,191,345,0.5536231884057969,25,83,291,0.4140893470790378,0.8
6,2019-11-27-17-santa-clara,70.4,19,2.9,1,106.6,78.8,26,0.4920000000000001,59,0.45799999999999996,27,0.153,9,0.667,6,4,200,84.2,15.6,5,16,64,,13.2,10,0.22,13,0.308,4,47.7,31,0.506,22.2,18,46,0.5,23,0.33299999999999996,2,"November 27, 2019",65.6,21,10.9,5,84.2,84.4,27,0.563,63,0.508,32,0.222,14,0.7140000000000001,10,1,200,106.6,21.2,7,14,81,,11.8,9,0.444,28,0.25,7,52.3,34,0.581,16.8,14,35,0.7140000000000001,25,0.857,6,"Leavey Center, Santa Clara, California",DENVER,Denver,76.5,Home,SANTA-CLARA,Santa Clara,Santa Clara,wcc,6,True,False,True,Home,True,7,25,63,34,65,4,23,59,1,0,48,122,348,0.5574712643678161,216,398,0.542713567839196,32,95,342,0.4181286549707601,0.8333333333333334
7,2019-11-29-17-santa-clara,39.1,9,8.8,3,111.5,88.5,23,0.5,50,0.46,23,0.66,33,0.758,25,4,200,96.2,3.6,1,25,75,,11.5,9,0.3,15,0.267,4,44.4,24,0.5710000000000001,17.8,14,35,0.5429999999999999,19,0.33299999999999996,2,"November 29, 2019",58.1,18,17.1,6,96.2,96.4,27,0.6609999999999999,56,0.5539999999999999,31,0.39299999999999996,22,0.591,13,1,200,111.5,11.5,3,25,87,,3.8,3,0.39299999999999996,22,0.545,12,55.6,30,0.655,17.6,14,34,0.5589999999999999,19,0.875,7,"Leavey Center, Santa Clara, California",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,78.1,Home,SANTA-CLARA,Santa Clara,Santa Clara,wcc,7,True,False,True,Home,True,12,19,56,30,54,4,19,50,1,0,55,147,411,0.5583941605839416,250,463,0.5399568034557235,36,118,401,0.42892768079800503,0.8571428571428571
8,2019-11-30-18-santa-clara,36.8,7,7.4,2,101.4,83.9,26,0.382,55,0.345,19,0.29100000000000004,16,0.813,13,5,200,79.7,23.7,9,17,55,,5.8,4,0.29100000000000004,16,0.25,4,50.7,35,0.439,18.4,14,39,0.385,15,0.375,3,"November 30, 2019",59.3,16,5.1,2,79.7,76.3,29,0.555,55,0.491,27,0.29100000000000004,16,0.563,9,1,200,101.4,16.1,5,18,70,,8.7,6,0.509,28,0.25,7,49.3,34,0.5589999999999999,16.2,12,27,0.741,20,0.889,8,"Leavey Center, Santa Clara, California",CAL-STATE-FULLERTON,Cal State Fullerton,68.6,Home,SANTA-CLARA,Santa Clara,Santa Clara,wcc,8,True,False,True,Home,True,7,20,55,34,69,4,15,55,1,0,67,166,467,0.5706638115631691,280,517,0.5415860735009671,40,137,451,0.4368070953436807,0.875
9,2019-12-04-22-nevada,45.8,11,8.3,3,127.3,66.7,22,0.382,68,0.353,24,0.368,25,0.6,15,2,200,87.0,21.3,10,21,67,,7.8,6,0.426,29,0.138,4,40.0,32,0.419,9.2,8,39,0.513,20,0.8,8,"December 4, 2019",76.5,26,10.3,4,87.0,78.7,37,0.6409999999999999,64,0.531,34,0.42200000000000004,27,0.593,16,3,200,127.3,33.3,11,19,98,,7.8,6,0.43799999999999994,28,0.5,14,60.0,48,0.638,12.7,11,36,0.556,20,0.667,6,"Lawlor Events Center, Reno, Nevada",SANTA-CLARA,Santa Clara,77.4,Home,NEVADA,Nevada,Santa Clara,wcc,9,False,False,False,Away,False,4,20,68,32,80,14,20,64,0,1,74,186,522,0.5689655172413793,314,586,0.5358361774744027,44,152,506,0.4308300395256917,0.8888888888888888
