,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-DAKOTA-STATE_homegame,SOUTH-DAKOTA-STATE_homegame2,SOUTH-DAKOTA-STATE_home,SOUTH-DAKOTA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-south-dakota-state,19.0,4,11.9,5,94.6,74.3,26,0.321,70,0.3,21,0.243,17,0.706,12,1,200,77.0,18.8,9,21,57,,6.8,5,0.18600000000000005,13,0.231,3,42.2,35,0.365,9.4,8,57,0.316,18,0.0,0,"November 5, 2019",51.9,14,1.8,1,77.0,81.3,39,0.4920000000000001,59,0.45799999999999996,27,0.35600000000000004,21,0.5710000000000001,12,0,200,94.6,25.7,9,16,70,,5.4,4,0.28800000000000003,17,0.235,4,57.8,48,0.507,13.9,11,42,0.5479999999999999,23,1.0,1,"Frost Arena, Brookings, South Dakota",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,74.0,Home,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota State,summit,0,True,False,True,Home,True,4,23,59,48,83,3,18,70,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-07-20-south-dakota-state,47.4,9,7.1,3,114.7,52.6,20,0.415,59,0.322,19,0.254,15,0.6,9,0,199,77.3,24.4,10,21,58,,9.3,7,0.5589999999999999,33,0.33299999999999996,11,38.0,30,0.439,22.5,19,26,0.308,8,0.0,0,"November 7, 2019",40.0,12,15.4,4,77.3,75.6,31,0.508,65,0.462,30,0.4,26,0.769,20,0,199,114.7,47.4,18,15,86,,10.7,8,0.354,23,0.261,6,62.0,49,0.556,16.4,15,42,0.5710000000000001,24,1.0,2,"Frost Arena, Brookings, South Dakota","Peru State
			","Peru State
			",75.1,Home,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota State,summit,1,True,False,True,Home,True,6,24,65,49,79,11,8,59,1,0,4,23,59,0.4915254237288136,48,83,0.5783132530120482,3,18,70,0.32142857142857145,1.0
2,2019-11-09-22-cal-state-bakersfield,40.0,12,3.1,2,103.4,64.6,31,0.5479999999999999,63,0.47600000000000003,30,0.47600000000000003,30,0.8,24,0,250,105.7,25.0,9,24,93,,8.0,7,0.381,24,0.375,9,47.6,40,0.602,20.0,19,39,0.5379999999999999,21,1.0,3,"November 9, 2019",26.5,9,7.7,3,105.7,75.0,27,0.44,84,0.405,34,0.25,21,0.81,17,1,250,103.4,35.4,17,26,91,,12.5,11,0.226,19,0.316,6,52.4,44,0.484,10.6,11,65,0.431,28,0.5,1,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,70.1,Away,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota State,summit,2,False,False,False,Away,True,9,21,63,40,84,6,28,84,1,0,10,47,124,0.5,97,162,0.5987654320987654,14,26,129,0.3643410852713178,1.0
3,2019-11-12-22-southern-california,56.5,13,2.5,1,107.7,65.9,27,0.45,60,0.38299999999999995,23,0.267,16,0.75,12,1,200,84.6,24.3,9,26,66,,9.0,7,0.517,31,0.258,8,46.2,36,0.488,21.2,18,29,0.517,15,0.75,3,"November 12, 2019",40.7,11,10.3,3,84.6,75.7,28,0.46299999999999997,68,0.397,27,0.441,30,0.7,21,0,200,107.7,34.1,14,15,84,,15.4,12,0.41200000000000003,28,0.321,9,53.8,42,0.511,11.9,11,40,0.45,18,1.0,3,"Galen Center, Los Angeles, California",SOUTH-DAKOTA-STATE,South Dakota State,77.9,Home,SOUTHERN-CALIFORNIA,USC,South Dakota State,summit,3,False,False,False,Away,False,8,15,60,36,78,9,18,68,0,1,19,68,187,0.5160427807486629,137,246,0.556910569105691,20,54,213,0.39436619718309857,1.0
4,2019-11-15-21-nebraska,24.1,7,8.9,4,111.1,71.8,28,0.436,70,0.414,29,0.257,18,0.667,12,2,200,90.1,25.6,11,20,73,,6.2,5,0.3,21,0.14300000000000002,3,47.6,39,0.465,13.3,12,49,0.531,26,0.6,3,"November 15, 2019",45.7,16,6.1,3,90.1,74.4,32,0.542,71,0.493,35,0.324,23,0.565,13,2,200,111.1,28.2,11,19,90,,6.2,5,0.366,26,0.26899999999999996,7,52.4,43,0.5489999999999999,11.9,11,45,0.622,28,0.33299999999999996,1,"Pinnacle Bank Arena, Lincoln, Nebraska",SOUTH-DAKOTA-STATE,South Dakota State,80.7,Home,NEBRASKA,Nebraska,South Dakota State,summit,4,False,False,False,Away,False,3,26,70,39,82,7,28,71,0,1,27,83,247,0.5,173,324,0.5339506172839507,29,72,281,0.4110320284697509,0.75
5,2019-11-19-20-south-dakota-state,44.4,12,6.7,2,109.9,66.7,18,0.5329999999999999,60,0.45,27,0.2,12,0.75,9,3,200,102.8,17.1,6,25,73,,5.6,4,0.38299999999999995,23,0.435,10,38.7,24,0.556,13.3,10,37,0.45899999999999996,17,0.4,2,"November 19, 2019",52.2,12,8.1,3,102.8,82.9,29,0.564,47,0.489,23,0.7020000000000001,33,0.758,25,2,200,109.9,33.3,9,14,78,,4.2,3,0.36200000000000004,17,0.41200000000000003,7,61.3,38,0.622,22.6,18,30,0.5329999999999999,16,0.667,4,"Frost Arena, Brookings, South Dakota",NORTH-ALABAMA,North Alabama,70.7,Home,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota State,summit,5,True,False,True,Home,True,7,16,47,38,62,10,17,60,1,0,30,109,317,0.4858044164037855,212,406,0.5221674876847291,36,100,352,0.4375,0.6
6,2019-11-21-21-arizona,59.1,13,8.3,3,102.9,61.1,22,0.5429999999999999,47,0.46799999999999997,22,0.40399999999999997,19,0.684,13,3,200,92.8,28.0,7,26,64,,8.7,6,0.40399999999999997,19,0.368,7,47.5,29,0.5710000000000001,27.5,21,28,0.536,15,0.5710000000000001,4,"November 21, 2019",39.1,9,10.7,3,92.8,72.0,18,0.462,53,0.434,23,0.5660000000000001,30,0.733,22,0,200,102.9,38.9,14,19,71,14.0,10.1,7,0.321,17,0.17600000000000002,3,52.5,32,0.528,18.5,15,36,0.556,20,1.0,5,"McKale Center, Tucson, Arizona",SOUTH-DAKOTA-STATE,South Dakota State,69.1,Home,ARIZONA,Arizona,South Dakota State,summit,6,False,False,False,Away,False,7,15,47,29,61,3,20,53,0,1,37,125,364,0.4958791208791209,250,468,0.5341880341880342,46,117,412,0.4514563106796117,0.6666666666666666
7,2019-11-24-15-south-dakota-state,18.2,4,12.1,4,123.5,65.2,15,0.366,67,0.32799999999999996,22,0.075,5,1.0,5,6,200,79.4,22.0,9,14,54,,7.4,5,0.32799999999999996,22,0.22699999999999998,5,37.5,24,0.389,10.4,8,45,0.37799999999999995,17,0.0,0,"November 24, 2019",57.6,19,6.7,3,79.4,78.0,32,0.638,58,0.569,33,0.259,15,0.667,10,3,200,123.5,34.8,8,7,84,,7.4,5,0.431,25,0.32,8,62.5,40,0.645,13.4,10,33,0.758,25,0.625,5,"Frost Arena, Brookings, South Dakota",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,67.8,Home,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota State,summit,7,True,False,True,Home,True,8,25,58,40,64,5,17,67,1,0,44,140,411,0.5012165450121655,279,529,0.5274102079395085,49,137,465,0.4526881720430108,0.5714285714285714
8,2019-11-27-20-south-dakota-state,36.7,11,5.6,2,121.1,54.8,17,0.5660000000000001,61,0.4920000000000001,30,0.213,13,0.615,8,4,200,108.5,32.3,10,25,77,,11.3,8,0.344,21,0.429,9,43.5,27,0.573,18.4,15,40,0.525,21,0.5,4,"November 27, 2019",58.6,17,7.5,3,108.5,67.7,21,0.5579999999999999,60,0.483,29,0.41700000000000004,25,0.76,19,3,200,121.1,45.2,14,12,86,,9.9,7,0.4,24,0.375,9,56.5,35,0.598,14.5,12,36,0.556,20,0.667,6,"Frost Arena, Brookings, South Dakota",SAMFORD,Samford,71.0,Home,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota State,summit,8,True,False,True,Home,True,9,20,60,35,62,9,21,61,1,0,52,165,469,0.5181236673773987,319,593,0.5379426644182125,54,154,532,0.4417293233082707,0.625
9,2019-11-30-16-indiana,42.1,8,5.3,2,92.8,55.6,20,0.39299999999999996,56,0.33899999999999997,19,0.14300000000000002,8,0.75,6,4,200,72.5,15.2,5,16,50,,8.7,6,0.5,28,0.214,6,36.2,25,0.418,20.1,15,28,0.46399999999999997,13,0.6,6,"November 30, 2019",50.0,12,25.0,7,72.5,84.8,28,0.474,58,0.414,24,0.31,18,0.5,9,0,200,92.8,44.4,16,15,64,,8.7,6,0.345,20,0.35,7,63.8,44,0.48100000000000004,20.5,17,38,0.447,17,1.0,7,"Assembly Hall, Bloomington, Indiana",SOUTH-DAKOTA-STATE,South Dakota State,68.7,Home,INDIANA,Indiana,South Dakota State,summit,9,False,False,False,Away,False,6,13,56,25,69,7,17,58,0,1,61,185,529,0.5226843100189036,354,655,0.5404580152671755,63,175,593,0.454468802698145,0.6666666666666666
