,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTHERN-METHODIST_homegame,SOUTHERN-METHODIST_homegame2,SOUTHERN-METHODIST_home,SOUTHERN-METHODIST_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-southern-methodist,52.2,12,7.7,3,108.8,58.5,24,0.473,56,0.41100000000000003,23,0.28600000000000003,16,0.75,12,1,200,95.6,39.4,13,19,65,,10.3,7,0.39299999999999996,22,0.318,7,50.0,37,0.511,22.2,18,34,0.47100000000000003,16,0.0,0,"November 5, 2019",57.7,15,5.9,2,95.6,60.6,20,0.475,60,0.433,26,0.41700000000000004,25,0.68,17,0,200,108.8,41.5,17,16,74,,10.3,7,0.35,21,0.23800000000000002,5,50.0,37,0.515,15.5,13,39,0.5379999999999999,21,1.0,1,"Moody Coliseum, Dallas, Texas",JACKSONVILLE-STATE,Jacksonville State,68.2,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,0,True,False,True,Home,True,5,21,60,37,74,7,16,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-12-20-southern-methodist,59.1,13,5.6,2,110.0,70.6,24,0.381,63,0.349,22,0.365,23,0.696,16,2,200,91.4,29.3,12,23,64,,4.3,3,0.381,24,0.16699999999999998,4,48.0,36,0.433,9.9,8,39,0.462,18,0.33299999999999996,1,"November 12, 2019",53.6,15,5.1,2,91.4,70.7,29,0.525,59,0.475,28,0.373,22,0.682,15,0,200,110.0,29.4,10,15,77,,5.7,4,0.39,23,0.261,6,52.0,39,0.5539999999999999,12.7,10,36,0.611,22,1.0,2,"Moody Coliseum, Dallas, Texas",NEW-ORLEANS,New Orleans,69.7,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,1,True,False,True,Home,True,6,22,59,39,75,4,18,63,1,0,5,21,60,0.475,37,74,0.5,7,16,56,0.4732142857142857,1.0
2,2019-11-16-19-southern-methodist,52.0,13,25.9,7,115.9,61.9,13,0.431,65,0.385,25,0.154,10,0.7,7,4,200,91.3,27.8,10,20,63,,18.8,13,0.415,27,0.222,6,40.4,23,0.452,13.7,11,38,0.5,19,0.0,0,"November 16, 2019",73.9,17,15.8,6,91.3,72.2,26,0.611,45,0.511,23,0.6,27,0.9259999999999999,25,0,200,115.9,38.1,8,11,80,,8.7,6,0.4,18,0.5,9,59.6,34,0.6920000000000001,24.0,18,27,0.519,14,1.0,3,"Moody Coliseum, Dallas, Texas",JACKSON-STATE,Jackson State,69.3,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,2,True,False,True,Home,True,9,14,45,34,57,6,19,65,1,0,11,43,119,0.5,76,149,0.5100671140939598,11,34,119,0.4243697478991597,1.0
3,2019-11-18-19-evansville,31.8,7,8.7,2,87.7,93.5,29,0.415,59,0.373,22,0.203,12,0.833,10,0,200,90.8,47.2,17,21,59,,6.2,4,0.35600000000000004,21,0.23800000000000002,5,68.7,46,0.456,20.9,17,38,0.447,17,1.0,4,"November 18, 2019",52.9,9,5.3,2,90.8,52.8,19,0.4270000000000001,48,0.354,17,0.375,18,0.889,16,1,200,87.7,6.5,2,13,57,,9.2,6,0.521,25,0.28,7,31.3,21,0.504,15.2,10,23,0.435,10,0.75,3,"Ford Center, Evansville, Indiana",EVANSVILLE,Evansville,64.6,Away,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,3,False,False,False,Away,True,5,17,59,46,67,7,10,48,1,0,20,57,164,0.5304878048780488,110,206,0.5339805825242718,17,53,184,0.4266304347826087,1.0
4,2019-11-23-22-nevada-las-vegas,61.5,16,15.0,3,111.5,58.8,20,0.5770000000000001,52,0.5,26,0.231,12,1.0,12,0,200,118.0,16.7,4,20,72,,4.9,3,0.442,23,0.348,8,41.4,24,0.624,14.9,10,29,0.621,18,1.0,5,"November 23, 2019",78.9,15,17.2,5,118.0,83.3,20,0.47200000000000003,53,0.358,19,0.45299999999999996,24,0.75,18,5,200,111.5,41.2,14,14,68,,6.6,4,0.623,33,0.364,12,58.6,34,0.528,11.2,8,20,0.35,7,0.28600000000000003,2,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,61.1,Away,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,4,False,False,False,Away,True,8,18,52,24,58,12,7,53,1,0,25,74,223,0.5,156,273,0.5714285714285714,24,63,232,0.4267241379310345,1.0
5,2019-11-27-19-southern-methodist,70.0,14,7.1,3,136.4,62.9,22,0.491,54,0.37,20,0.13,7,0.7140000000000001,5,4,200,87.9,11.4,4,18,58,,4.5,3,0.63,34,0.382,13,37.1,26,0.506,17.4,12,20,0.35,7,0.5,4,"November 27, 2019",61.8,21,5.0,1,87.9,88.6,31,0.597,67,0.507,34,0.239,16,0.625,10,0,200,136.4,37.1,13,14,90,,9.1,6,0.373,25,0.48,12,62.9,44,0.603,7.5,6,42,0.524,22,1.0,6,"Moody Coliseum, Dallas, Texas",HARTFORD,Hartford,66.5,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,5,True,False,True,Home,True,12,22,67,44,70,13,7,54,1,0,33,92,275,0.5145454545454545,180,331,0.5438066465256798,36,70,285,0.4350877192982456,1.0
6,2019-11-29-20-southern-methodist,47.1,8,0.0,0,116.7,77.8,14,0.375,52,0.327,17,0.28800000000000003,15,0.8,12,5,200,85.0,20.6,7,16,51,,11.7,7,0.365,19,0.263,5,40.4,21,0.431,13.3,9,33,0.364,12,0.28600000000000003,2,"November 29, 2019",57.7,15,15.2,5,85.0,79.4,27,0.7020000000000001,42,0.619,26,0.33299999999999996,14,0.7859999999999999,11,0,200,116.7,22.2,4,16,70,,11.7,7,0.405,17,0.41200000000000003,7,59.6,31,0.7190000000000001,22.5,14,25,0.76,19,1.0,7,"Moody Coliseum, Dallas, Texas",ABILENE-CHRISTIAN,Abilene Christian,59.9,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,6,True,False,True,Home,True,7,19,42,31,52,5,12,52,1,0,45,114,342,0.5307017543859649,224,401,0.5586034912718204,49,77,339,0.443952802359882,1.0
7,2019-12-03-20-southern-methodist,65.0,13,9.5,4,108.5,58.1,18,0.381,59,0.33899999999999997,20,0.18600000000000005,11,0.545,6,5,200,71.8,18.4,7,22,51,,7.0,5,0.373,22,0.22699999999999998,5,36.2,25,0.397,18.0,14,37,0.405,15,0.28600000000000003,2,"December 3, 2019",69.2,18,5.4,2,71.8,81.6,31,0.467,61,0.426,26,0.39299999999999996,24,0.833,20,0,200,108.5,41.9,13,12,77,,14.1,10,0.311,19,0.263,5,63.8,44,0.532,14.4,12,42,0.5,21,1.0,8,"Moody Coliseum, Dallas, Texas",NORTHWESTERN-STATE,Northwestern State,71.3,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,7,True,False,True,Home,True,5,21,61,44,69,5,15,59,1,0,52,133,384,0.5494791666666666,255,453,0.5629139072847682,54,89,391,0.43478260869565216,1.0
8,2019-12-07-21-southern-methodist,76.5,26,12.5,4,105.7,59.0,23,0.672,61,0.557,34,0.16399999999999998,10,0.9,9,3,200,130.0,32.0,8,20,91,,8.6,6,0.44299999999999995,27,0.519,14,48.4,31,0.6920000000000001,15.5,12,34,0.588,20,0.667,6,"December 7, 2019",66.7,14,5.9,2,130.0,68.0,17,0.424,59,0.35600000000000004,21,0.508,30,0.8,24,1,200,105.7,41.0,16,13,74,,11.4,8,0.45799999999999996,27,0.29600000000000004,8,51.6,33,0.505,15.3,13,32,0.406,13,0.889,8,"Moody Coliseum, Dallas, Texas",SOUTHERN-METHODIST,SMU,70.0,Away,GEORGETOWN,Georgetown,Southern Methodist,aac,8,False,True,True,Home,False,8,13,59,33,64,14,20,61,0,1,57,154,445,0.5382022471910113,299,522,0.5727969348659003,59,104,450,0.42777777777777776,1.0
9,2019-12-20-19-georgia,54.3,19,4.9,2,103.6,73.0,27,0.44799999999999995,87,0.402,35,0.138,12,0.583,7,2,250,101.2,45.3,24,15,85,,10.7,9,0.368,32,0.25,8,56.7,51,0.45799999999999996,12.3,13,55,0.491,27,0.8,8,"December 20, 2019",48.5,16,12.7,7,101.2,54.7,29,0.534,73,0.452,33,0.16399999999999998,12,0.75,9,3,250,103.6,27.0,10,18,87,,7.1,6,0.43799999999999994,32,0.375,12,43.3,39,0.5529999999999999,18.7,18,41,0.512,21,0.7,7,"Stegeman Coliseum, Athens, Georgia",SOUTHERN-METHODIST,SMU,67.4,Home,GEORGIA,Georgia,Southern Methodist,aac,9,False,False,False,Away,False,8,27,87,51,90,12,21,73,0,1,65,167,504,0.5248015873015873,332,586,0.5665529010238908,73,124,511,0.4569471624266145,0.8888888888888888
