,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TULANE_homegame,TULANE_homegame2,TULANE_home,TULANE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-tulane,54.2,13,5.7,2,100.0,74.4,29,0.434,61,0.39299999999999996,24,0.18,11,0.182,2,1,200,72.4,24.4,10,24,55,,3.9,3,0.45899999999999996,28,0.179,5,48.8,39,0.415,22.4,19,33,0.5760000000000001,19,0.0,0,"November 6, 2019",57.7,15,6.1,2,72.4,75.6,31,0.47600000000000003,63,0.413,26,0.381,24,0.667,16,0,200,100.0,25.6,10,15,76,,13.2,10,0.444,28,0.28600000000000003,8,51.3,41,0.511,14.0,12,35,0.514,18,1.0,1,"Devlin Fieldhouse, New Orleans, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,75.8,Home,TULANE,Tulane,Tulane,aac,0,True,False,True,Home,True,8,18,63,41,80,5,19,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-12-20-tulane,64.3,18,8.1,3,123.9,71.4,15,0.541,61,0.45899999999999996,28,0.27899999999999997,17,0.765,13,3,200,111.3,38.7,12,21,79,,8.5,6,0.39299999999999996,24,0.41700000000000004,10,51.9,27,0.5720000000000001,16.0,13,37,0.486,18,0.0,0,"November 12, 2019",46.7,14,8.1,3,111.3,61.3,19,0.611,54,0.556,30,0.556,30,0.733,22,0,200,123.9,28.6,6,14,88,,9.9,7,0.315,17,0.353,6,48.1,25,0.645,11.8,9,37,0.649,24,1.0,2,"Devlin Fieldhouse, New Orleans, Louisiana",JACKSON-STATE,Jackson State,70.7,Home,TULANE,Tulane,Tulane,aac,1,True,False,True,Home,True,6,24,54,25,52,10,18,61,1,0,8,18,63,0.4761904761904762,41,80,0.5125,5,19,61,0.4344262295081967,1.0
2,2019-11-16-14-tulane,50.0,10,2.8,1,98.8,74.2,23,0.42100000000000004,57,0.35100000000000003,20,0.193,11,0.364,4,3,200,65.0,9.7,3,24,52,,6.3,5,0.544,31,0.258,8,41.9,26,0.418,25.4,21,26,0.462,12,0.25,1,"November 16, 2019",78.3,18,7.7,2,65.0,90.3,28,0.491,56,0.41100000000000003,23,0.625,35,0.6859999999999999,24,0,200,98.8,25.8,8,11,79,,17.5,14,0.35700000000000004,20,0.45,9,58.1,36,0.544,17.4,15,36,0.389,14,1.0,3,"Devlin Fieldhouse, New Orleans, Louisiana",NORTHWESTERN-STATE,Northwestern State,79.9,Home,TULANE,Tulane,Tulane,aac,2,True,False,True,Home,True,9,14,56,36,62,8,12,57,1,0,14,42,117,0.5384615384615384,66,132,0.5,15,37,122,0.4877049180327869,1.0
3,2019-11-21-14-tulane,73.1,19,8.8,3,95.7,85.7,30,0.733,43,0.605,26,0.488,21,0.81,17,0,200,115.9,50.0,9,15,80,,8.7,6,0.465,20,0.55,11,73.6,39,0.755,31.5,24,23,0.652,15,1.0,5,"November 21, 2019",56.5,13,4.3,1,115.9,50.0,9,0.466,59,0.39,23,0.203,12,0.917,11,1,200,95.7,14.3,5,14,66,,20.3,14,0.424,25,0.36,9,26.4,14,0.51,14.6,11,34,0.41200000000000003,14,0.75,3,"The HTC Center, Conway, South Carolina",TULANE,Tulane,69.3,Away,MISSISSIPPI-STATE,Mississippi State,Tulane,aac,3,False,True,True,Home,False,9,14,59,14,53,11,15,43,0,1,23,56,173,0.5231213872832371,102,194,0.5257731958762887,23,49,179,0.4664804469273743,1.0
4,2019-11-22-12-middle-tennessee,54.2,13,0.0,0,102.8,78.6,22,0.6,50,0.48,24,0.6,30,0.867,26,1,200,119.4,28.0,7,15,86,,13.9,10,0.48,24,0.5,12,54.7,29,0.669,18.1,14,26,0.462,12,0.8,4,"November 22, 2019",70.0,21,7.7,2,119.4,72.0,18,0.603,58,0.517,30,0.121,7,0.5710000000000001,4,3,200,102.8,21.4,6,17,74,,6.9,5,0.44799999999999995,26,0.385,10,45.3,24,0.603,21.8,17,32,0.625,20,0.5,3,"The HTC Center, Conway, South Carolina",MIDDLE-TENNESSEE,Middle Tennessee,71.8,Away,TULANE,Tulane,Tulane,aac,4,False,False,False,Away,True,12,12,50,29,53,10,20,58,1,0,32,70,232,0.5086206896551724,116,247,0.4696356275303644,34,64,222,0.5180180180180181,0.75
5,2019-11-24-10-utah,53.8,14,3.3,1,91.0,70.0,14,0.518,57,0.456,26,0.12300000000000001,7,0.857,6,1,200,97.0,17.9,5,12,65,,10.4,7,0.368,21,0.33299999999999996,7,39.6,19,0.539,16.6,12,36,0.528,19,0.833,5,"November 24, 2019",60.9,14,5.6,2,97.0,82.1,23,0.552,48,0.479,23,0.22899999999999998,11,0.727,8,2,200,91.0,30.0,6,13,61,,7.5,5,0.375,18,0.389,7,60.4,29,0.573,26.4,19,30,0.5329999999999999,16,0.667,4,"The HTC Center, Conway, South Carolina",UTAH,Utah,66.8,Away,TULANE,Tulane,Tulane,aac,5,False,False,False,Away,True,7,19,57,19,48,7,16,48,1,0,44,82,282,0.524822695035461,145,300,0.4833333333333333,44,84,280,0.5357142857142857,0.8
6,2019-12-01-14-tulane,73.9,17,15.6,5,110.8,75.0,21,0.413,63,0.365,23,0.317,20,0.65,13,5,200,87.8,37.5,15,25,65,,6.8,5,0.413,26,0.231,6,52.9,36,0.44799999999999995,17.3,15,37,0.45899999999999996,17,0.375,3,"December 1, 2019",39.3,11,10.8,4,87.8,62.5,25,0.602,54,0.519,28,0.5,27,0.63,17,1,200,110.8,25.0,7,22,82,,10.8,8,0.40700000000000003,22,0.409,9,47.1,32,0.614,18.5,15,32,0.594,19,0.857,6,"Devlin Fieldhouse, New Orleans, Louisiana",SOUTHERN,Southern,73.7,Home,TULANE,Tulane,Tulane,aac,6,True,False,True,Home,True,9,19,54,32,68,6,17,63,1,0,51,101,339,0.5235988200589969,164,348,0.4712643678160919,51,100,328,0.5381097560975611,0.8333333333333334
7,2019-12-04-20-southern-mississippi,45.0,9,16.7,6,82.4,77.8,28,0.5,45,0.444,20,0.467,21,0.762,16,1,200,89.7,17.2,5,6,61,,8.8,6,0.467,21,0.23800000000000002,5,50.8,33,0.555,25.9,19,24,0.625,15,0.875,7,"December 4, 2019",47.8,11,8.3,2,89.7,82.8,24,0.434,61,0.377,23,0.066,4,0.75,3,7,200,82.4,22.2,8,16,56,,10.3,7,0.41,25,0.28,7,49.2,32,0.445,17.2,13,36,0.444,16,0.222,2,"Reed Green Coliseum, Hattiesburg, Mississippi",SOUTHERN-MISSISSIPPI,Southern Miss,68.4,Away,TULANE,Tulane,Tulane,aac,7,False,False,False,Away,True,5,15,45,33,65,7,16,61,1,0,60,120,393,0.5343511450381679,196,416,0.4711538461538462,57,117,391,0.5179028132992327,0.8571428571428571
8,2019-12-08-13-tulane,60.6,20,2.4,1,96.9,71.1,32,0.6920000000000001,60,0.55,33,0.11699999999999999,7,0.429,3,1,200,134.4,37.0,10,18,86,,6.3,4,0.467,28,0.607,17,58.3,42,0.679,14.8,11,32,0.5,16,0.889,8,"December 8, 2019",29.2,7,0.0,0,134.4,63.0,17,0.45899999999999996,61,0.39299999999999996,24,0.262,16,0.375,6,2,200,96.9,28.9,13,11,62,,9.4,6,0.32799999999999996,20,0.4,8,41.7,30,0.452,10.5,8,41,0.39,16,0.778,7,"Talking Stick Resort Arena, Phoenix, Arizona",TULANE,Tulane,64.0,Away,SAINT-LOUIS,Saint Louis,Tulane,aac,8,False,True,True,Home,False,8,16,61,30,72,17,16,60,0,1,65,135,438,0.5308219178082192,229,481,0.4760914760914761,64,133,452,0.5066371681415929,0.875
9,2019-12-16-20-tulane,43.5,10,9.4,3,95.8,80.0,28,0.519,52,0.442,23,0.077,4,0.75,3,6,200,80.3,8.3,2,19,57,,7.0,5,0.423,22,0.364,8,50.8,30,0.529,26.1,19,30,0.5,15,0.33299999999999996,3,"December 16, 2019",68.2,15,0.0,0,80.3,91.7,22,0.4270000000000001,62,0.355,22,0.306,19,0.789,15,2,200,95.8,20.0,7,7,68,,18.3,13,0.484,30,0.3,9,49.2,29,0.479,10.2,8,32,0.406,13,0.8,8,"Devlin Fieldhouse, New Orleans, Louisiana",ALCORN-STATE,Alcorn State,71.5,Home,TULANE,Tulane,Tulane,aac,9,True,False,True,Home,True,9,13,62,29,59,8,15,52,1,0,73,151,499,0.5220440881763527,259,553,0.4683544303797468,81,149,512,0.5283203125,0.7777777777777778
