,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA-GREENSBORO_homegame,NORTH-CAROLINA-GREENSBORO_homegame2,NORTH-CAROLINA-GREENSBORO_home,NORTH-CAROLINA-GREENSBORO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-north-carolina-greensboro,53.3,8,13.8,4,118.6,63.2,24,0.37,46,0.326,15,0.565,26,0.615,16,1,200,71.4,23.5,8,22,50,,8.6,6,0.37,17,0.235,4,44.4,32,0.428,23.9,18,29,0.379,11,0.0,0,"November 5, 2019",63.0,17,20.7,6,71.4,76.5,26,0.516,63,0.429,27,0.429,27,0.667,18,0,200,118.6,36.8,14,20,83,,17.1,12,0.54,34,0.324,11,55.6,40,0.547,11.8,10,29,0.552,16,1.0,1,"Greensboro Coliseum, Greensboro, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,70.1,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,0,True,False,True,Home,True,11,16,63,40,72,4,11,46,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-21-kansas,45.8,11,9.1,3,107.2,70.6,24,0.452,62,0.387,24,0.21,13,0.462,6,1,200,89.9,21.1,8,18,62,,7.2,5,0.5,31,0.258,8,44.4,32,0.455,11.7,9,31,0.516,16,0.5,1,"November 8, 2019",55.6,15,6.5,2,89.9,78.9,30,0.542,59,0.45799999999999996,27,0.322,19,0.526,10,1,200,107.2,29.4,10,12,74,3.0,7.2,5,0.441,26,0.385,10,55.6,40,0.544,12.9,10,33,0.515,17,0.5,1,"Allen Fieldhouse, Lawrence, Kansas",NORTH-CAROLINA-GREENSBORO,UNC Greensboro,68.6,Home,KANSAS,Kansas,UNC Greensboro,southern,1,False,False,False,Away,False,8,16,62,32,72,10,17,59,0,1,11,16,63,0.5158730158730159,40,72,0.5555555555555556,4,11,46,0.3695652173913043,1.0
2,2019-11-11-19-north-carolina-greensboro,47.6,10,0.0,0,138.0,58.3,14,0.414,58,0.36200000000000004,21,0.10300000000000001,6,0.5,3,0,200,64.6,15.2,5,25,51,,7.6,6,0.414,24,0.25,6,33.3,19,0.419,28.4,24,34,0.441,15,0.0,0,"November 11, 2019",61.5,24,23.5,8,64.6,84.8,28,0.738,61,0.639,39,0.475,29,0.655,19,1,200,138.0,41.7,10,13,109,,15.2,12,0.45899999999999996,28,0.429,12,66.7,38,0.7290000000000001,16.0,14,33,0.818,27,0.667,2,"Greensboro Coliseum, Greensboro, North Carolina","Averett
			","Averett
			",79.3,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,2,True,False,True,Home,True,12,27,61,38,57,6,15,58,1,0,19,32,125,0.484,72,144,0.5,14,28,105,0.4666666666666667,0.5
3,2019-11-15-19-north-carolina-greensboro,27.3,3,5.6,2,91.4,75.0,27,0.255,49,0.22399999999999998,11,0.184,9,0.556,5,3,200,42.9,21.6,8,11,30,,4.3,3,0.449,22,0.136,3,47.9,35,0.282,32.1,25,27,0.29600000000000004,8,0.25,1,"November 15, 2019",55.6,15,22.2,6,42.9,78.4,29,0.4920000000000001,62,0.435,27,0.21,13,0.231,3,1,200,91.4,25.0,9,10,64,,20.0,14,0.419,26,0.26899999999999996,7,52.1,38,0.469,14.0,11,36,0.556,20,0.75,3,"Greensboro Coliseum, Greensboro, North Carolina",TENNESSEE-TECH,Tennessee Tech,70.2,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,3,True,False,True,Home,True,7,20,62,38,73,3,8,49,1,0,31,59,186,0.5672043010752689,110,201,0.5472636815920398,20,43,163,0.4478527607361963,0.6666666666666666
4,2019-11-16-18-north-carolina-greensboro,57.1,12,3.2,1,93.0,73.5,25,0.613,40,0.525,21,0.575,23,0.7829999999999999,18,1,200,94.4,16.7,3,13,67,,8.5,6,0.35,14,0.5,7,53.8,28,0.6579999999999999,29.5,21,26,0.5379999999999999,14,0.75,3,"November 16, 2019",56.0,14,19.2,5,94.4,83.3,15,0.442,69,0.36200000000000004,25,0.145,10,0.5,5,2,200,93.0,26.5,9,21,66,,16.9,12,0.551,38,0.289,11,46.2,24,0.447,10.9,9,31,0.452,14,0.6,3,"Greensboro Coliseum, Greensboro, North Carolina",NORTH-CAROLINA-GREENSBORO,UNC Greensboro,71.3,Away,MONTANA-STATE,Montana State,UNC Greensboro,southern,4,False,True,True,Home,False,11,14,69,24,52,7,14,40,0,1,38,79,248,0.5483870967741935,148,274,0.5401459854014599,23,51,212,0.4033018867924528,0.75
5,2019-11-18-19-north-carolina-greensboro,25.0,4,15.8,6,82.1,73.2,30,0.336,55,0.29100000000000004,16,0.327,18,0.222,4,3,200,61.2,31.8,14,10,41,,9.0,6,0.327,18,0.278,5,51.8,44,0.32299999999999995,18.2,14,37,0.297,11,0.5,3,"November 18, 2019",50.0,11,18.9,7,61.2,68.2,30,0.396,67,0.32799999999999996,22,0.09,6,0.33299999999999996,2,2,200,82.1,26.8,11,18,55,,13.4,9,0.433,29,0.31,9,48.2,41,0.39399999999999996,13.6,11,38,0.342,13,0.667,4,"Greensboro Coliseum, Greensboro, North Carolina",APPALACHIAN-STATE,Appalachian State,66.7,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,5,True,False,True,Home,True,9,13,67,41,85,5,11,55,1,0,49,93,317,0.5252365930599369,172,326,0.5276073619631901,30,65,252,0.4365079365079365,0.6
6,2019-11-24-15-north-carolina-greensboro,59.1,13,5.9,2,108.8,66.7,20,0.51,52,0.423,22,0.212,11,0.909,10,6,200,92.6,15.4,4,21,63,,8.8,6,0.442,23,0.391,9,42.9,24,0.55,20.9,15,29,0.44799999999999995,13,0.25,2,"November 24, 2019",44.0,11,20.7,6,92.6,84.6,22,0.528,54,0.46299999999999997,25,0.46299999999999997,25,0.68,17,2,200,108.8,33.3,10,12,74,,5.9,4,0.37,20,0.35,7,57.1,32,0.562,14.5,11,34,0.529,18,0.7140000000000001,5,"Greensboro Coliseum, Greensboro, North Carolina",VIRGINIA-MILITARY-INSTITUTE,VMI,67.6,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,6,True,False,True,Home,True,7,18,54,32,56,9,13,52,1,0,58,106,384,0.5026041666666666,213,411,0.5182481751824818,35,76,307,0.4185667752442997,0.6666666666666666
7,2019-11-30-14-georgetown,54.2,13,7.3,3,84.7,64.9,24,0.4370000000000001,63,0.381,24,0.20600000000000002,13,0.769,10,2,200,90.3,38.2,13,18,65,,19.4,14,0.397,25,0.28,7,52.1,37,0.47,18.9,16,38,0.447,17,0.75,6,"November 30, 2019",52.4,11,15.8,6,90.3,61.8,21,0.41200000000000003,57,0.368,21,0.35100000000000003,20,0.7,14,3,200,84.7,35.1,13,14,61,,12.5,9,0.281,16,0.313,5,47.9,34,0.45899999999999996,21.5,18,41,0.39,16,0.5710000000000001,4,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,71.8,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,7,False,False,False,Away,True,7,17,63,37,71,5,16,57,1,0,65,124,438,0.5057077625570776,245,467,0.5246252676659529,44,89,359,0.43175487465181056,0.7142857142857143
8,2019-12-04-19-north-carolina-greensboro,26.7,4,0.0,0,110.8,62.1,18,0.434,38,0.395,15,0.895,34,0.618,21,7,200,83.1,39.3,11,20,54,,10.8,7,0.21100000000000002,8,0.375,3,50.9,29,0.499,26.4,19,30,0.4,12,0.0,0,"December 4, 2019",37.0,10,26.7,8,83.1,60.7,17,0.536,56,0.48200000000000004,27,0.268,15,0.8,12,2,200,110.8,37.9,11,28,72,,7.7,5,0.429,24,0.25,6,49.1,28,0.57,20.4,16,32,0.6559999999999999,21,0.778,7,"Fleming Gymnasium, Greensboro, North Carolina",KENNESAW-STATE,Kennesaw State,65.1,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,8,True,False,True,Home,True,6,21,56,28,57,3,12,38,1,0,72,141,501,0.4970059880239521,282,538,0.5241635687732342,49,105,416,0.4290865384615384,0.75
9,2019-12-07-16-radford,48.0,12,12.0,3,96.7,78.6,22,0.4920000000000001,60,0.41700000000000004,25,0.11699999999999999,7,0.14300000000000002,1,2,200,100.0,26.5,9,18,60,,3.3,2,0.5,30,0.3,9,50.0,31,0.474,10.0,7,30,0.5329999999999999,16,0.8,8,"December 7, 2019",50.0,11,6.7,2,100.0,73.5,25,0.565,46,0.478,22,0.37,17,0.353,6,5,200,96.7,21.4,6,15,58,,3.3,2,0.457,21,0.381,8,50.0,31,0.536,17.1,11,25,0.56,14,0.375,3,"Donald N. Dedmon Center, Radford, Virginia",RADFORD,Radford,60.2,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,9,False,False,False,Away,True,9,16,60,31,62,8,14,46,1,0,78,162,557,0.5008976660682226,310,595,0.5210084033613446,52,117,454,0.42951541850220265,0.7777777777777778
