,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA-WILMINGTON_homegame,NORTH-CAROLINA-WILMINGTON_homegame2,NORTH-CAROLINA-WILMINGTON_home,NORTH-CAROLINA-WILMINGTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-north-carolina-wilmington,36.4,12,4.7,2,114.4,70.0,28,0.527,74,0.446,33,0.10800000000000001,8,0.625,5,0,200,92.2,24.4,10,24,83,,10.0,9,0.419,31,0.387,12,46.9,38,0.5329999999999999,22.9,23,43,0.488,21,0.0,0,"November 5, 2019",38.9,14,4.7,2,92.2,75.6,31,0.568,73,0.493,36,0.425,31,0.645,20,0,200,114.4,30.0,12,12,103,,13.3,12,0.41100000000000003,30,0.3670000000000001,11,53.1,43,0.5870000000000001,13.9,14,43,0.581,25,1.0,1,"Trask Coliseum, Wilmington, North Carolina","Johnson &amp; Wales (NC)
			","Johnson &amp; Wales (NC)
			",90.3,Home,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,UNC Wilmington,colonial,0,True,False,True,Home,True,11,25,73,43,81,12,21,74,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-north-carolina-wilmington,48.1,13,6.8,3,78.5,77.6,38,0.431,72,0.375,27,0.41700000000000004,30,0.5329999999999999,16,0,200,98.7,26.0,13,15,78,9.0,6.3,5,0.34700000000000003,25,0.32,8,51.5,51,0.452,8.6,8,47,0.40399999999999997,19,1.0,2,"November 8, 2019",48.0,12,0.0,0,98.7,74.0,37,0.382,72,0.34700000000000003,25,0.153,11,0.636,7,1,200,78.5,22.4,11,22,62,,6.3,5,0.389,28,0.179,5,48.5,48,0.401,12.5,11,44,0.455,20,0.5,1,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,79.2,Away,NORTH-CAROLINA,UNC,UNC Wilmington,colonial,1,False,True,True,Home,False,5,20,72,48,99,8,19,72,0,1,11,25,73,0.5684931506849316,43,81,0.5308641975308642,12,21,74,0.527027027027027,1.0
2,2019-11-12-19-north-carolina-wilmington,33.3,11,6.5,2,111.0,73.9,17,0.48,74,0.446,33,0.095,7,0.7140000000000001,5,1,225,104.1,32.4,12,21,76,,12.3,9,0.284,21,0.23800000000000002,5,48.3,29,0.491,11.5,10,53,0.528,28,0.667,2,"November 12, 2019",52.0,13,7.5,4,104.1,67.6,25,0.615,48,0.521,25,0.542,26,0.846,22,1,225,111.0,26.1,6,12,81,,4.1,3,0.354,17,0.529,9,51.7,31,0.6709999999999999,22.2,17,31,0.516,16,0.667,2,"Trask Coliseum, Wilmington, North Carolina",CAMPBELL,Campbell,65.2,Home,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,UNC Wilmington,colonial,2,True,False,True,Home,True,9,16,48,31,60,5,28,74,1,0,16,45,145,0.4758620689655173,91,180,0.5055555555555555,20,40,146,0.4794520547945205,0.5
3,2019-11-16-19-davidson,57.9,11,2.9,1,127.9,68.0,17,0.451,51,0.373,19,0.157,8,0.375,3,2,200,72.1,11.8,4,14,49,,5.9,4,0.47100000000000003,24,0.33299999999999996,8,35.6,21,0.447,23.8,17,27,0.40700000000000003,11,0.5,2,"November 16, 2019",48.5,16,3.7,1,72.1,88.2,30,0.6579999999999999,60,0.55,33,0.183,11,0.727,8,2,200,127.9,32.0,8,11,87,,5.9,4,0.433,26,0.5,13,64.4,38,0.667,13.4,10,34,0.588,20,0.33299999999999996,1,"Belk Arena, Davidson, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,67.5,Home,DAVIDSON,Davidson,UNC Wilmington,colonial,3,False,False,False,Away,False,8,11,51,21,59,13,20,60,0,1,25,61,193,0.5103626943005182,122,240,0.5083333333333333,25,68,220,0.4795454545454546,0.6666666666666666
4,2019-11-19-19-north-carolina-wilmington,36.4,8,0.0,0,152.7,68.2,15,0.355,62,0.355,22,0.21,13,0.6920000000000001,9,0,200,71.6,23.1,9,7,53,,6.8,5,0.306,19,0.0,0,39.3,24,0.389,18.1,15,43,0.512,22,0.0,0,"November 19, 2019",51.1,23,4.7,2,71.6,76.9,30,0.799,67,0.672,45,0.11900000000000001,8,0.75,6,2,200,152.7,31.8,7,8,113,,12.2,9,0.44799999999999995,30,0.5670000000000001,17,60.7,37,0.7979999999999999,12.4,10,37,0.757,28,0.6,3,"Trask Coliseum, Wilmington, North Carolina","North Carolina Wesleyan
			","North Carolina Wesleyan
			",74.0,Home,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,UNC Wilmington,colonial,4,True,False,True,Home,True,17,28,67,37,61,0,22,62,1,0,33,72,244,0.4979508196721312,143,299,0.4782608695652174,38,88,280,0.5178571428571429,0.5
5,2019-11-22-13-north-carolina-wilmington,60.0,12,16.1,5,69.7,80.6,25,0.38,54,0.37,20,0.204,11,0.545,6,4,200,71.2,28.9,11,23,47,,7.6,5,0.185,10,0.1,1,52.2,36,0.397,22.4,17,44,0.4320000000000001,19,0.33299999999999996,2,"November 22, 2019",50.0,6,11.4,5,71.2,71.1,27,0.307,44,0.273,12,0.636,28,0.679,19,3,200,69.7,19.4,6,20,46,,7.6,5,0.295,13,0.231,3,47.8,33,0.401,21.0,15,31,0.29,9,0.5,3,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,65.8,Away,CLEVELAND-STATE,Cleveland State,UNC Wilmington,colonial,5,False,True,True,Home,False,3,9,44,33,69,1,19,54,0,1,50,100,311,0.5627009646302251,180,360,0.5,38,110,342,0.4883040935672514,0.6
6,2019-11-23-13-north-carolina-wilmington,40.9,9,15.7,8,83.5,70.3,26,0.419,62,0.355,22,0.29,18,0.611,11,3,200,79.7,18.4,7,19,63,,10.1,8,0.387,24,0.33299999999999996,8,44.0,33,0.446,16.7,14,38,0.368,14,0.5,3,"November 23, 2019",28.0,7,10.5,4,79.7,81.6,31,0.386,66,0.379,25,0.303,20,0.75,15,3,200,83.5,29.7,11,14,66,,6.3,5,0.22699999999999998,15,0.067,1,56.0,42,0.4370000000000001,16.7,15,51,0.47100000000000003,24,0.5710000000000001,4,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",FLORIDA-INTERNATIONAL,Florida International,78.5,Home,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,UNC Wilmington,colonial,6,True,False,True,Home,True,1,24,66,42,75,8,14,62,1,0,53,109,355,0.5309859154929577,213,429,0.4965034965034965,39,129,396,0.4734848484848485,0.5
7,2019-11-26-19-north-carolina-wilmington,41.7,10,2.4,1,160.5,45.8,11,0.508,59,0.40700000000000003,24,0.18600000000000005,11,0.545,6,0,200,86.8,16.2,6,19,66,,7.9,6,0.542,32,0.375,12,27.9,17,0.514,21.0,17,27,0.444,12,0.0,0,"November 26, 2019",72.3,34,18.5,5,86.8,83.8,31,0.813,67,0.701,47,0.299,20,0.65,13,3,200,160.5,54.2,13,6,122,,13.2,10,0.373,25,0.6,15,72.1,44,0.797,15.6,14,42,0.762,32,0.625,5,"Trask Coliseum, Wilmington, North Carolina","Emory &amp; Henry
			","Emory &amp; Henry
			",76.4,Home,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,UNC Wilmington,colonial,7,True,False,True,Home,True,15,32,67,44,61,12,12,59,1,0,54,133,421,0.5083135391923991,255,504,0.5059523809523809,47,143,458,0.4661572052401747,0.5714285714285714
8,2019-11-29-21-boise-state,36.4,8,0.0,0,112.7,82.8,24,0.4270000000000001,55,0.4,22,0.255,14,0.857,12,4,200,83.1,14.3,4,23,59,,5.6,4,0.218,12,0.25,3,49.1,28,0.479,15.2,11,43,0.442,19,0.556,5,"November 29, 2019",56.7,17,9.3,4,83.1,85.7,24,0.5329999999999999,61,0.4920000000000001,30,0.361,22,0.682,15,2,200,112.7,17.2,5,16,80,,5.6,4,0.361,22,0.22699999999999998,5,50.9,29,0.56,9.0,7,39,0.6409999999999999,25,0.667,4,"ExtraMile Arena, Boise, Idaho",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,71.1,Home,BOISE-STATE,Boise State,UNC Wilmington,colonial,8,False,False,False,Away,False,3,19,55,28,57,5,25,61,0,1,69,165,488,0.5502049180327869,299,565,0.5292035398230088,59,155,517,0.4709864603481625,0.625
9,2019-12-01-16-stanford,63.6,14,0.0,0,110.8,78.6,22,0.491,55,0.4,22,0.036000000000000004,2,0.0,0,5,200,83.1,13.8,4,15,54,,3.1,2,0.382,21,0.47600000000000003,10,45.6,26,0.483,21.2,15,34,0.353,12,0.5,5,"December 1, 2019",60.7,17,14.7,5,83.1,86.2,25,0.593,54,0.519,28,0.204,11,0.727,8,1,200,110.8,21.4,6,8,72,,9.2,6,0.46299999999999997,25,0.32,8,54.4,31,0.608,14.5,10,29,0.69,20,0.889,8,"Maples Pavilion, Stanford, California",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,65.1,Home,STANFORD,Stanford,UNC Wilmington,colonial,9,False,False,False,Away,False,10,12,55,26,57,8,20,54,0,1,72,184,543,0.5377532228360957,327,622,0.5257234726688103,64,180,578,0.4775086505190311,0.5555555555555556
10,2019-12-07-14-north-carolina-wilmington,45.2,14,10.0,3,85.1,83.9,26,0.63,54,0.574,31,0.204,11,0.727,8,4,200,113.4,10.0,2,13,76,,16.4,11,0.24100000000000002,13,0.462,6,54.9,28,0.642,15.8,11,41,0.61,25,0.5,4,"December 7, 2019",80.0,16,14.6,6,113.4,90.0,18,0.462,52,0.385,20,0.25,13,0.6920000000000001,9,6,200,85.1,16.1,5,10,57,,7.5,5,0.423,22,0.364,8,45.1,23,0.49,18.4,13,30,0.4,12,0.455,5,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,67.2,Away,CHARLOTTE,Charlotte,UNC Wilmington,colonial,10,False,True,True,Home,False,8,12,52,23,51,6,25,54,0,1,82,196,598,0.5334448160535117,353,679,0.5198821796759941,72,200,632,0.4873417721518987,0.5
11,2019-12-16-19-north-carolina-wilmington,69.2,18,2.5,1,90.0,69.2,27,0.4920000000000001,64,0.406,26,0.172,11,0.818,9,6,200,102.9,36.1,13,20,72,,8.6,6,0.5,32,0.344,11,53.3,40,0.52,15.9,13,32,0.469,15,0.455,5,"December 16, 2019",58.3,14,6.3,2,102.9,63.9,23,0.457,58,0.414,24,0.414,24,0.41700000000000004,10,7,200,90.0,30.8,12,16,63,,11.4,8,0.31,18,0.278,5,46.7,35,0.45399999999999996,15.9,13,40,0.475,19,0.41700000000000004,5,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,69.8,Away,MERCER,Mercer,UNC Wilmington,colonial,11,False,True,True,Home,False,5,19,58,35,75,11,15,64,0,1,90,208,650,0.5276923076923077,376,730,0.5150684931506849,78,225,686,0.4985422740524781,0.4545454545454545
12,2019-12-21-20-vanderbilt,48.0,12,6.5,2,115.8,74.1,20,0.608,51,0.49,25,0.255,13,0.846,11,8,200,96.1,17.4,4,24,73,,7.9,6,0.392,20,0.6,12,48.0,24,0.638,28.9,23,31,0.419,13,0.385,5,"December 21, 2019",66.7,18,12.9,4,96.1,82.6,19,0.58,56,0.48200000000000004,27,0.518,29,0.7929999999999999,23,4,200,115.8,25.9,7,15,88,,18.4,14,0.446,25,0.44,11,52.0,26,0.631,16.9,14,31,0.516,16,0.636,7,"Memorial Gymnasium, Nashville, Tennessee",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,76.5,Home,VANDERBILT,Vanderbilt,UNC Wilmington,colonial,12,False,False,False,Away,False,12,13,51,24,50,11,16,56,0,1,95,227,708,0.5218926553672316,411,805,0.5105590062111801,89,240,750,0.498,0.4166666666666667
13,2019-12-28-19-delaware,54.2,13,16.7,5,128.1,72.7,16,0.529,52,0.462,24,0.365,19,0.684,13,9,200,106.3,24.1,7,15,68,,9.4,6,0.34600000000000003,18,0.389,7,45.1,23,0.557,14.2,10,34,0.5,17,0.35700000000000004,5,"December 28, 2019",64.3,18,14.7,5,106.3,75.9,22,0.642,53,0.528,28,0.28300000000000003,15,0.9329999999999999,14,3,200,128.1,27.3,6,12,82,,9.4,6,0.434,23,0.522,12,54.9,28,0.682,14.4,10,30,0.5329999999999999,16,0.7859999999999999,11,"Bob Carpenter Center, Newark, Delaware",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,64.1,Home,DELAWARE,Delaware,UNC Wilmington,colonial,13,False,False,False,Away,False,7,17,52,23,51,12,16,53,0,1,107,240,759,0.5276679841897233,435,855,0.5087719298245614,100,256,806,0.5037220843672456,0.38461538461538464
