,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WESTERN-KENTUCKY_homegame,WESTERN-KENTUCKY_homegame2,WESTERN-KENTUCKY_home,WESTERN-KENTUCKY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-western-kentucky,46.2,12,5.4,2,107.0,68.0,17,0.517,58,0.44799999999999995,26,0.10300000000000001,6,0.667,4,1,200,90.1,29.0,9,21,64,,11.3,8,0.44799999999999995,26,0.308,8,46.4,26,0.526,23.9,19,32,0.563,18,0.0,0,"November 5, 2019",46.2,12,15.6,5,90.1,71.0,22,0.5479999999999999,52,0.5,26,0.5,26,0.731,19,0,200,107.0,32.0,8,9,76,,11.3,8,0.28800000000000003,15,0.33299999999999996,5,53.6,30,0.591,19.1,15,37,0.568,21,1.0,1,"E.A. Diddle Arena, Bowling Green, Kentucky",TENNESSEE-TECH,Tennessee Tech,71.1,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,0,True,False,True,Home,True,5,21,52,30,56,8,18,58,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-16-western-kentucky,44.4,12,6.9,2,136.6,41.2,7,0.426,68,0.397,27,0.33799999999999997,23,0.7390000000000001,17,1,200,105.6,39.5,15,25,75,,9.9,7,0.309,21,0.19,4,40.0,22,0.475,9.3,8,47,0.489,23,0.5,1,"November 9, 2019",56.7,17,10.6,5,105.6,60.5,23,0.71,50,0.6,30,0.58,29,0.897,26,0,200,136.6,58.8,10,17,97,,5.6,4,0.42,21,0.524,11,60.0,33,0.76,20.3,16,29,0.655,19,1.0,2,"E.A. Diddle Arena, Bowling Green, Kentucky",AUSTIN-PEAY,Austin Peay,70.9,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,1,True,False,True,Home,True,11,19,50,33,55,4,23,68,1,0,5,21,52,0.5480769230769231,30,56,0.5357142857142857,8,18,58,0.5172413793103449,1.0
2,2019-11-15-19-eastern-kentucky,67.9,19,11.8,4,87.7,81.3,26,0.555,55,0.509,28,0.436,24,0.75,18,0,200,97.5,30.0,9,14,79,,12.3,10,0.327,18,0.278,5,56.5,35,0.595,26.0,23,37,0.622,23,1.0,3,"November 15, 2019",33.3,9,5.4,2,97.5,70.0,21,0.5,61,0.44299999999999995,27,0.23,14,0.7140000000000001,10,2,200,87.7,18.8,6,20,71,,11.1,9,0.44299999999999995,27,0.259,7,43.5,27,0.525,22.1,19,34,0.588,20,0.5,2,"McBrayer Arena, Richmond, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,80.5,Away,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,2,False,False,False,Away,True,5,23,55,35,62,7,20,61,1,0,16,40,102,0.6274509803921569,63,111,0.5675675675675675,12,41,126,0.4682539682539682,1.0
3,2019-11-18-20-western-kentucky,40.0,10,0.0,0,134.6,80.8,21,0.40299999999999997,72,0.34700000000000003,25,0.16699999999999998,12,0.667,8,0,200,81.5,16.3,7,17,66,,3.7,3,0.361,26,0.308,8,40.6,28,0.425,12.5,11,46,0.37,17,0.0,0,"November 18, 2019",52.5,21,17.4,8,81.5,83.7,36,0.708,65,0.615,40,0.308,20,0.85,17,0,200,134.6,19.2,5,14,109,,6.2,5,0.4,26,0.462,12,59.4,41,0.732,13.0,11,39,0.718,28,1.0,4,"E.A. Diddle Arena, Bowling Green, Kentucky","Campbellsville
			","Campbellsville
			",81.1,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,3,True,False,True,Home,True,12,28,65,41,69,8,17,72,1,0,21,63,157,0.6019108280254777,98,173,0.5664739884393064,19,61,187,0.4786096256684492,1.0
4,2019-11-22-20-western-kentucky,46.7,14,0.0,0,100.0,78.1,25,0.507,69,0.435,30,0.145,10,0.7,7,1,200,102.7,28.2,11,20,77,,5.3,4,0.304,21,0.47600000000000003,10,50.7,36,0.522,15.0,13,48,0.41700000000000004,20,0.8,4,"November 22, 2019",50.0,13,14.6,7,102.7,71.8,28,0.537,54,0.48100000000000004,26,0.519,28,0.607,17,1,200,100.0,21.9,7,15,75,,9.3,7,0.389,21,0.28600000000000003,6,49.3,35,0.557,16.4,13,33,0.606,20,0.8,4,"Virgin Islands Sport & Fitness Center , St. Thomas",WESTERN-KENTUCKY,Western Kentucky,74.5,Away,BOWLING-GREEN-STATE,Bowling Green State,Western Kentucky,cusa,4,False,True,True,Home,False,6,20,54,35,71,10,20,69,0,1,33,91,222,0.6328828828828829,139,242,0.5743801652892562,27,78,259,0.4575289575289575,1.0
5,2019-11-23-17-illinois-state,44.4,12,10.5,4,109.5,50.0,15,0.65,50,0.54,27,0.42,21,0.857,18,1,200,131.7,26.1,6,13,83,,14.3,9,0.38,19,0.579,11,39.6,21,0.6920000000000001,15.7,11,31,0.516,16,0.833,5,"November 23, 2019",55.6,15,12.9,4,131.7,73.9,17,0.525,59,0.45799999999999996,27,0.18600000000000005,11,0.636,7,3,200,109.5,50.0,15,20,69,,4.8,3,0.35600000000000004,21,0.381,8,60.4,32,0.537,14.7,11,38,0.5,19,0.4,2,"Virgin Islands Sport & Fitness Center , St. Thomas",ILLINOIS-STATE,Illinois State,62.6,Away,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,5,False,False,False,Away,True,11,16,50,21,53,8,19,59,1,0,39,111,276,0.6141304347826086,174,313,0.5559105431309904,37,98,328,0.4679878048780488,0.8
6,2019-11-25-15-western-kentucky,44.4,12,13.3,4,101.5,69.2,18,0.517,59,0.45799999999999996,27,0.11900000000000001,7,0.429,3,2,200,94.1,10.7,3,16,64,,7.4,5,0.373,22,0.318,7,38.9,21,0.513,11.4,8,37,0.541,20,0.667,4,"November 25, 2019",50.0,11,2.7,1,94.1,89.3,25,0.51,51,0.431,22,0.392,20,0.85,17,1,200,101.5,30.8,8,10,69,,4.4,3,0.41200000000000003,21,0.381,8,61.1,33,0.57,21.1,16,30,0.467,14,0.857,6,"Virgin Islands Sport & Fitness Center , St. Thomas",FORDHAM,Fordham,67.9,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,6,True,False,True,Home,True,8,14,51,33,54,7,20,59,1,0,50,127,326,0.6196319018404908,195,366,0.5327868852459017,45,117,387,0.4767441860465117,0.8333333333333334
7,2019-11-29-17-western-kentucky,43.5,10,2.7,1,84.4,78.1,25,0.51,52,0.442,23,0.385,20,0.9,18,0,200,110.9,42.9,12,15,71,2.0,9.4,6,0.423,22,0.318,7,61.7,37,0.5770000000000001,17.6,13,30,0.5329999999999999,16,1.0,7,"November 29, 2019",30.0,6,16.7,5,110.9,57.1,16,0.38,54,0.37,20,0.259,14,0.929,13,2,200,84.4,21.9,7,15,54,,7.8,5,0.315,17,0.059000000000000004,1,38.3,23,0.445,15.5,11,37,0.514,19,0.75,6,"Bridgestone Arena, Nashville, Tennessee",WESTERN-KENTUCKY,Western Kentucky,63.6,Away,LOUISVILLE,Louisville,Western Kentucky,cusa,7,False,True,True,Home,False,1,19,54,23,60,7,16,52,0,1,58,141,377,0.6047745358090185,228,420,0.5428571428571428,52,137,446,0.4820627802690583,0.8571428571428571
8,2019-12-03-19-wright-state,25.0,8,14.6,6,98.7,73.7,28,0.53,66,0.485,32,0.106,7,0.5710000000000001,4,3,200,96.1,15.2,5,18,74,,5.2,4,0.22699999999999998,15,0.4,6,46.5,33,0.534,16.9,14,51,0.51,26,0.667,6,"December 3, 2019",39.3,11,7.8,4,96.1,84.8,28,0.47,66,0.424,28,0.303,20,0.7,14,2,200,98.7,26.3,10,11,76,,7.8,6,0.379,25,0.24,6,53.5,38,0.503,12.8,11,41,0.537,22,0.778,7,"Ervin J. Nutter Center, Dayton, Ohio",WESTERN-KENTUCKY,Western Kentucky,77.4,Home,WRIGHT-STATE,Wright State,Western Kentucky,cusa,8,False,False,False,Away,False,6,26,66,33,71,6,22,66,0,1,59,160,431,0.5765661252900232,251,480,0.5229166666666667,59,153,498,0.4849397590361446,0.75
9,2019-12-07-19-western-kentucky,35.7,10,10.4,5,102.4,73.7,28,0.485,67,0.418,28,0.299,20,0.7,14,1,225,94.0,23.1,9,23,79,,4.8,4,0.44799999999999995,30,0.3,9,48.1,37,0.516,16.5,15,37,0.514,19,0.889,8,"December 7, 2019",35.5,11,10.8,4,94.0,76.9,30,0.5,67,0.46299999999999997,31,0.418,28,0.679,19,3,225,102.4,26.3,10,19,86,,8.3,7,0.284,19,0.263,5,51.9,40,0.535,15.9,15,48,0.542,26,0.7,7,"E.A. Diddle Arena, Bowling Green, Kentucky",ARKANSAS,Arkansas,74.6,Home,WESTERN-KENTUCKY,Western Kentucky,Western Kentucky,cusa,9,True,False,True,Home,True,5,26,67,40,77,9,19,67,1,0,65,186,497,0.5704225352112676,284,551,0.515426497277677,65,175,564,0.4831560283687944,0.6666666666666666
