,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,XAVIER_homegame,XAVIER_homegame2,XAVIER_home,XAVIER_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-xavier,43.5,10,2.7,1,104.1,72.2,26,0.455,56,0.41100000000000003,23,0.214,12,0.5,6,1,200,78.1,14.7,5,19,57,,9.6,7,0.375,21,0.23800000000000002,5,44.3,31,0.462,21.7,17,35,0.514,18,0.0,0,"November 5, 2019",37.9,11,5.7,2,78.1,85.3,29,0.517,60,0.483,29,0.4,24,0.583,14,0,200,104.1,27.8,10,15,76,19.0,13.7,10,0.38299999999999995,23,0.174,4,55.7,39,0.532,13.5,11,37,0.6759999999999999,25,1.0,1,"Cintas Center, Cincinnati, Ohio",JACKSONVILLE,Jacksonville,73.1,Home,XAVIER,Xavier,Xavier,big-east,0,True,False,True,Home,True,4,25,60,39,70,5,18,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-xavier,42.9,9,6.8,3,108.0,66.7,24,0.41100000000000003,56,0.375,21,0.5,28,0.607,17,1,200,84.0,25.7,9,25,63,,5.3,4,0.33899999999999997,19,0.21100000000000002,4,46.5,33,0.455,16.0,13,37,0.45899999999999996,17,0.5,1,"November 8, 2019",59.3,16,5.4,2,84.0,74.3,26,0.47600000000000003,63,0.429,27,0.4920000000000001,31,0.677,21,0,200,108.0,33.3,12,20,81,19.0,6.7,5,0.302,19,0.316,6,53.5,38,0.521,12.6,11,44,0.47700000000000004,21,1.0,2,"Cintas Center, Cincinnati, Ohio",SIENA,Siena,75.0,Home,XAVIER,Xavier,Xavier,big-east,1,True,False,True,Home,True,6,21,63,38,71,4,17,56,1,0,4,25,60,0.5166666666666667,39,70,0.5571428571428572,5,18,56,0.4553571428571429,1.0
2,2019-11-12-19-xavier,40.0,8,10.0,4,77.8,79.5,31,0.38299999999999995,60,0.33299999999999996,20,0.25,15,0.8,12,1,225,71.6,17.9,7,20,58,,9.9,8,0.41700000000000004,25,0.24,6,48.7,38,0.4320000000000001,23.1,20,35,0.4,14,0.667,2,"November 12, 2019",30.0,6,5.7,2,71.6,82.1,32,0.35200000000000004,61,0.32799999999999996,20,0.44299999999999995,27,0.741,20,0,225,77.8,20.5,8,16,63,21.0,7.4,6,0.344,21,0.14300000000000002,3,51.3,40,0.4270000000000001,18.0,16,40,0.425,17,1.0,3,"Cintas Center, Cincinnati, Ohio",MISSOURI,Missouri,72.0,Home,XAVIER,Xavier,Xavier,big-east,2,True,False,True,Home,True,3,17,61,40,78,6,14,60,1,0,10,46,123,0.4959349593495935,77,141,0.5460992907801419,9,35,112,0.4330357142857143,1.0
3,2019-11-15-19-xavier,42.9,9,6.7,2,89.4,69.0,20,0.534,44,0.47700000000000004,21,0.25,11,0.818,9,2,200,84.8,23.8,5,15,56,,7.6,5,0.295,13,0.385,5,50.0,25,0.569,31.1,22,31,0.516,16,0.5,2,"November 15, 2019",63.6,14,12.9,4,84.8,76.2,16,0.462,53,0.415,22,0.28300000000000003,15,0.667,10,0,200,89.4,31.0,9,15,59,21.0,15.2,10,0.434,23,0.217,5,50.0,25,0.491,20.1,15,30,0.5670000000000001,17,1.0,4,"Cintas Center, Cincinnati, Ohio",MISSOURI-STATE,Missouri State,66.2,Home,XAVIER,Xavier,Xavier,big-east,3,True,False,True,Home,True,5,17,53,25,50,5,16,44,1,0,13,63,184,0.4483695652173913,117,219,0.5342465753424658,15,49,172,0.4156976744186047,1.0
4,2019-11-21-19-towson,70.4,19,11.6,5,75.0,80.5,33,0.5529999999999999,57,0.474,27,0.24600000000000002,14,0.7140000000000001,10,0,200,107.4,27.6,8,18,73,18.0,10.3,7,0.386,22,0.409,9,58.6,41,0.573,14.8,11,35,0.514,18,1.0,5,"November 21, 2019",33.3,6,8.6,3,107.4,72.4,21,0.33899999999999997,59,0.305,18,0.305,18,0.611,11,3,200,75.0,19.5,8,16,51,,5.9,4,0.271,16,0.25,4,41.4,29,0.377,13.0,10,43,0.326,14,0.4,2,"TD Arena, Charleston, South Carolina",TOWSON,Towson,68.1,Away,XAVIER,Xavier,Xavier,big-east,4,False,False,False,Away,True,9,18,57,41,70,4,14,59,1,0,18,80,237,0.4514767932489451,142,269,0.5278810408921933,20,65,216,0.4398148148148148,1.0
5,2019-11-22-21-connecticut,48.0,12,19.1,9,86.0,70.5,31,0.447,66,0.379,25,0.39399999999999996,26,0.615,16,0,250,87.2,33.3,13,26,75,18.0,8.1,7,0.364,24,0.375,9,53.0,44,0.479,21.3,21,42,0.381,16,1.0,6,"November 22, 2019",47.6,10,14.3,6,87.2,66.7,26,0.35,70,0.3,21,0.386,27,0.9259999999999999,25,2,250,86.0,29.5,13,24,74,,9.3,8,0.32899999999999996,23,0.304,7,47.0,39,0.447,15.5,15,47,0.298,14,0.6,3,"TD Arena, Charleston, South Carolina",CONNECTICUT,UConn,68.5,Away,XAVIER,Xavier,Xavier,big-east,5,False,False,False,Away,True,9,16,66,44,83,7,14,70,1,0,27,98,294,0.4710884353741497,183,339,0.5398230088495575,24,79,275,0.41818181818181815,1.0
6,2019-11-24-20-xavier,30.8,8,7.9,3,97.0,66.7,20,0.615,48,0.542,26,0.313,15,0.733,11,2,200,104.5,22.7,5,14,70,,13.4,9,0.375,18,0.389,7,48.1,25,0.635,20.4,14,30,0.633,19,0.7140000000000001,5,"November 24, 2019",54.2,13,6.7,2,104.5,77.3,17,0.491,54,0.444,24,0.278,15,0.8,12,1,200,97.0,33.3,10,18,65,18.0,9.0,6,0.29600000000000004,16,0.313,5,51.9,27,0.532,22.9,18,38,0.5,19,0.857,6,"TD Arena, Charleston, South Carolina",XAVIER,Xavier,66.6,Away,FLORIDA,Florida,Xavier,big-east,6,False,True,True,Home,False,5,19,54,27,52,7,19,48,0,1,36,114,360,0.4666666666666667,227,422,0.5379146919431279,31,93,345,0.4043478260869565,1.0
7,2019-11-30-12-xavier,48.0,12,0.0,0,120.8,48.8,20,0.429,63,0.397,25,0.175,11,0.727,8,5,200,86.1,40.0,14,13,62,,8.3,6,0.23800000000000002,15,0.267,4,44.7,34,0.45399999999999996,20.0,17,48,0.43799999999999994,21,0.375,3,"November 30, 2019",58.3,21,10.4,5,86.1,60.0,21,0.541,74,0.486,36,0.17600000000000002,13,0.5379999999999999,7,1,200,120.8,51.2,21,12,87,25.0,13.9,10,0.324,24,0.33299999999999996,8,55.3,42,0.5429999999999999,14.9,14,50,0.56,28,0.875,7,"Cintas Center, Cincinnati, Ohio",LIPSCOMB,Lipscomb,72.2,Home,XAVIER,Xavier,Xavier,big-east,7,True,False,True,Home,True,8,28,74,42,76,4,21,63,1,0,41,133,414,0.4698067632850241,254,474,0.5358649789029536,38,112,393,0.4300254452926209,0.8571428571428571
8,2019-12-04-19-xavier,57.7,15,2.8,1,112.0,61.0,25,0.44,67,0.38799999999999996,26,0.299,20,0.6,12,5,200,94.7,31.7,13,23,71,,8.0,6,0.373,25,0.28,7,46.3,38,0.46399999999999997,12.7,11,42,0.452,19,0.375,3,"December 4, 2019",48.3,14,4.8,2,94.7,68.3,28,0.478,69,0.42,29,0.391,27,0.667,18,1,200,112.0,39.0,16,16,84,,5.3,4,0.478,33,0.242,8,53.7,44,0.513,11.0,10,36,0.583,21,0.889,8,"Cintas Center, Cincinnati, Ohio",GREEN-BAY,Green Bay,75.2,Home,XAVIER,Xavier,Xavier,big-east,8,True,False,True,Home,True,8,21,69,44,82,7,19,67,1,0,49,161,488,0.4805327868852459,296,550,0.5381818181818182,42,133,456,0.4298245614035088,0.875
9,2019-12-07-17-xavier,37.5,9,12.2,5,101.4,82.4,28,0.45,60,0.4,24,0.317,19,0.632,12,3,200,91.7,32.5,13,22,66,,6.9,5,0.4,24,0.25,6,55.4,41,0.478,18.0,15,36,0.5,18,0.667,6,"December 7, 2019",60.7,17,8.3,3,91.7,67.5,27,0.517,60,0.467,28,0.25,15,0.733,11,1,200,101.4,17.6,6,17,73,,11.1,8,0.317,19,0.316,6,44.6,33,0.544,14.2,11,41,0.537,22,0.9,9,"Cintas Center, Cincinnati, Ohio",CINCINNATI,Cincinnati,71.6,Home,XAVIER,Xavier,Xavier,big-east,9,True,False,True,Home,True,6,22,60,33,74,6,18,60,1,0,57,182,557,0.4802513464991024,340,632,0.5379746835443038,49,152,523,0.4311663479923518,0.8888888888888888
